evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
48 km al O de OllagÃ¼e,-21.321,-68.701,2022-06-12,19:40:57,2022-06-12,23:40:57,117,km,2.5,Ml
41 km al S de Mina Collahuasi,-21.195,-68.713,2022-06-12,18:35:32,2022-06-12,22:35:32,108,km,2.6,Ml
63 km al SE de Socaire,-23.928,-67.392,2022-06-12,17:09:21,2022-06-12,21:09:21,259,km,2.6,Ml
54 km al O de OllagÃ¼e,-21.33,-68.766,2022-06-12,14:34:11,2022-06-12,18:34:11,118,km,3.2,Ml
36 km al N de San Juan,-31.224,-68.401,2022-06-12,12:31:58,2022-06-12,16:31:58,100,km,3.9,Ml
68 km al SO de Tongoy,-30.603,-72.075,2022-06-12,12:24:54,2022-06-12,16:24:54,16,km,3.1,Ml
52 km al N de La Higuera,-29.073,-71.38,2022-06-12,12:21:48,2022-06-12,16:21:48,41,km,3.6,Ml
72 km al SE de Socaire,-23.989,-67.335,2022-06-12,11:03:05,2022-06-12,15:03:05,255,km,2.7,Ml
68 km al SO de OllagÃ¼e,-21.777,-68.525,2022-06-12,10:28:48,2022-06-12,14:28:48,119,km,2.6,Ml
26 km al SO de Sierra Gorda.,-23.122,-69.41,2022-06-12,07:21:28,2022-06-12,11:21:28,93,km,2.6,Ml
93 km al SE de Socaire,-24.21,-67.272,2022-06-12,06:34:10,2022-06-12,10:34:10,181,km,3.1,Ml
62 km al SO de OllagÃ¼e,-21.643,-68.654,2022-06-12,05:22:24,2022-06-12,09:22:24,107,km,3.1,Ml
46 km al O de Los Vilos,-31.862,-72.0,2022-06-12,04:47:31,2022-06-12,08:47:31,29,km,2.7,Ml
24 km al E de Los Andes.,-32.879,-70.352,2022-06-12,04:12:52,2022-06-12,08:12:52,105,km,2.9,Ml
50 km al S de Socaire,-24.036,-67.868,2022-06-12,03:40:40,2022-06-12,07:40:40,253,km,2.8,Ml
34 km al NE de Pica,-20.317,-69.059,2022-06-12,01:49:22,2022-06-12,05:49:22,107,km,2.5,Ml
70 km al N de Calama,-21.874,-68.716,2022-06-12,00:36:58,2022-06-12,04:36:58,125,km,2.7,Ml
31 km al SE de Melipilla,-33.908,-71.017,2022-06-12,00:16:17,2022-06-12,04:16:17,77,km,2.7,Ml
34 km al O de Huasco,-28.426,-71.568,2022-06-12,00:01:16,2022-06-12,04:01:16,57,km,3.2,Ml
56 km al NE de Farellones,-32.927,-69.994,2022-06-11,23:25:07,2022-06-12,03:25:07,122,km,2.9,Ml
53 km al N de BahÃ­a Mansa,-40.112,-73.768,2022-06-11,22:24:37,2022-06-12,02:24:37,17,km,3.0,Ml
