evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
33 km al SO de Los Vilos,-32.119,-71.767,2022-06-05,19:36:24,2022-06-05,23:36:24,42,km,2.7,Ml
80 km al SE de Socaire,-23.906,-67.179,2022-06-05,18:39:59,2022-06-05,22:39:59,246,km,3.6,Ml
18 km al O de Calama,-22.535,-69.095,2022-06-05,18:38:32,2022-06-05,22:38:32,94,km,2.7,Ml
75 km al SO de OllagÃ¼e,-21.813,-68.617,2022-06-05,18:17:07,2022-06-05,22:17:07,121,km,3.0,Ml
25 km al NE de Casablanca,-33.125,-71.266,2022-06-05,17:36:17,2022-06-05,21:36:17,65,km,3.0,Ml
19 km al S de Calama,-22.641,-68.915,2022-06-05,17:27:52,2022-06-05,21:27:52,108,km,2.9,Ml
112 km al SE de Tierra Amarilla,-28.231,-69.503,2022-06-05,13:08:06,2022-06-05,17:08:06,107,km,2.7,Ml
46 km al SO de CamiÃ±a,-19.699,-69.596,2022-06-05,11:32:27,2022-06-05,15:32:27,80,km,3.3,Ml
34 km al NE de Alto del Carmen,-28.518,-70.279,2022-06-05,11:17:54,2022-06-05,15:17:54,107,km,3.3,Ml
86 km al NE de Socaire,-23.086,-67.247,2022-06-05,10:38:08,2022-06-05,14:38:08,257,km,3.2,Ml
73 km al SO de OllagÃ¼e,-21.761,-68.667,2022-06-05,06:32:37,2022-06-05,10:32:37,121,km,3.0,Ml
35 km al N de Farellones,-33.042,-70.272,2022-06-05,05:30:31,2022-06-05,09:30:31,105,km,3.7,Ml
37 km al E de Cuya,-19.253,-69.841,2022-06-05,04:58:11,2022-06-05,08:58:11,70,km,2.5,Ml
76 km al SO de Tongoy,-30.728,-72.066,2022-06-05,03:05:10,2022-06-05,07:05:10,17,km,2.5,Ml
27 km al N de Calama,-22.241,-68.858,2022-06-05,02:38:00,2022-06-05,06:38:00,104,km,2.7,Ml
54 km al O de La Ligua,-32.485,-71.808,2022-06-05,01:22:00,2022-06-05,05:22:00,16,km,3.0,Ml
129 km al O de ValparaÃ­so,-32.987,-73.001,2022-06-05,01:15:40,2022-06-05,05:15:40,24,km,3.5,Ml
55 km al SO de OllagÃ¼e,-21.653,-68.524,2022-06-05,00:58:50,2022-06-05,04:58:50,131,km,3.5,Ml
13 km al S de Ovalle,-30.716,-71.232,2022-06-04,23:52:35,2022-06-05,03:52:35,40,km,3.8,Ml
35 km al SO de Mina Collahuasi,-20.972,-68.956,2022-06-04,23:22:36,2022-06-05,03:22:36,107,km,3.6,Ml
15 km al E de CamiÃ±a,-19.334,-69.282,2022-06-04,23:18:38,2022-06-05,03:18:38,98,km,2.5,Ml
69 km al SE de Socaire,-23.982,-67.359,2022-06-04,22:38:15,2022-06-05,02:38:15,237,km,3.6,Ml
57 km al S de Mina Collahuasi,-21.318,-68.829,2022-06-04,22:16:50,2022-06-05,02:16:50,111,km,2.7,Ml
63 km al O de La Ligua,-32.496,-71.901,2022-06-04,20:27:53,2022-06-05,00:27:53,24,km,3.0,Ml
