evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
78 km al SE de Socaire,-24.162,-67.448,2022-05-16,19:48:40,2022-05-16,23:48:40,215,km,3.9,Ml
33 km al O de La Ligua,-32.4,-71.583,2022-05-16,18:48:03,2022-05-16,22:48:03,40,km,2.7,Ml
46 km al SO de Los Vilos,-32.204,-71.86,2022-05-16,18:11:08,2022-05-16,22:11:08,31,km,2.8,Ml
26 km al SE de Petorca,-32.438,-70.771,2022-05-16,13:40:33,2022-05-16,17:40:33,91,km,3.6,Ml
44 km al S de CuricÃ³,-35.376,-71.179,2022-05-16,13:34:26,2022-05-16,17:34:26,98,km,3.0,Ml
57 km al O de La Higuera,-29.51,-71.794,2022-05-16,12:57:58,2022-05-16,16:57:58,23,km,2.7,Ml
31 km al SO de Mejillones,-23.312,-70.649,2022-05-16,08:10:27,2022-05-16,12:10:27,30,km,2.7,Ml
25 km al O de OllagÃ¼e,-21.187,-68.488,2022-05-16,07:59:04,2022-05-16,11:59:04,136,km,3.4,Ml
59 km al S de Mina Collahuasi,-21.336,-68.824,2022-05-16,07:11:08,2022-05-16,11:11:08,115,km,3.5,Ml
90 km al NE de Socaire,-23.084,-67.204,2022-05-16,05:57:24,2022-05-16,09:57:24,240,km,3.3,Ml
58 km al N de CamiÃ±a,-18.79,-69.39,2022-05-16,04:07:13,2022-05-16,08:07:13,102,km,2.6,Ml
113 km al E de Socaire,-23.929,-66.846,2022-05-16,03:58:10,2022-05-16,07:58:10,76,km,3.3,Ml
48 km al NO de Los Vilos,-31.719,-71.96,2022-05-16,03:47:12,2022-05-16,07:47:12,35,km,3.1,Ml
24 km al S de Tongoy,-30.461,-71.559,2022-05-16,03:15:37,2022-05-16,07:15:37,28,km,2.9,Ml
37 km al SE de Calama,-22.737,-68.721,2022-05-16,03:10:32,2022-05-16,07:10:32,106,km,3.2,Ml
47 km al SE de Arica,-18.651,-69.915,2022-05-16,01:13:06,2022-05-16,05:13:06,88,km,3.6,Ml
19 km al NO de El Tabo,-33.309,-71.766,2022-05-15,23:35:28,2022-05-16,03:35:28,24,km,2.9,Ml
14 km al O de Huasco,-28.503,-71.357,2022-05-15,23:21:36,2022-05-16,03:21:36,36,km,2.7,Ml
30 km al O de OllagÃ¼e,-21.134,-68.531,2022-05-15,21:58:11,2022-05-16,01:58:11,140,km,2.8,Ml
51 km al S de Mina Collahuasi,-21.261,-68.828,2022-05-15,21:17:02,2022-05-16,01:17:02,116,km,3.8,Ml
41 km al NO de ValparaÃ­so,-32.757,-71.883,2022-05-15,20:09:42,2022-05-16,00:09:42,17,km,3.0,Ml
