evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
27 km al NE de Vichuqu̩n,-34.76,-71.746,2022-05-04,19:34:23,2022-05-04,23:34:23,47,km,2.7,Ml
41 km al O de La Ligua,-32.406,-71.666,2022-05-04,19:29:02,2022-05-04,23:29:02,33,km,3.6,Ml
12 km al NO de Cami̱a,-19.27,-69.528,2022-05-04,18:59:47,2022-05-04,22:59:47,97,km,2.9,Ml
147 km al E de Socaire,-23.144,-66.534,2022-05-04,17:54:25,2022-05-04,21:54:25,230,km,3.0,Ml
19 km al NO de Farellones,-33.218,-70.446,2022-05-04,16:39:50,2022-05-04,20:39:50,100,km,2.7,Ml
45 km al SO de Los Vilos,-32.187,-71.854,2022-05-04,16:12:52,2022-05-04,20:12:52,9,km,2.5,Ml
33 km al S de Mina Collahuasi,-21.124,-68.692,2022-05-04,14:07:43,2022-05-04,18:07:43,105,km,2.6,Ml
14 km al NO de El Salvador,-26.146,-69.717,2022-05-04,13:15:00,2022-05-04,17:15:00,123,km,3.9,Ml
49 km al SO de Los Vilos,-32.242,-71.851,2022-05-04,13:11:17,2022-05-04,17:11:17,19,km,2.6,Ml
13 km al NO de Santa Cruz,-34.534,-71.436,2022-05-04,12:12:27,2022-05-04,16:12:27,61,km,3.9,Ml
49 km al SO de Los Vilos,-32.212,-71.89,2022-05-04,12:00:16,2022-05-04,16:00:16,29,km,2.8,Ml
48 km al SO de Los Vilos,-32.211,-71.871,2022-05-04,11:54:03,2022-05-04,15:54:03,30,km,2.5,Ml
43 km al SO de Los Vilos,-32.215,-71.799,2022-05-04,11:34:17,2022-05-04,15:34:17,15,km,2.7,Ml
77 km al SE de Socaire,-24.068,-67.348,2022-05-04,11:20:18,2022-05-04,15:20:18,215,km,3.3,Ml
46 km al SO de Los Vilos,-32.202,-71.861,2022-05-04,11:07:56,2022-05-04,15:07:56,28,km,2.9,Ml
43 km al SO de Los Vilos,-32.204,-71.809,2022-05-04,11:06:02,2022-05-04,15:06:02,9,km,2.7,Ml
9 km al N de Cami̱a,-19.231,-69.448,2022-05-04,11:03:44,2022-05-04,15:03:44,105,km,3.8,Ml
20 km al E de Mina Los Pelambres,-31.781,-70.383,2022-05-04,10:31:29,2022-05-04,14:31:29,10,km,2.8,Ml
45 km al SO de Los Vilos,-32.206,-71.845,2022-05-04,10:18:48,2022-05-04,14:18:48,16,km,2.8,Ml
50 km al SO de Los Vilos,-32.226,-71.889,2022-05-04,10:05:52,2022-05-04,14:05:52,14,km,3.5,Ml
42 km al SO de Los Vilos,-32.244,-71.725,2022-05-04,09:40:41,2022-05-04,13:40:41,11,km,2.5,Ml
37 km al NE de Pica,-20.19,-69.169,2022-05-04,09:14:53,2022-05-04,13:14:53,91,km,3.0,Ml
48 km al SO de Los Vilos,-32.235,-71.856,2022-05-04,08:57:23,2022-05-04,12:57:23,26,km,4.2,Ml
51 km al SO de Los Vilos,-32.233,-71.902,2022-05-04,08:48:22,2022-05-04,12:48:22,32,km,5.0,Mw
49 km al SO de Los Vilos,-32.215,-71.889,2022-05-04,08:41:46,2022-05-04,12:41:46,31,km,3.3,Ml
48 km al SO de Los Vilos,-32.245,-71.843,2022-05-04,08:29:43,2022-05-04,12:29:43,32,km,2.6,Ml
46 km al SO de Los Vilos,-32.221,-71.84,2022-05-04,08:19:52,2022-05-04,12:19:52,24,km,2.6,Ml
45 km al SO de Los Vilos,-32.235,-71.798,2022-05-04,08:11:06,2022-05-04,12:11:06,14,km,2.7,Ml
46 km al SO de Los Vilos,-32.256,-71.779,2022-05-04,08:06:07,2022-05-04,12:06:07,37,km,3.5,Ml
48 km al SO de Los Vilos,-32.231,-71.846,2022-05-04,07:59:35,2022-05-04,11:59:35,33,km,5.1,Mw
18 km al NE de Vallenar,-28.461,-70.619,2022-05-04,07:49:34,2022-05-04,11:49:34,15,km,2.9,Ml
47 km al SO de Los Vilos,-32.229,-71.836,2022-05-04,07:24:00,2022-05-04,11:24:00,39,km,3.1,Ml
