evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
61 km al NO de La Higuera,-29.043,-71.536,2022-05-21,15:10:48,2022-05-21,19:10:48,35,km,2.6,Ml
51 km al O de La Ligua,-32.57,-71.755,2022-05-21,14:28:55,2022-05-21,18:28:55,33,km,2.9,Ml
40 km al SE de Calama,-22.64,-68.587,2022-05-21,13:32:21,2022-05-21,17:32:21,106,km,2.6,Ml
46 km al S de Mina Collahuasi,-21.235,-68.702,2022-05-21,12:40:25,2022-05-21,16:40:25,119,km,2.7,Ml
13 km al NO de Punitaqui,-30.774,-71.376,2022-05-21,12:23:37,2022-05-21,16:23:37,43,km,3.8,Ml
"31 km al E de Base Frei, AntÃ¡rtica",-62.186,-58.38,2022-05-21,10:58:11,2022-05-21,14:58:11,10,km,2.7,Ml
61 km al O de La Higuera,-29.565,-71.831,2022-05-21,10:42:28,2022-05-21,14:42:28,39,km,2.5,Ml
14 km al E de Pica,-20.525,-69.2,2022-05-21,09:41:46,2022-05-21,13:41:46,98,km,4.3,Ml
31 km al SO de Socaire,-23.798,-68.092,2022-05-21,09:00:33,2022-05-21,13:00:33,151,km,3.6,Ml
50 km al O de La Ligua,-32.579,-71.746,2022-05-21,07:05:46,2022-05-21,11:05:46,31,km,3.3,Ml
35 km al SO de Mina Collahuasi,-20.966,-68.958,2022-05-21,06:40:39,2022-05-21,10:40:39,100,km,2.9,Ml
46 km al O de La Ligua,-32.572,-71.695,2022-05-21,06:01:44,2022-05-21,10:01:44,30,km,3.4,Ml
51 km al N de ValparaÃ­so,-32.599,-71.733,2022-05-21,05:56:07,2022-05-21,09:56:07,34,km,4.2,Ml
38 km al O de Antofagasta,-23.659,-70.782,2022-05-21,05:41:38,2022-05-21,09:41:38,15,km,3.2,Ml
40 km al E de Valdivia,-39.669,-72.823,2022-05-21,02:31:14,2022-05-21,06:31:14,65,km,2.6,Ml
10 km al SO de Visviri,-17.657,-69.556,2022-05-21,00:28:14,2022-05-21,04:28:14,144,km,2.7,Ml
44 km al E de Socaire,-23.45,-67.485,2022-05-21,00:18:55,2022-05-21,04:18:55,281,km,3.2,Ml
58 km al NE de Cuya,-18.829,-69.757,2022-05-20,23:14:03,2022-05-21,03:14:03,59,km,3.0,Ml
60 km al N de Pica,-19.978,-69.155,2022-05-20,20:12:32,2022-05-21,00:12:32,96,km,2.5,Ml
