evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
55 km al E de Socaire,-23.549,-67.351,2022-05-26,19:24:59,2022-05-26,23:24:59,259,km,2.7,Ml
11 km al O de Calama,-22.439,-69.03,2022-05-26,17:50:59,2022-05-26,21:50:59,117,km,2.7,Ml
55 km al SE de Socaire,-23.991,-67.57,2022-05-26,17:06:18,2022-05-26,21:06:18,229,km,3.0,Ml
59 km al E de OllagÃ¼e,-21.151,-67.691,2022-05-26,16:33:10,2022-05-26,20:33:10,200,km,3.3,Ml
60 km al NO de CamiÃ±a,-18.826,-69.675,2022-05-26,15:52:52,2022-05-26,19:52:52,93,km,2.6,Ml
71 km al SE de Socaire,-23.872,-67.265,2022-05-26,15:45:31,2022-05-26,19:45:31,256,km,3.1,Ml
41 km al SE de Calama,-22.746,-68.67,2022-05-26,14:59:37,2022-05-26,18:59:37,136,km,2.5,Ml
32 km al N de Vallenar,-28.291,-70.806,2022-05-26,14:37:09,2022-05-26,18:37:09,24,km,2.8,Ml
18 km al SO de Caldera,-27.164,-70.973,2022-05-26,13:17:21,2022-05-26,17:17:21,36,km,3.0,Ml
45 km al SO de OllagÃ¼e,-21.58,-68.467,2022-05-26,12:32:10,2022-05-26,16:32:10,115,km,2.9,Ml
26 km al SO de Mina Collahuasi,-20.973,-68.858,2022-05-26,12:04:44,2022-05-26,16:04:44,106,km,2.7,Ml
41 km al NO de ValparaÃ­so,-32.758,-71.887,2022-05-26,09:38:47,2022-05-26,13:38:47,35,km,2.8,Ml
140 km al NO de ConstituciÃ³n,-34.627,-73.683,2022-05-26,08:14:22,2022-05-26,12:14:22,35,km,5.3,Mw
208 km al NE de Arequipa,-14.741,-70.639,2022-05-26,08:02:19,2022-05-26,12:02:19,218,km,7.1,Mww
42 km al O de La Ligua,-32.419,-71.68,2022-05-26,04:19:52,2022-05-26,08:19:52,36,km,3.0,Ml
40 km al O de Navidad,-34.005,-72.26,2022-05-26,03:38:25,2022-05-26,07:38:25,24,km,3.2,Ml
82 km al E de Tierra Amarilla,-27.46,-69.433,2022-05-26,01:57:38,2022-05-26,05:57:38,98,km,3.4,Ml
17 km al E de VichuquÃ©n,-34.821,-71.82,2022-05-26,01:20:47,2022-05-26,05:20:47,40,km,3.7,Ml
