evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
35 km al O de Mina Collahuasi,-20.893,-68.989,2022-05-06,19:53:16,2022-05-06,23:53:16,100,km,2.8,Ml
42 km al NO de Mina Collahuasi,-20.569,-68.947,2022-05-06,19:00:20,2022-05-06,23:00:20,105,km,3.4,Ml
155 km al O de ConstituciÃ³n,-34.837,-74.0,2022-05-06,18:35:18,2022-05-06,22:35:18,28,km,4.0,Ml
41 km al NO de Valdivia,-39.486,-73.472,2022-05-06,15:58:10,2022-05-06,19:58:10,44,km,3.4,Ml
65 km al SO de San Pedro de Atacama,-23.284,-68.701,2022-05-06,15:10:14,2022-05-06,19:10:14,131,km,3.8,Ml
57 km al NE de Calama,-22.036,-68.635,2022-05-06,15:05:35,2022-05-06,19:05:35,126,km,3.0,Ml
50 km al SO de Mina Collahuasi,-21.242,-68.837,2022-05-06,14:36:47,2022-05-06,18:36:47,117,km,3.3,Ml
24 km al SE de Mina Collahuasi,-21.028,-68.569,2022-05-06,13:44:41,2022-05-06,17:44:41,133,km,3.2,Ml
69 km al SO de OllagÃ¼e,-21.774,-68.57,2022-05-06,12:07:26,2022-05-06,16:07:26,126,km,3.4,Ml
66 km al E de Quillagua,-21.476,-68.927,2022-05-06,10:31:37,2022-05-06,14:31:37,100,km,2.7,Ml
41 km al SO de Los Vilos,-32.173,-71.812,2022-05-06,05:42:49,2022-05-06,09:42:49,29,km,3.2,Ml
58 km al NO de Lebu,-37.351,-74.228,2022-05-06,04:45:26,2022-05-06,08:45:26,15,km,2.5,Ml
34 km al NO de Lebu,-37.318,-73.779,2022-05-06,04:44:50,2022-05-06,08:44:50,15,km,2.5,Ml
43 km al NE de Pozo Almonte,-20.066,-69.424,2022-05-06,04:20:30,2022-05-06,08:20:30,80,km,2.6,Ml
35 km al S de Mina Collahuasi,-21.137,-68.72,2022-05-06,03:29:59,2022-05-06,07:29:59,121,km,4.2,Mw
49 km al NO de Mina Collahuasi,-20.433,-68.871,2022-05-05,23:52:34,2022-05-06,03:52:34,102,km,3.5,Ml
68 km al O de ValparaÃ­so,-33.027,-72.34,2022-05-05,22:11:20,2022-05-06,02:11:20,15,km,3.1,Ml
12 km al S de Pica,-20.591,-69.291,2022-05-05,22:05:07,2022-05-06,02:05:07,82,km,2.5,Ml
66 km al O de ValparaÃ­so,-33.063,-72.32,2022-05-05,21:40:59,2022-05-06,01:40:59,15,km,3.0,Ml
