evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
73 km al SE de Socaire,-23.924 ,-67.278,2022-03-15,20:14:43,2022-03-15,23:14:43,218,km,4.2,Ml
47 km al N de Mejillones,-22.686 ,-70.537,2022-03-15,20:03:56,2022-03-15,23:03:56,34,km,4.2,Ml
45 km al N de San Pedro de Atacama,-22.535 ,-68.345,2022-03-15,19:28:29,2022-03-15,22:28:29,128,km,2.7,Ml
58 km al O de Punitaqui,-30.755 ,-71.859,2022-03-15,19:23:26,2022-03-15,22:23:26,32,km,3.5,Ml
53 km al O de Punitaqui,-30.761 ,-71.809,2022-03-15,19:09:24,2022-03-15,22:09:24,26,km,2.5,Ml
44 km al O de Punitaqui,-30.728 ,-71.705,2022-03-15,18:57:29,2022-03-15,21:57:29,28,km,2.5,Ml
52 km al O de Punitaqui,-30.756 ,-71.798,2022-03-15,18:50:21,2022-03-15,21:50:21,25,km,3.0,Ml
75 km al NO de Quillagua,-21.082 ,-69.903,2022-03-15,18:14:46,2022-03-15,21:14:46,48,km,2.8,Ml
99 km al SE de OllagÃ¼e,-21.952 ,-67.701,2022-03-15,17:06:11,2022-03-15,20:06:11,158,km,3.0,Ml
39 km al S de CamiÃ±a,-19.664 ,-69.435,2022-03-15,15:55:29,2022-03-15,18:55:29,99,km,2.8,Ml
15 km al S de Arica,-18.616 ,-70.308,2022-03-15,14:37:57,2022-03-15,17:37:57,42,km,3.8,Ml
27 km al N de Quillagua,-21.426 ,-69.602,2022-03-15,14:31:19,2022-03-15,17:31:19,8,km,4.0,Ml
37 km al O de Fresia,-41.142 ,-73.863,2022-03-15,13:10:59,2022-03-15,16:10:59,47,km,3.4,Ml
65 km al N de Quillagua,-21.093 ,-69.375,2022-03-15,10:50:31,2022-03-15,13:50:31,100,km,4.9,Mw
41 km al SO de Lebu,-37.818 ,-74.048,2022-03-15,10:42:34,2022-03-15,13:42:34,12,km,3.0,Ml
62 km al O de Lebu,-37.760 ,-74.340,2022-03-15,09:58:15,2022-03-15,12:58:15,20,km,3.4,Ml
64 km al O de Los Vilos,-31.800 ,-72.175,2022-03-15,09:05:38,2022-03-15,12:05:38,20,km,2.7,Ml
27 km al NO de Mina Collahuasi,-20.696 ,-68.874,2022-03-15,09:03:34,2022-03-15,12:03:34,100,km,4.0,Ml
13 km al SO de Pisagua,-19.647 ,-70.324,2022-03-15,08:06:55,2022-03-15,11:06:55,48,km,2.7,Ml
49 km al S de Mina Collahuasi,-21.262 ,-68.719,2022-03-15,06:44:28,2022-03-15,09:44:28,123,km,3.2,Ml
95 km al E de Tierra Amarilla,-27.616 ,-69.314,2022-03-15,05:31:27,2022-03-15,08:31:27,115,km,3.5,Ml
36 km al N de Termas del Flaco,-34.640 ,-70.379,2022-03-15,05:05:01,2022-03-15,08:05:01,18,km,2.7,Ml
93 km al SE de Socaire,-23.984 ,-67.081,2022-03-15,03:05:06,2022-03-15,06:05:06,212,km,3.5,Ml
