evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
14 km al E de Linares,-35.842 ,-71.445,2022-03-03,19:45:53,2022-03-03,22:45:53,103,km,2.7,Ml
23 km al SO de Las Cabras,-34.387 ,-71.532,2022-03-03,18:48:00,2022-03-03,21:48:00,51,km,2.5,Ml
49 km al S de Mina Collahuasi,-21.255 ,-68.778,2022-03-03,17:20:06,2022-03-03,20:20:06,115,km,2.8,Ml
86 km al NO de Visviri,-17.092 ,-70.100,2022-03-03,16:17:48,2022-03-03,19:17:48,157,km,5.1,Mw
39 km al E de Pica,-20.569 ,-68.965,2022-03-03,15:02:57,2022-03-03,18:02:57,105,km,3.8,Ml
66 km al NO de Lebu,-37.068 ,-73.958,2022-03-03,12:22:24,2022-03-03,15:22:24,34,km,3.0,Ml
66 km al SO de OllagÃ¼e,-21.734 ,-68.573,2022-03-03,10:17:24,2022-03-03,13:17:24,125,km,3.1,Ml
27 km al E de Rancagua,-34.125 ,-70.446,2022-03-03,09:26:02,2022-03-03,12:26:02,109,km,2.9,Ml
13 km al SO de La Higuera,-29.615 ,-71.258,2022-03-03,07:40:56,2022-03-03,10:40:56,54,km,2.6,Ml
31 km al O de TirÃºa,-38.455 ,-73.825,2022-03-03,06:15:49,2022-03-03,09:15:49,28,km,2.9,Ml
79 km al SE de Socaire,-24.037 ,-67.291,2022-03-03,03:45:34,2022-03-03,06:45:34,237,km,3.1,Ml
52 km al E de Sierra Gorda.,-22.969 ,-68.819,2022-03-03,03:16:52,2022-03-03,06:16:52,98,km,2.7,Ml
81 km al E de Socaire,-23.882 ,-67.163,2022-03-03,03:02:49,2022-03-03,06:02:49,240,km,3.3,Ml
53 km al O de Castro,-42.653 ,-74.368,2022-03-03,02:14:33,2022-03-03,05:14:33,35,km,2.9,Ml
20 km al NO de San JosÃ© de Maipo,-33.494 ,-70.470,2022-03-03,01:56:41,2022-03-03,04:56:41,105,km,4.4,Mw
32 km al SE de Rancagua,-34.380 ,-70.507,2022-03-03,00:35:47,2022-03-03,03:35:47,116,km,2.9,Ml
63 km al NE de Calama,-21.969 ,-68.638,2022-03-03,00:05:28,2022-03-03,03:05:28,109,km,3.3,Ml
78 km al SE de Socaire,-24.102 ,-67.372,2022-03-02,23:12:34,2022-03-03,02:12:34,250,km,2.9,Ml
18 km al NO de Calama,-22.390 ,-69.082,2022-03-02,22:59:34,2022-03-03,01:59:34,24,km,3.2,Ml
74 km al NO de Navidad,-33.499 ,-72.419,2022-03-02,21:42:14,2022-03-03,00:42:14,36,km,3.4,Ml
