evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
86 km al S de Socaire,-24.327 ,-68.142,2022-06-04,19:34:27,2022-06-04,23:34:27,196,km,3.0,Ml
161 km al E de San Pedro de Atacama,-22.694 ,-66.646,2022-06-04,17:49:20,2022-06-04,21:49:20,294,km,3.6,Ml
67 km al S de Socaire,-24.165 ,-67.695,2022-06-04,16:46:54,2022-06-04,20:46:54,250,km,3.8,Ml
75 km al NE de Socaire,-23.111 ,-67.366,2022-06-04,16:39:55,2022-06-04,20:39:55,261,km,2.9,Ml
29 km al NO de San Pedro de Atacama,-22.773 ,-68.433,2022-06-04,16:11:59,2022-06-04,20:11:59,164,km,2.5,Ml
33 km al E de Mina Los Pelambres,-31.698 ,-70.273,2022-06-04,16:03:06,2022-06-04,20:03:06,137,km,2.5,Ml
53 km al NE de Quillagua,-21.253 ,-69.266,2022-06-04,13:21:18,2022-06-04,17:21:18,83,km,2.8,Ml
22 km al SE de VichuquÃ©n,-35.040 ,-71.841,2022-06-04,12:51:53,2022-06-04,16:51:53,59,km,2.9,Ml
66 km al N de Pica,-19.916 ,-69.168,2022-06-04,11:59:05,2022-06-04,15:59:05,100,km,2.7,Ml
67 km al SO de Alto Hospicio,-20.744 ,-70.502,2022-06-04,10:21:45,2022-06-04,14:21:45,51,km,2.6,Ml
26 km al S de Linares,-36.080 ,-71.649,2022-06-04,08:00:27,2022-06-04,12:00:27,89,km,3.0,Ml
62 km al S de Socaire,-24.111 ,-67.681,2022-06-04,07:25:19,2022-06-04,11:25:19,218,km,3.0,Ml
32 km al O de OllagÃ¼e,-21.202 ,-68.557,2022-06-04,06:28:01,2022-06-04,10:28:01,130,km,3.7,Ml
78 km al E de Socaire,-23.806 ,-67.162,2022-06-04,05:40:39,2022-06-04,09:40:39,240,km,3.1,Ml
18 km al E de Santa Cruz,-34.628 ,-71.175,2022-06-04,02:37:47,2022-06-04,06:37:47,67,km,3.1,Ml
60 km al NE de Quillagua,-21.377 ,-69.042,2022-06-04,01:37:55,2022-06-04,05:37:55,113,km,2.7,Ml
90 km al SE de Socaire,-24.090 ,-67.196,2022-06-04,01:07:01,2022-06-04,05:07:01,241,km,3.7,Ml
72 km al O de ConcepciÃ³n,-36.688 ,-73.845,2022-06-04,00:48:52,2022-06-04,04:48:52,35,km,3.8,Ml
9 km al N de La Higuera,-29.434 ,-71.209,2022-06-03,22:45:18,2022-06-04,02:45:18,65,km,3.3,Ml
54 km al SO de San Pedro de Atacama,-23.190 ,-68.636,2022-06-03,21:20:45,2022-06-04,01:20:45,130,km,2.7,Ml
72 km al S de Alto Hospicio,-20.899 ,-69.950,2022-06-03,21:07:52,2022-06-04,01:07:52,58,km,3.3,Ml
