evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
65 km al SE de Socaire,-23.864 ,-67.325,2022-04-05,19:29:07,2022-04-05,23:29:07,215,km,4.3,Ml
12 km al S de VichuquÃ©n,-34.996 ,-71.993,2022-04-05,19:15:31,2022-04-05,23:15:31,36,km,2.7,Ml
35 km al S de Mina Collahuasi,-21.141 ,-68.654,2022-04-05,18:56:26,2022-04-05,22:56:26,116,km,3.1,Ml
51 km al NO de Quillagua,-21.375 ,-69.925,2022-04-05,18:38:18,2022-04-05,22:38:18,49,km,3.1,Ml
42 km al NE de Calama,-22.204 ,-68.639,2022-04-05,17:25:10,2022-04-05,21:25:10,105,km,3.0,Ml
92 km al S de Mina La Escondida.,-25.099 ,-69.022,2022-04-05,17:06:30,2022-04-05,21:06:30,109,km,2.9,Ml
29 km al E de Pica,-20.586 ,-69.073,2022-04-05,16:43:24,2022-04-05,20:43:24,97,km,3.0,Ml
34 km al SO de Huasco,-28.684 ,-71.462,2022-04-05,15:47:29,2022-04-05,19:47:29,50,km,2.7,Ml
39 km al O de Mina Collahuasi,-20.938 ,-69.010,2022-04-05,15:07:32,2022-04-05,19:07:32,94,km,2.8,Ml
16 km al SE de La Ligua,-32.581 ,-71.175,2022-04-05,14:56:28,2022-04-05,18:56:28,52,km,2.7,Ml
84 km al SE de Socaire,-24.079 ,-67.264,2022-04-05,14:41:44,2022-04-05,18:41:44,230,km,4.6,Ml
94 km al E de Tierra Amarilla,-27.697 ,-69.340,2022-04-05,09:09:25,2022-04-05,13:09:25,112,km,4.1,Ml
50 km al O de ValparaÃ­so,-33.020 ,-72.145,2022-04-05,08:19:30,2022-04-05,12:19:30,24,km,2.9,Ml
38 km al E de Cuya,-19.277 ,-69.842,2022-04-05,06:24:12,2022-04-05,10:24:12,74,km,2.5,Ml
30 km al E de San JosÃ© de Maipo,-33.611 ,-70.034,2022-04-04,22:15:21,2022-04-05,02:15:21,7,km,2.6,Ml
49 km al SE de Socaire,-23.930 ,-67.586,2022-04-04,22:14:32,2022-04-05,02:14:32,230,km,3.9,Ml
64 km al O de Tongoy,-30.389 ,-72.148,2022-04-04,21:13:19,2022-04-05,01:13:19,36,km,3.4,Ml
73 km al O de Tongoy,-30.355 ,-72.245,2022-04-04,20:36:08,2022-04-05,00:36:08,35,km,2.9,Ml
