evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
48 km al NO de Quillagua,-21.352 ,-69.864,2022-04-22,18:42:06,2022-04-22,22:42:06,51,km,3.1,Ml
39 km al SO de OllagÃ¼e,-21.523 ,-68.449,2022-04-22,17:39:46,2022-04-22,21:39:46,134,km,3.0,Ml
19 km al SO de Navidad,-34.092 ,-71.944,2022-04-22,16:22:12,2022-04-22,20:22:12,28,km,2.5,Ml
48 km al S de Mina Collahuasi,-21.229 ,-68.815,2022-04-22,16:04:38,2022-04-22,20:04:38,146,km,2.8,Ml
22 km al O de Canela Baja,-31.369 ,-71.692,2022-04-22,13:53:00,2022-04-22,17:53:00,37,km,2.5,Ml
22 km al O de Huasco,-28.437 ,-71.446,2022-04-22,11:26:50,2022-04-22,15:26:50,26,km,2.6,Ml
64 km al SE de Socaire,-23.903 ,-67.362,2022-04-22,11:11:55,2022-04-22,15:11:55,244,km,2.8,Ml
60 km al O de Tongoy,-30.307 ,-72.115,2022-04-22,08:00:07,2022-04-22,12:00:07,16,km,3.0,Ml
53 km al NO de ValparaÃ­so,-32.611 ,-71.840,2022-04-22,03:37:54,2022-04-22,07:37:54,20,km,2.8,Ml
64 km al NO de Los Vilos,-31.638 ,-72.101,2022-04-22,00:54:00,2022-04-22,04:54:00,20,km,2.9,Ml
61 km al NO de Los Vilos,-31.623 ,-72.065,2022-04-22,00:49:51,2022-04-22,04:49:51,44,km,3.6,Ml
18 km al SO de Los Vilos,-32.022 ,-71.653,2022-04-22,00:14:48,2022-04-22,04:14:48,64,km,3.4,Ml
64 km al NO de Quillagua,-21.229 ,-69.951,2022-04-22,00:02:47,2022-04-22,04:02:47,77,km,2.9,Ml
