evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
44 km al SO de Los Vilos,-32.274 ,-71.706,2022-04-23,19:29:18,2022-04-23,23:29:18,31,km,2.5,Ml
45 km al SO de OllagÃ¼e,-21.521 ,-68.551,2022-04-23,18:22:35,2022-04-23,22:22:35,140,km,3.4,Ml
10 km al O de Arauco,-37.245 ,-73.426,2022-04-23,18:03:44,2022-04-23,22:03:44,35,km,3.6,Ml
67 km al SO de OllagÃ¼e,-21.781 ,-68.505,2022-04-23,15:36:13,2022-04-23,19:36:13,118,km,3.0,Ml
37 km al O de ValparaÃ­so,-32.960 ,-72.001,2022-04-23,14:30:40,2022-04-23,18:30:40,20,km,2.8,Ml
53 km al N de Huasco,-28.001 ,-71.081,2022-04-23,10:48:29,2022-04-23,14:48:29,41,km,3.4,Ml
42 km al NO de ValparaÃ­so,-32.824 ,-71.976,2022-04-23,10:43:42,2022-04-23,14:43:42,32,km,3.3,Ml
11 km al SO de Taltal,-25.481 ,-70.561,2022-04-23,07:14:53,2022-04-23,11:14:53,55,km,4.5,Mw
56 km al NO de Lebu,-37.182 ,-73.988,2022-04-23,06:20:39,2022-04-23,10:20:39,43,km,3.6,Ml
107 km al O de Iquique,-20.302 ,-71.178,2022-04-23,06:16:19,2022-04-23,10:16:19,37,km,3.5,Ml
57 km al NO de Lebu,-37.222 ,-74.073,2022-04-23,05:38:39,2022-04-23,09:38:39,39,km,3.2,Ml
54 km al NO de Lebu,-37.186 ,-73.950,2022-04-23,04:59:59,2022-04-23,08:59:59,33,km,3.0,Ml
8 km al NE de Arauco,-37.184 ,-73.283,2022-04-23,04:38:00,2022-04-23,08:38:00,33,km,3.4,Ml
75 km al NO de Lebu,-37.160 ,-74.286,2022-04-23,04:25:59,2022-04-23,08:25:59,34,km,4.5,Mw
69 km al NO de Lebu,-37.199 ,-74.245,2022-04-23,04:10:50,2022-04-23,08:10:50,36,km,4.0,Ml
6 km al SO de Tongoy,-30.299 ,-71.533,2022-04-23,03:48:22,2022-04-23,07:48:22,48,km,3.2,Ml
34 km al SE de Pica,-20.732 ,-69.128,2022-04-23,03:34:24,2022-04-23,07:34:24,109,km,3.6,Ml
12 km al N de Huasco,-28.355 ,-71.239,2022-04-23,00:15:25,2022-04-23,04:15:25,46,km,3.0,Ml
118 km al E de Tierra Amarilla,-27.760 ,-69.113,2022-04-23,00:11:18,2022-04-23,04:11:18,136,km,3.0,Ml
74 km al SE de Socaire,-24.036 ,-67.349,2022-04-22,21:55:22,2022-04-23,01:55:22,202,km,3.9,Ml
22 km al O de San Pedro de Atacama,-22.886 ,-68.414,2022-04-22,21:29:06,2022-04-23,01:29:06,103,km,3.1,Ml
74 km al S de El Salvador,-26.898 ,-69.461,2022-04-22,20:44:13,2022-04-23,00:44:13,15,km,3.3,Ml
28 km al O de Huasco,-28.395 ,-71.491,2022-04-22,20:02:27,2022-04-23,00:02:27,28,km,2.8,Ml
