evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
6 km al SO de Pisagua,-19.638,-70.246,2022-03-28,19:28:27,2022-03-28,22:28:27,52,km,2.5,Ml
32 km al NE de Quillagua,-21.421,-69.361,2022-03-28,19:00:30,2022-03-28,22:00:30,70,km,3.2,Ml
10 km al O de Ovalle,-30.625,-71.305,2022-03-28,18:45:16,2022-03-28,21:45:16,38,km,2.9,Ml
74 km al O de La Higuera,-29.486,-71.966,2022-03-28,18:01:29,2022-03-28,21:01:29,30,km,2.8,Ml
30 km al NE de Calama,-22.259,-68.745,2022-03-28,12:28:40,2022-03-28,15:28:40,122,km,2.8,Ml
73 km al N de Pica,-19.879,-69.086,2022-03-28,12:00:11,2022-03-28,15:00:11,97,km,3.3,Ml
26 km al NO de Rancagua,-33.95,-70.828,2022-03-28,11:10:00,2022-03-28,14:10:00,81,km,2.9,Ml
53 km al N de Cobquecura,-35.669,-72.922,2022-03-28,07:54:16,2022-03-28,10:54:16,24,km,2.6,Ml
2 km al S de Huasco,-28.483,-71.219,2022-03-28,06:36:42,2022-03-28,09:36:42,38,km,3.1,Ml
46 km al NE de Calama,-22.183,-68.612,2022-03-28,05:39:54,2022-03-28,08:39:54,120,km,3.0,Ml
38 km al E de Calama,-22.373,-68.579,2022-03-28,04:45:44,2022-03-28,07:45:44,100,km,2.7,Ml
18 km al SE de Tongoy,-30.37,-71.364,2022-03-28,00:26:47,2022-03-28,03:26:47,41,km,3.8,Ml
66 km al NE de Calama,-21.93,-68.66,2022-03-27,22:11:14,2022-03-28,01:11:14,126,km,3.0,Ml
50 km al SO de Tierra Amarilla,-27.672,-70.721,2022-03-27,21:37:21,2022-03-28,00:37:21,72,km,4.2,Ml
