evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
58 km al NE de Pica,-20.122,-68.941,2022-03-17,20:51:12,2022-03-17,23:51:12,108,km,3.2,Ml
45 km al SO de Tongoy,-30.634,-71.665,2022-03-17,18:27:15,2022-03-17,21:27:15,33,km,2.8,Ml
43 km al S de Tongoy,-30.623,-71.645,2022-03-17,18:21:23,2022-03-17,21:21:23,32,km,3.7,Ml
43 km al SO de Mina Collahuasi,-21.115,-68.937,2022-03-17,18:03:16,2022-03-17,21:03:16,120,km,2.6,Ml
64 km al N de Pica,-19.92,-69.299,2022-03-17,17:47:50,2022-03-17,20:47:50,87,km,2.8,Ml
73 km al SE de Socaire,-24.193,-67.605,2022-03-17,17:29:41,2022-03-17,20:29:41,199,km,3.1,Ml
55 km al SO de OllagÃ¼e,-21.647,-68.539,2022-03-17,16:31:14,2022-03-17,19:31:14,125,km,2.6,Ml
60 km al S de OllagÃ¼e,-21.744,-68.413,2022-03-17,16:23:30,2022-03-17,19:23:30,135,km,3.7,Ml
151 km al SO de Puerto Natales,-52.69,-74.069,2022-03-17,14:28:42,2022-03-17,17:28:42,11,km,3.5,Ml
24 km al SO de Illapel,-31.827,-71.277,2022-03-17,14:26:32,2022-03-17,17:26:32,79,km,3.9,Ml
16 km al SO de OllagÃ¼e,-21.299,-68.391,2022-03-17,12:16:18,2022-03-17,15:16:18,134,km,2.6,Ml
72 km al S de Socaire,-24.203,-67.653,2022-03-17,12:10:38,2022-03-17,15:10:38,229,km,2.7,Ml
40 km al NO de ValparaÃ­so,-32.799,-71.919,2022-03-17,10:14:37,2022-03-17,13:14:37,18,km,2.6,Ml
65 km al N de Mina Los Pelambres,-31.254,-70.411,2022-03-17,08:18:23,2022-03-17,11:18:23,130,km,3.0,Ml
59 km al NE de Calama,-22.022,-68.63,2022-03-17,08:13:29,2022-03-17,11:13:29,135,km,2.9,Ml
46 km al E de Mina Los Pelambres,-31.813,-70.103,2022-03-17,05:51:27,2022-03-17,08:51:27,148,km,3.1,Ml
48 km al SE de Pica,-20.856,-69.093,2022-03-17,05:26:38,2022-03-17,08:26:38,107,km,2.6,Ml
75 km al SE de Socaire,-23.929,-67.253,2022-03-17,05:22:25,2022-03-17,08:22:25,228,km,3.0,Ml
90 km al E de Socaire,-23.352,-67.049,2022-03-17,03:16:01,2022-03-17,06:16:01,240,km,3.2,Ml
85 km al O de Pisagua,-19.864,-70.98,2022-03-17,02:28:54,2022-03-17,05:28:54,35,km,2.5,Ml
69 km al SE de Socaire,-23.979,-67.36,2022-03-17,01:52:29,2022-03-17,04:52:29,232,km,3.1,Ml
42 km al NE de OllagÃ¼e,-20.978,-67.946,2022-03-17,01:42:53,2022-03-17,04:42:53,179,km,3.1,Ml
42 km al N de Huasco,-28.087,-71.243,2022-03-16,23:51:05,2022-03-17,02:51:05,35,km,2.7,Ml
27 km al O de Mina Collahuasi,-20.826,-68.913,2022-03-16,23:28:57,2022-03-17,02:28:57,96,km,2.5,Ml
18 km al E de Pica,-20.467,-69.156,2022-03-16,22:02:08,2022-03-17,01:02:08,86,km,3.7,Ml
88 km al E de Socaire,-23.875,-67.079,2022-03-16,21:40:13,2022-03-17,00:40:13,235,km,4.0,Ml
