evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
46 km al SE de Mina La Escondida.,-24.653,-68.874,2022-03-04,20:55:25,2022-03-04,23:55:25,124,km,2.7,Ml
44 km al SE de Futrono,-40.478,-72.142,2022-03-04,19:28:35,2022-03-04,22:28:35,9,km,2.6,Ml
38 km al SO de Tongoy,-30.428,-71.831,2022-03-04,18:40:57,2022-03-04,21:40:57,30,km,3.7,Ml
39 km al O de La Higuera,-29.543,-71.598,2022-03-04,18:09:45,2022-03-04,21:09:45,24,km,2.7,Ml
39 km al O de La Higuera,-29.55,-71.6,2022-03-04,17:00:00,2022-03-04,20:00:00,25,km,3.0,Ml
48 km al O de Tocopilla,-22.264,-70.626,2022-03-04,16:53:33,2022-03-04,19:53:33,20,km,2.8,Ml
16 km al NE de Termas del Flaco,-34.824,-70.361,2022-03-04,15:49:39,2022-03-04,18:49:39,128,km,2.9,Ml
61 km al NO de La Higuera,-29.021,-71.485,2022-03-04,13:31:45,2022-03-04,16:31:45,43,km,3.0,Ml
36 km al O de La Higuera,-29.529,-71.578,2022-03-04,11:45:52,2022-03-04,14:45:52,29,km,2.9,Ml
27 km al NO de Iquique,-20.068,-70.355,2022-03-04,10:29:30,2022-03-04,13:29:30,35,km,2.5,Ml
35 km al O de La Higuera,-29.562,-71.563,2022-03-04,09:58:48,2022-03-04,12:58:48,26,km,2.5,Ml
74 km al NE de Calama,-21.865,-68.638,2022-03-04,09:55:36,2022-03-04,12:55:36,115,km,3.7,Ml
88 km al SE de Socaire,-24.121,-67.243,2022-03-04,09:41:40,2022-03-04,12:41:40,210,km,3.2,Ml
40 km al O de La Higuera,-29.491,-71.609,2022-03-04,09:25:29,2022-03-04,12:25:29,40,km,2.5,Ml
30 km al S de Santiago,-33.708,-70.666,2022-03-04,08:50:45,2022-03-04,11:50:45,32,km,2.6,Ml
26 km al O de La Serena,-29.861,-71.52,2022-03-04,08:09:27,2022-03-04,11:09:27,65,km,3.6,Ml
39 km al O de La Higuera,-29.537,-71.602,2022-03-04,06:01:32,2022-03-04,09:01:32,32,km,4.4,Ml
46 km al O de Canela Baja,-31.541,-71.912,2022-03-04,04:57:30,2022-03-04,07:57:30,22,km,3.1,Ml
51 km al SE de CamiÃ±a,-19.737,-69.243,2022-03-04,02:48:52,2022-03-04,05:48:52,98,km,3.3,Ml
54 km al NO de Lebu,-37.16,-73.894,2022-03-04,01:27:27,2022-03-04,04:27:27,8,km,3.2,Ml
35 km al E de ConstituciÃ³n,-35.314,-72.031,2022-03-04,00:38:10,2022-03-04,03:38:10,44,km,3.3,Ml
50 km al NE de Calama,-22.061,-68.728,2022-03-03,22:57:49,2022-03-04,01:57:49,116,km,3.3,Ml
31 km al O de Canela Baja,-31.285,-71.758,2022-03-03,22:19:06,2022-03-04,01:19:06,26,km,3.2,Ml
