,Sala,Presidente,Ministros,Integrantes,Fecha2,Ministros2,Abogados,Integrante1,Integrante2,Integrante3,Integrante4,Causa1,Causa2,Causa3,Causa4
0,PRIMERA,  CARREÑO,  SILVA CERDA   ,SILVA CERDA  LAGOS FIGUEROA ,2018-01-10 00:00:00,,  LAGOS  FIGUEROA ,SILVA,CERDA,LAGOS,FIGUEROA,comisión,permiso,,
1,PRIMERA,  CARREÑO,  SILVA  MAGGI   ,SILVA MAGGI  PEÑAILILLO MATUS ,2018-01-15 00:00:00,,  PEÑAILILLO  MATUS ,SILVA,MAGGI,,PEÑAILILLO,permiso,feriado,,
2,PRIMERA,  CARREÑO,  SILVA  MAGGI  ,SILVA MAGGI ,2018-01-17 00:00:00,,  ,SILVA,MAGGI,,,feriado,,,
5,PRIMERA,  SILVA,  CHEVESICH  VALDERRAMA  ,CHEVESICH VALDERRAMA QUINTANILLA ,2018-01-11 00:00:00,,  QUINTANILLA  ,CHEVESICH,VALDERRAMA,QUINTANILLA,,permiso,feriado,,
7,PRIMERA,  CARREÑO,  SILVA  MAGGI SEÑÑOR FUENTES ,SILVA MAGGI SEÑÑOR FUENTES PEÑAILILLO,2018-01-18 00:00:00,,   PEÑAILILLO,SILVA,MAGGI,SEÑÑOR,FUENTES,feriado,,,
11,PRIMERA,  CARREÑO,  SILVA  MAGGHI SEÑÑOR FUENTES ,SILVA MAGGHI SEÑÑOR FUENTES PIZARRO,2018-01-22 00:00:00,,   PIZARRO,SILVA,MAGGHI,SEÑÑOR,FUENTES,feriado,,,
18,PRIMERA,  CARREÑO,  SILVA  MAGGI   ,SILVA MAGGI  LAGOS GOMEZ ,2018-01-23 00:00:00,,  LAGOS  GOMEZ ,SILVA,MAGGI,LAGOS,GOMEZ,comisión,feriado,,
25,PRIMERA,  CARREÑO,  SILVA  MAGGI  LOOS ABOGADOS ,SILVA MAGGI LOOS ABOGADOS PIZARRO CORREA ,2018-01-24 00:00:00,,  PIZARRO  CORREA ,SILVA,MAGGI,LOOS,ABOGADOS,feriado,,,
35,PRIMERA,  CARREÑO,  SILVA  SANDOVAL  LOS ,SILVA SANDOVAL LOS CORREA FIGUEROA ,2018-01-25 00:00:00,,  CORREA  FIGUEROA ,SILVA,SANDOVAL,LOS,CORREA,feriado,subroga,,
44,PRIMERA,  CARREÑO,  SILVA SEEÑORA MAGGI   ,SILVA SEEÑORA MAGGI  GOMEZ ETCHEBERRY ,2018-01-29 00:00:00,,  GOMEZ  ETCHEBERRY ,SILVA,SEEÑORA,MAGGI,,feriado,,,
52,PRIMERA,  CARRENO,  SILVA  MAGGI   ,SILVA MAGGI  GOMEZ ETCHEBERRY ,2018-01-30 00:00:00,,  GOMEZ   ETCHEBERRY ,SILVA,MAGGI,,GOMEZ,feriado,,,
57,PRIMERA,  CARRENO,  SILVA  MAGGÍ   ,SILVA MAGGÍ  QUINTANILLA GOMEZ ,2018-01-31 00:00:00,,  QUINTANILLA  GOMEZ ,SILVA,MAGGÍ,,QUINTANILLA,feriado,,,
66,PRIMERA,  CARREÑO,  SILVA CERDA   ,SILVA CERDA  LAGOS FIGUEROA ,2018-01-09 00:00:00,,  LAGOS  FIGUEROA ,SILVA,CERDA,LAGOS,FIGUEROA,comisión,feriado,,
77,PRIMERA,  CARREÑO,  SILVA PRADO   ,SILVA PRADO  GOMEZ FIGUEROA ,2018-01-08 00:00:00,,  GOMEZ  FIGUEROA ,SILVA,PRADO,,GOMEZ,comisión,,,
97,PRIMERA,  CARREÑO,  SILVA PRADO   ,SILVA PRADO  PEÑAILILLO FIGUEROA ,2018-01-04 00:00:00,,  PEÑAILILLO  FIGUEROA ,SILVA,PRADO,,PEÑAILILLO,comisión,feriado,,
109,PRIMERA,  CARREÑO,  SILVA RAS SANDOVAL  LOS ,SILVA RAS SANDOVAL LOS PEÑAILILLO ,2018-01-03 00:00:00,,  PEÑAILILLO  ,SILVA,RAS,SANDOVAL,LOS,comisión,feriado,,
122,PRIMERA,  CARRENO,  SILVA PRADO   ,SILVA PRADO  QUINTANILLA GOMEZ ,2018-01-02 00:00:00,,  QUINTANILLA  GOMEZ ,SILVA,PRADO,,QUINTANILLA,comisión,feriado,,
124,PRIMERA,  VALDES,  SILVA  MAGGI CHEVESICH  ,SILVA MAGGI CHEVESICH ,2018-02-12 00:00:00,, ,SILVA,MAGGI,CHEVESICH,,feriado,,,
127,PRIMERA,  SILVA,  MAGGI EGNEM CHEVESICH   ,MAGGI EGNEM CHEVESICH ,2018-02-13 00:00:00,, ,MAGGI,EGNEM,CHEVESICH,,feriado,,,
