,Sala,Fecha2,Presidente,Integrante1,Integrante2,Integrante3,Integrante4
504,PRIMERA,2020-04-28,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
517,PRIMERA,2020-04-29,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
531,PRIMERA,2020-04-09,AMAGGI,AEGNEM,FUENTES,PRADO,MU
545,PRIMERA,2020-04-08,AMAGGI,AEGNEM,FUENTES,PRADO,MU
560,PRIMERA,2020-04-07,AMAGGI,AEGNEM,FUENTES,PRADO,MU
578,PRIMERA,2020-04-03,AMAGGI,AEGNEM,FUENTES,PRADO,MU
594,PRIMERA,2020-04-02,AMAGGI,AEGNEM,FUENTES,PRADO,MU
614,PRIMERA,2020-04-01,AMAGGI,AEGNEM,FUENTES,PRADO,MU
617,PRIMERA,2020-05-11,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,GOMEZ
618,PRIMERA,2020-05-12,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
624,PRIMERA,2020-05-13,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
629,PRIMERA,2020-05-14,AEGNEM,FUENTES,ARANGUIZ,PRADO,MUNITA
635,PRIMERA,2020-05-15,AEGNEM,FUENTES,ARANGUIZ,PRADO,GOMEZ
641,PRIMERA,2020-05-18,AMAGGI,FUENTES,ARANGUIZ,PRADO,GOMEZ
647,PRIMERA,2020-05-19,AMAGGI,FUENTES,ARANGUIZ,PRADO,GOMEZ
656,PRIMERA,2020-05-20,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
665,PRIMERA,2020-05-22,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
675,PRIMERA,2020-05-25,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
699,PRIMERA,2020-05-27,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
709,PRIMERA,2020-05-26,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
711,PRIMERA,2020-05-28,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
726,PRIMERA,2020-05-29,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
741,PRIMERA,2020-05-08,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,MUNITA
752,PRIMERA,2020-05-07,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
761,PRIMERA,2020-05-06,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
771,PRIMERA,2020-05-05,AMAGGI,AEGNEM,FUENTES,AR,PRADO
781,PRIMERA,2020-05-04,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
783,PRIMERA,2020-06-10,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
785,PRIMERA,2020-06-11,AMAGGI,AEGNEM,PRADO,ZEPEDA,MUNITA
787,PRIMERA,2020-06-12,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
790,PRIMERA,2020-06-15,AMAGGI,FUENTES,PRADO,ZEPEDA,GOMEZ
795,PRIMERA,2020-06-16,AMAGGI,FUENTES,PRADO,ZEPEDA,AGAJARDO
799,PRIMERA,2020-06-17,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
805,PRIMERA,2020-06-18,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
810,PRIMERA,2020-06-19,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
814,PRIMERA,2020-06-22,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
820,PRIMERA,2020-06-23,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
828,PRIMERA,2020-06-24,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
838,PRIMERA,2020-06-25,AEGNEM,FUENTES,PRADO,ZEPEDA,MUNITA
849,PRIMERA,2020-06-26,AEGNEM,FUENTES,PRADO,ZEPEDA,GOMEZ
858,PRIMERA,2020-06-30,AMAGGI,AEGNEM,PRADO,LAGOS,MUNITA
868,PRIMERA,2020-06-09,AMAGGI,FUENTES,PRADO,LAGOS,MUNITA
881,PRIMERA,2020-06-08,AMAGGI,AEGNEM,PRADO,MUNITA,GOMEZ
890,PRIMERA,2020-06-05,AMAGGI,AEGNEM,FUENTES,PRADO,GOMEZ
912,PRIMERA,2020-06-04,AMAGGI,AEGNEM,FUENTES,PRADO,MUNITA
913,PRIMERA,2020-06-03,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
923,PRIMERA,2020-06-02,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
937,PRIMERA,2020-06-01,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
939,PRIMERA,2020-07-10,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
940,PRIMERA,2020-07-13,AMAGGI,AEGNEM,FUENTES,PRADO,AETCHEBERRY
943,PRIMERA,2020-07-14,AEGNEM,FUENTES,PRADO,ZEPEDA,GOMEZ
947,PRIMERA,2020-07-15,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
951,PRIMERA,2020-07-17,AEGNEM,FUENTES,PRADO,MUNITA,GOMEZ
952,PRIMERA,2020-07-20,AMAGGI,FUENTES,PRADO,ZEPEDA,MUNITA
954,PRIMERA,2020-07-21,AMAGGI,FUENTES,PRADO,ZEPEDA,GOMEZ
955,PRIMERA,2020-07-22,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
959,PRIMERA,2020-07-23,AMAGGI,AEGNEM,FUENTES,PRADO,MUNITA
965,PRIMERA,2020-07-24,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
972,PRIMERA,2020-07-27,AMAGGI,AEGNEM,FUENTES,PRADO,GOMEZ
980,PRIMERA,2020-07-28,AMAGGI,AEGNEM,FUENTES,PRADO,ABUAUAD
990,PRIMERA,2020-07-29,AMAGGI,AEGNEM,PRADO,ZEPEDA,MUNITA
999,PRIMERA,2020-07-30,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
