,Sala,Presidente,Ministros,Integrantes,Fecha2,Ministros2,Abogados,Integrante1,Integrante2,Integrante3,Integrante4,Causa1,Causa2,Causa3,Causa4
0,PRIMERA,  SEGURA,  VALDES SILVA FUENTES   ,VALDES SILVA FUENTES LECAROS,2015-01-12 00:00:00,,   LECAROS,VALDES,SILVA,FUENTES,LECAROS,feriado,,,
1,PRIMERA,  SEGURA,  VALDES SILVA  MAGGI   ,VALDES SILVA MAGGI LECAROS,2015-01-15 00:00:00,,   LECAROS,VALDES,SILVA,MAGGI,LECAROS,permiso,,,
2,PRIMERA,  VALDES,  SILVA ARANGUIZ   ,SILVA ARANGUIZ  BARA ONA LECAROS ,2015-01-29 00:00:00,,  BARA ONA  LECAROS ,SILVA,ARANGUIZ,BARAONA,LECAROS,licencia,permiso,feriado,
5,PRIMERA,  SEGURA,  VALDES SILVA SEEÑORA MAGGI   ,VALDES SILVA SEEÑORA MAGGI LECAROS,2015-01-14 00:00:00,,   LECAROS,VALDES,SILVA,SEEÑORA,MAGGI,permiso,,,
8,PRIMERA,  SEGURA,  VALDES SILVA   ,VALDES SILVA  LAGOS PRIETO ,2015-01-19 00:00:00,,  LAGOS  PRIETO ,VALDES,SILVA,,LAGOS,,,,
10,PRIMERA,  SEGURA,  VALDES SILVA  MAGGI   ,VALDES SILVA MAGGI LECAROS,2015-01-13 00:00:00,,   LECAROS,VALDES,SILVA,MAGGI,LECAROS,,,,
15,PRIMERA,  SEGURA,  VALDES SILVA   ,VALDES SILVA  PFEFFER LECAROS ,2015-01-20 00:00:00,,  PFEFFER  LECAROS ,VALDES,SILVA,,PFEFFER,licencia,feriado,,
21,PRIMERA,  SEGURA,  VALDES SILVA   ,VALDES SILVA  LAGOS PRIETO ,2015-01-21 00:00:00,,  LAGOS  PRIETO ,VALDES,SILVA,,LAGOS,licencia,feriado,,
26,PRIMERA,  SEGURA,  VALDES SILVA  LOS ABOOGADOS ,VALDES SILVA LOS ABOOGADOS LAGOS LECAROS ,2015-01-22 00:00:00,,  LAGOS  LECAROS ,VALDES,SILVA,LOS,ABOOGADOS,licencia,feriado,,
37,PRIMERA,  SEGURA,  VALDES SILVA   ,VALDES SILVA  BARA ONA LAGOS ,2015-01-26 00:00:00,,  BARA ONA  LAGOS ,VALDES,SILVA,BARAONA,LAGOS,licencia,feriado,,
43,PRIMERA,  SEGURA,  VALDES SILVA   ,VALDES SILVA  BARA ONA LECAROS ,2015-01-27 00:00:00,,  BARA ONA  LECAROS ,VALDES,SILVA,BARAONA,LECAROS,licencia,feriado,,
50,PRIMERA,  VALDES,  SILVA ARANGUIZ   ,SILVA ARANGUIZ  LAGOS PRIETO ,2015-01-28 00:00:00,,  LAGOS  PRIETO ,SILVA,ARANGUIZ,,LAGOS,licencia,permiso,feriado,
90,PRIMERA,  SEGURA,  VALDES SEVA FUENTES   ,VALDES SEVA FUENTES LECAROS,2015-01-08 00:00:00,,   LECAROS,VALDES,SEVA,FUENTES,LECAROS,feriado,,,
100,PRIMERA,  SEGURA,  VALDES SILVA FUENTES   ,VALDES SILVA FUENTES PFEFFER,2015-01-07 00:00:00,,   PFEFFER,VALDES,SILVA,FUENTES,PFEFFER,feriado,,,
111,PRIMERA,  SEGURA,  VALDES SILVA FUENTES   ,VALDES SILVA FUENTES BAR AONA,2015-01-06 00:00:00,,   BAR AONA,VALDES,SILVA,FUENTES,BAR,feriado,,,
119,PRIMERA,  SEGURA,  VALDES SILVA FUENTES   ,VALDES SILVA FUENTES BAR ONA,2015-01-05 00:00:00,,   BAR  ONA,VALDES,SILVA,FUENTES,BAR,feriado,,,
129,PRIMERA,"  VALDES,",  PIERRY SILVA  MAGGI ,PIERRY SILVA MAGGI ,2015-02-10 00:00:00,, ,PIERRY,SILVA,MAGGI,,feriado,,,
132,PRIMERA,  V ALDES,  PIERRY SILVA  MAGGI  ,PIERRY SILVA MAGGI ,2015-02-11 00:00:00,, ,PIERRY,SILVA,MAGGI,,permiso,feriado,,
136,PRIMERA,  VALDES,  PIERRY SILVA  MAGGI  ,PIERRY SILVA MAGGI ,2015-02-12 00:00:00,, ,PIERRY,SILVA,MAGGI,,permiso,feriado,,
144,PRIMERA,  VALDES,  PIERRY  MAGGI  ,PIERRY MAGGI  BARA ONA,2015-02-16 00:00:00,,   BARA ONA,PIERRY,MAGGI,BARAONA,,feriado,,,
150,PRIMERA,  Y ALDES,  CARREÑO PIERRY  MAGGI  ,CARREÑO PIERRY MAGGI ,2015-02-17 00:00:00,, ,CARREÑO,PIERRY,MAGGI,,permiso,feriado,,
157,PRIMERA,  VALDES,  CARREÑO PIERRY  MAGGI  ,CARREÑO PIERRY MAGGI ,2015-02-18 00:00:00,, ,CARREÑO,PIERRY,MAGGI,,permiso,feriado,,
165,PRIMERA,  VALDES,  CARREÑO PIERRY  MAGGI ,CARREÑO PIERRY MAGGI ,,, ,CARREÑO,PIERRY,MAGGI,,feriado,subroga,,
181,PRIMERA,  CARREÑO,  PIERRY  MAGGI EGNEM   ,PIERRY MAGGI EGNEM PERALTA,2015-02-23 00:00:00,,   PERALTA,PIERRY,MAGGI,EGNEM,PERALTA,permiso,feriado,,
191,PRIMERA,  VALDES,  ÑCARREÑO PIERRY SEEÑORAS ,ÑCARREÑO PIERRY SEEÑORAS ,2015-02-25 00:00:00,, ,ÑCARREÑO,PIERRY,SEEÑORAS,,permiso,feriado,,
202,PRIMERA,  VALDES,  CARREÑO PIERRY RAS ,CARREÑO PIERRY RAS ,2015-02-26 00:00:00,, ,CARREÑO,PIERRY,RAS,,feriado,subroga,,
224,PRIMERA,  VALDES,  PIERRY SILVA SEEORA MAGGI ,PIERRY SILVA SEEORA MAGGI ,,, ,PIERRY,SILVA,SEEORA,MAGGI,,,,
248,PRIMERA,  V ALDES,  PIERRY SILVA FUENTES  ,PIERRY SILVA FUENTES ,2015-02-05 00:00:00,, ,PIERRY,SILVA,FUENTES,,licencia,feriado,,
262,PRIMERA,  VALDES,  PIERRY SILVA FUENTES  ,PIERRY SILVA FUENTES ,2015-02-04 00:00:00,, ,PIERRY,SILVA,FUENTES,,licencia,,,
277,PRIMERA,  Y ALDES,  PIERRY SILVA FUENTES  ,PIERRY SILVA FUENTES ,2015-02-03 00:00:00,, ,PIERRY,SILVA,FUENTES,,licencia,feriado,,
293,PRIMERA,  VALDES,  PIERRY SILVA FUENTES  ,PIERRY SILVA FUENTES ,2015-02-02 00:00:00,, ,PIERRY,SILVA,FUENTES,,,,,
296,PRIMERA,  SEGURA,  VALDES SILVA  MAGGI  ,VALDES SILVA MAGGI ,2015-03-10 00:00:00,, ,VALDES,SILVA,MAGGI,,,,,
297,PRIMERA,  SEGURA,  VALDÉS SILVA  MAGGI  ,VALDÉS SILVA MAGGI ,2015-03-11 00:00:00,, ,VALDÉS,SILVA,MAGGI,,,,,
303,PRIMERA,  SEGURA,  VALDES SILVA RA MAGGI  ,VALDES SILVA RA MAGGI ,2015-03-16 00:00:00,, ,VALDES,SILVA,RA,MAGGI,,,,
306,PRIMERA,  SEGURA,  SILVA  MAGGI  FUENTES,SILVA MAGGI FUENTES PEÑAILILLO,,FUENTES,   PEÑAILILLO,SILVA,MAGGI,FUENTES,PEÑAILILLO,comisión,,,
310,PRIMERA,  SEGURA,  SILVA  MAGGI  FUENTES,SILVA MAGGI FUENTES PEÑAILILLO,2015-03-18 00:00:00,FUENTES,   PEÑAILILLO,SILVA,MAGGI,FUENTES,PEÑAILILLO,comisión,,,
315,PRIMERA,  SEGURA,  MAGGI  FUENTES  LOS ,MAGGI FUENTES LOS PEÑAILILLO GÓOMEZ ,2015-03-19 00:00:00,,  PEÑAILILLO  GÓOMEZ ,MAGGI,FUENTES,LOS,PEÑAILILLO,comisión,,,
325,PRIMERA,  SEGURA,  VALDES  MAGGI  FUENTES,VALDES MAGGI FUENTES GOMEZ,2015-03-23 00:00:00,FUENTES,   GOMEZ,VALDES,MAGGI,FUENTES,GOMEZ,comisión,,,
330,PRIMERA,  SEGURA,  VALDES SILVA  MAGGI  ,VALDES SILVA MAGGI ,2015-03-24 00:00:00,, ,VALDES,SILVA,MAGGI,,,,,
337,PRIMERA,  SEGURA,  VALDÉS SILVA  MAGGI  ,VALDÉS SILVA MAGGI ,,, ,VALDÉS,SILVA,MAGGI,,,,,
346,PRIMERÁA,  SEGURA,  VALDÉS  MÁAGGI  ,VALDÉS MÁAGGI  LAGOS,2015-03-26 00:00:00,,   LAGOS,VALDÉS,MÁAGGI,,LAGOS,comisión,,,
364,PRIMERA,  SEGURA,  VALDES SILVA  FUENTES   ,VALDES SILVA FUENTES GOMEZ,2015-04-30 00:00:00,,   GOMEZ,VALDES,SILVA,FUENTES,GOMEZ,comisión,,,
373,PRIMERA,  SEGURA,  VALDES SILVA SEORA MAGGI  ,VALDES SILVA SEORA MAGGI ,2015-03-09 00:00:00,, ,VALDES,SILVA,SEORA,MAGGI,,,,
390,PRIMERA,  JUICA,  * DOLMESTCH VALDÉS SILVA  ,* DOLMESTCH VALDÉS SILVA ,2015-03-05 00:00:00,, ,*,DOLMESTCH,VALDÉS,SILVA,comisión,permiso,,
402,PRIMERA,  V ALDES,  15SILVA FUENTES   ,15SILVA FUENTES  GOMEZ FIGUEROA ,2015-03-04 00:00:00,,  GOMEZ  FIGUEROA ,15SILVA,FUENTES,,GOMEZ,comisión,permiso,,
411,PRIMERA,  VALDES,  $SILVA FUENTES   ,$SILVA FUENTES  GOMEZ FIGUEROA ,2015-03-03 00:00:00,,  GOMEZ  FIGUEROA ,$SILVA,FUENTES,,GOMEZ,comisión,permiso,,
418,PRIMERA,"  CARRENO,",  PIERRY  EGNEM ,PIERRY EGNEM ,2015-03-02 00:00:00,, ,PIERRY,EGNEM,,,,,,
422,PRIMERA,  SEGURA,  VALDES SILVA  MAGGI  ,VALDES SILVA MAGGI ,2015-04-13 00:00:00,, ,VALDES,SILVA,MAGGI,,,,,
423,PRIMERA,  SEGURA,  VALDÉS SILVA  MAGGI   ,VALDÉS SILVA MAGGI FIGUEROA,2015-04-14 00:00:00,,   FIGUEROA,VALDÉS,SILVA,MAGGI,FIGUEROA,permiso,,,
427,PRIMERA,  VALDES,  SILVA  MAGGI  FUENTES ,SILVA MAGGI FUENTES GOMEZ,2015-04-15 00:00:00,,   GOMEZ,SILVA,MAGGI,FUENTES,GOMEZ,licencia,,,
430,PRIMERA,  VALDÉS,  MAGGI  FUENTES   ,MAGGI FUENTES  CORREA FIGUEROA ,2015-04-16 00:00:00,,  CORREA  FIGUEROA ,MAGGI,FUENTES,,CORREA,licencia,comisión,,
438,PRIMERA,  VALDES,,,2015-04-21 00:00:00,, ,,,,,,,,
441,PRIMERA,  VALDES |,  CARREÑO SILVA  MAGGI  ,CARREÑO SILVA MAGGI  PEÑAILILLO,2015-04-22 00:00:00,,   PEÑAILILLO,CARREÑO,SILVA,MAGGI,,subroga,,,
445,PRIMERA,  VALDEÉS,  CARREÑO SILVA  MAGGI  ,CARREÑO SILVA MAGGI ,2015-04-23 00:00:00,, ,CARREÑO,SILVA,MAGGI,,,,,
459,PRIMERA,"  KUNSEMULLER,",  BRITO CISTERNAS   ,BRITO CISTERNAS  PEÑAILILLO FIGUEROA ,2015-04-27 00:00:00,,  PEÑAILILLO  FIGUEROA ,BRITO,CISTERNAS,,PEÑAILILLO,permiso,,,
464,PRIMERA,  VALDES,  SILVA ARANGUIZ   ,SILVA ARANGUIZ  PEÑAILILLO FIGUEROA ,2015-04-28 00:00:00,,  PEÑAILILLO  FIGUEROA ,SILVA,ARANGUIZ,,PEÑAILILLO,comisión,,,
471,PRIMERA,  VALDES,  CARREÑO SILVA SRÑORA MAGGI  ,CARREÑO SILVA SRÑORA MAGGI  FIGUEROA,2015-04-29 00:00:00,,   FIGUEROA,CARREÑO,SILVA,SRÑORA,MAGGI,subroga,,,
480,PRIMERA,  VALDÉS, —  MAGGI  FUENTES ,— MAGGI FUENTES FIGUEROA,2015-04-30 00:00:00,,   FIGUEROA,—,MAGGI,FUENTES,FIGUEROA,comisión,,,
490,PRIMERA,  VALDÉS,  MAGGI  FUENTES   ,MAGGI FUENTES  GOMEZ PRADO ,2015-04-09 00:00:00,,  GOMEZ  PRADO ,MAGGI,FUENTES,,GOMEZ,comisión,permiso,,
498,PRIMERA,  SEGURA,  VALDÉS SILVA SEEÑORA MAGGI  ,VALDÉS SILVA SEEÑORA MAGGI ,2015-04-08 00:00:00,, ,VALDÉS,SILVA,SEEÑORA,MAGGI,,,,
508,PRIMERA,  SEGURA,  VALDES SILVA SEORA MAGGI  ,VALDES SILVA SEORA MAGGI ,2015-04-07 00:00:00,, ,VALDES,SILVA,SEORA,MAGGI,,,,
514,PRIMERA,  V ALDES,  SILVA  MAGGI SEEÑOR FUENTES,SILVA MAGGI SEEÑOR FUENTES GÓMEZ,2015-04-06 00:00:00,FUENTES,   GÓMEZ,SILVA,MAGGI,SEEÑOR,FUENTES,permiso,,,
526,PRIMERA,  VALDES,  SILVA  MAGGI  FUENTES,SILVA MAGGI FUENTES GÓMEZ,2015-04-02 00:00:00,FUENTES,   GÓMEZ,SILVA,MAGGI,FUENTES,GÓMEZ,permiso,,,
537,PRIMERA,  VALDES,  SILVA  MAGGI  FUENTES,SILVA MAGGI FUENTES GÓMEZ,2015-04-01 00:00:00,FUENTES,   GÓMEZ,SILVA,MAGGI,FUENTES,GÓMEZ,permiso,,,
540,PRIMERA,  VALDES,  SILVA RA MAGGI  FUENTES ,SILVA RA MAGGI FUENTES GOMEZ,2015-05-11 00:00:00,,   GOMEZ,SILVA,RA,MAGGI,FUENTES,permiso,,,
543,PRIMERA,  VALDES,  CARREÑO SILVA  MAGGI  ,CARREÑO SILVA MAGGI  CORREA,,,   CORREA,CARREÑO,SILVA,MAGGI,,subroga,,,
546,PRIMERA,  VALDÉS,  CARREÑO KUNSEMULLER ,CARREÑO KUNSEMULLER ,2015-05-13 00:00:00,, ,CARREÑO,KUNSEMULLER,,,,,,
551,PRIMERA,"  VALDES,",  MAGGI  FUENTES   ,"MAGGI FUENTES  GOMEZ, ETCHEBERRY, ",2015-05-14 00:00:00,,"  GOMEZ,   ETCHEBERRY, ",MAGGI,FUENTES,,GOMEZ,comisión,,,
556,PRIMERA,  VALDÉS,  CARREÑO SILVA  MAGGI  ,CARREÑO SILVA MAGGI ,,, ,CARREÑO,SILVA,MAGGI,,,,,
560,PRIMERA,   VALDES,  CARREÑO SILVA  MAGGI  ,CARREÑO SILVA MAGGI ,2015-05-19 00:00:00,, ,CARREÑO,SILVA,MAGGI,,,,,
566,PRIMERA,  VALDES,  CARREÑO  MAGGI MUÑOZ  ,CARREÑO MAGGI MUÑOZ  FIGUEROA,2015-05-20 00:00:00,,   FIGUEROA,CARREÑO,MAGGI,MUÑOZ,,comisión,permiso,,
576,PRIMERA,  VALDES,  CARREÑO SILVA RA MAGGI  ,CARREÑO SILVA RA MAGGI ,2015-05-25 00:00:00,, ,CARREÑO,SILVA,RA,MAGGI,licencia,,,
581,PRIMERA,  VALDÉS,  ,,,, ,,,,,licencia,comisión,,
586,PRIMERA,  VALDES,  CARREÑO ARANGUIZ ,CARREÑO ARANGUIZ ,,, ,CARREÑO,ARANGUIZ,,,licencia,comisión,,
596,PRIMERA,  VALDES,  CARREÑO  MAGGI  LOS ,CARREÑO MAGGI LOS CORREA FIGUEROA ,2015-05-28 00:00:00,,  CORREA  FIGUEROA ,CARREÑO,MAGGI,LOS,CORREA,licencia,comisión,,
613,PRIMERA,  CARREÑO,  SILVA  MAGGI   ,SILVA MAGGI  GÓMEZ ETCHEBERRY ,2015-05-07 00:00:00,,  GÓMEZ   ETCHEBERRY ,SILVA,MAGGI,,GÓMEZ,comisión,permiso,,
623,PRIMERA,  CARREÑO,  SILVA  MAGGI  FUENTES ,SILVA MAGGI FUENTES PEÑATLILLO,2015-05-06 00:00:00,,   PEÑATLILLO,SILVA,MAGGI,FUENTES,PEÑATLILLO,comisión,,,
631,PRIMERA,  CARRENO,  SILVA SEEÑORA MAGGI   ,SILVA SEEÑORA MAGGI  PEÑAILILLO FIGUEROA ,2015-05-05 00:00:00,,  PEÑAILILLO  FIGUEROA ,SILVA,SEEÑORA,MAGGI,,comisión,subroga,,
642,PRIMERA,  CARREÑO,  SILVA  MAGGI  FUENTES MINISTROS:  SILVA  MAGGI  FUENTES,SILVA MAGGI FUENTES MINISTROS: SILVA MAGGI FUENTES PEÑAILILLO,2015-05-04 00:00:00,"MINISTROS: SEÑOR SILVA, señora MAGGI, señor FUENTES",   PEÑAILILLO,SILVA,MAGGI,FUENTES,MINISTROS:,comisión,,,
644,PRIMERA,  VALDÉS,  CARREÑO SILVA STÑORA MAGGI  ,CARREÑO SILVA STÑORA MAGGI  PEÑAILILLO,2015-06-10 00:00:00,,   PEÑAILILLO,CARREÑO,SILVA,STÑORA,MAGGI,licencia,,,
648,PRIMERA,  VALDÉS,  CARREÑO SILVA  MAGGI  ,CARREÑO SILVA MAGGI  FIGUEROA,2015-06-11 00:00:00,,   FIGUEROA,CARREÑO,SILVA,MAGGI,,licencia,,,
653,PRIMERA,  VALDES,  SILVA  MAGGI   ,SILVA MAGGI  QUINTANILLA PIZARRO ,2015-06-15 00:00:00,,  QUINTANILLA  PIZARRO ,SILVA,MAGGI,,QUINTANILLA,licencia,comisión,,
655,PRIMERA,  VALDÉS,  SILVA RA MAGGI   ,SILVA RA MAGGI  QUINTANILLA FIGUEROA ,2015-06-17 00:00:00,,  QUINTANILLA  FIGUEROA ,SILVA,RA,MAGGI,,licencia,comisión,,
658,PRIMERA,  VALDÉS,  SILVA  MAGGI   ,SILVA MAGGI  PIZARRO PRADO ,2015-06-18 00:00:00,,  PIZARRO  PRADO ,SILVA,MAGGI,,PIZARRO,licencia,comisión,,
662,PRIMERA,  VALDÉS,  CARREÑO SILVA SEEÑORA MAGGI  ,CARREÑO SILVA SEEÑORA MAGGI ,2015-06-22 00:00:00,, ,CARREÑO,SILVA,SEEÑORA,MAGGI,licencia,,,
668,PRIMERA,  VALDES,  CARREÑO SILVA BLANCO   ,CARREÑO SILVA BLANCO GOMEZ,2015-06-23 00:00:00,,   GOMEZ,CARREÑO,SILVA,BLANCO,GOMEZ,licencia,subroga,,
675,PRIMERA,  VALDES,  CARREÑO SILVA  MAGGI  ,CARREÑO SILVA MAGGI  PEÑAILILLO,2015-06-24 00:00:00,,   PEÑAILILLO,CARREÑO,SILVA,MAGGI,,licencia,,,
681,PRIMERA,  VALDES,  BRITO ARÁNGUIZ   ,BRITO ARÁNGUIZ  PEÑAILILLO GOMEZ ,2015-06-25 00:00:00,,  PEÑAILILLO  GOMEZ ,BRITO,ARÁNGUIZ,,PEÑAILILLO,licencia,comisión,,
694,PRIMERA,  VALDES,  CARREÑO SILVA   ,CARREÑO SILVA  QUINTANILLA — ,2015-06-30 00:00:00,,  QUINTANILLA —  ,CARREÑO,SILVA,,QUINTANILLA,licencia,permiso,,
701,PRIMERA,  CARREÑNO,  SILVA  MAGGI   ,SILVA MAGGI  QUINTANILLA FIGUEROA ,2015-06-09 00:00:00,,  QUINTANILLA  FIGUEROA ,SILVA,MAGGI,,QUINTANILLA,licencia,comisión,,
709,PRIMERA,  CARREÑO,  SILVA  MAGGI   ,SILVA MAGGI  PEÑAILILLO FIGUEROA ,2015-06-08 00:00:00,,  PEÑAILILLO  FIGUEROA ,SILVA,MAGGI,,PEÑAILILLO,licencia,comisión,,
726,PRIMERA,  CARREÑO,   SILVA  MAGGI  BLANCO,SILVA MAGGI BLANCO PIZARRO,2015-06-04 00:00:00,BLANCO,   PIZARRO,SILVA,MAGGI,BLANCO,PIZARRO,licencia,comisión,,
735,PRIMERA,  VALDES,  CARREÑO SILVA  MAGGI  ,CARREÑO SILVA MAGGI  FIGUEROA,2015-06-03 00:00:00,,   FIGUEROA,CARREÑO,SILVA,MAGGI,,licencia,,,
745,PRIMERA,  VALDES,  CARREÑO SILVA  MAGGI  ,CARREÑO SILVA MAGGI  PEÑAILILLO,2015-06-02 00:00:00,,   PEÑAILILLO,CARREÑO,SILVA,MAGGI,,licencia,,,
754,PRIMERA,  VALDÉS,  CARREÑO SILVA  MAGGI  ,CARREÑO SILVA MAGGI  PEÑATLILLO,2015-06-01 00:00:00,,   PEÑATLILLO,CARREÑO,SILVA,MAGGI,,licencia,,,
757,PRIMERA,  VALDES,  CARREÑO SILVA  MAGGI  ,CARREÑO SILVA MAGGI ,2015-07-13 00:00:00,, ,CARREÑO,SILVA,MAGGI,,,,,
758,PRIMERA,  CARREÑO,  SILVA  MAGGI   ,SILVA MAGGI  PEÑAILILLO LAGOS ,2015-07-14 00:00:00,,  PEÑAILILLO  LAGOS ,SILVA,MAGGI,,PEÑAILILLO,comisión,,,
764,PRIMERA,  CARREÑO,  SILVA  MAGGII  FUENTES ,SILVA MAGGII FUENTES LAGOS,2015-07-21 00:00:00,,   LAGOS,SILVA,MAGGII,FUENTES,LAGOS,comisión,,,
768,PRIMERA,  VALDÉS,  CARREÑO SILVA FUENTES   ,CARREÑO SILVA FUENTES FIGUEROA,2015-07-22 00:00:00,,   FIGUEROA,CARREÑO,SILVA,FUENTES,FIGUEROA,permiso,,,
774,. PRIMERA,"  VALDES,",  MAGGIL STÑOR FUENTES  LOS ,MAGGIL STÑOR FUENTES LOS GOMEZ RA ,2015-07-23 00:00:00,,  GOMEZ  RA ,MAGGIL,STÑOR,FUENTES,LOS,comisión,,,
781,PRIMERA,  CARREÑO,  FUENTES,FUENTES FIGUEROA,2015-07-27 00:00:00,FUENTES,   FIGUEROA,FUENTES,FIGUEROA,,,comisión,,,
784,PRIMERA,  VALDES,  CARREÑO SILVA  MAGGI  ,CARREÑO SILVA MAGGI ,2015-07-28 00:00:00,, ,CARREÑO,SILVA,MAGGI,,,,,
789,PRIMERA,  VALDES,  CARREÑO SILVA  MAGGI  ,CARREÑO SILVA MAGGI ,2015-07-29 00:00:00,, ,CARREÑO,SILVA,MAGGI,,,,,
797,PRIMERA,  VALDES,  MAGGI SRÑOR FUENTES  LOS ,MAGGI SRÑOR FUENTES LOS GOMEZ FIGUEROA ,2015-07-30 00:00:00,,  GOMEZ  FIGUEROA ,MAGGI,SRÑOR,FUENTES,LOS,comisión,,,
810,PRIMERA,  VALDES,   BRITO ARÁNGUIZ   ,BRITO ARÁNGUIZ ,2015-07-09 00:00:00,, ,BRITO,ARÁNGUIZ,,,permiso,,,
817,PRIMERA,  VALDES,  FUENTES ARÁNGUIZ   ,FUENTES ARÁNGUIZ ,2015-07-08 00:00:00,, ,FUENTES,ARÁNGUIZ,,,comisión,,,
825,PRIMERA,  VALDES,  CARREÑO SILVA  MAGGI  ,CARREÑO SILVA MAGGI ,2015-07-07 00:00:00,, ,CARREÑO,SILVA,MAGGI,,,,,
833,PRIMERA,  VALDES,  CARREÑO SILVA  MAGGI  ,CARREÑO SILVA MAGGI ,2015-07-06 00:00:00,, ,CARREÑO,SILVA,MAGGI,,,,,
854,PRIMERA,  CARRENO,  $SILVA  MAGGI   ,$SILVA MAGGI  MATUS LAGOS ,2015-07-02 00:00:00,,  MATUS  LAGOS ,$SILVA,MAGGI,,MATUS,licencia,comisión,,
863,PRIMERA,  CARREÑO, = — SILVA  MAGGI   ,= — SILVA MAGGI  CORREA FIGUEROA ,2015-07-01 00:00:00,,  CORREA  FIGUEROA ,=,—,SILVA,MAGGI,licencia,comisión,,
866,PRIMERA,  VALDES,  CARREÑO SILVA  MAGGI  ,CARREÑO SILVA MAGGI ,2015-08-10 00:00:00,, ,CARREÑO,SILVA,MAGGI,,,,,
868,PRIMERA,  VALDES,  CARREÑO SILVA   ,CARREÑO SILVA  QUINTANILLA MATUS ,2015-08-11 00:00:00,,  QUINTANILLA  MATUS ,CARREÑO,SILVA,,QUINTANILLA,comisión,subroga,,
871,PRIMERA,  VALDES,  SILVA FUENTES VY  ,SILVA FUENTES VY PEÑAILILLO FIGUEROA ,2015-08-12 00:00:00,,  PEÑAILILLO  FIGUEROA ,SILVA,FUENTES,VY,PEÑAILILLO,comisión,,,
875,PRIMERA,  VALDES,  CARREÑO STÑORA MAGGI  LOS ,CARREÑO STÑORA MAGGI LOS PEÑAILILLO GOMEZ ,2015-08-13 00:00:00,,  PEÑAILILLO  GOMEZ ,CARREÑO,STÑORA,MAGGI,LOS,comisión,subroga,,
884,PRIMERA,  CARREÑO,  SILVA  MAGGI   - ,SILVA MAGGI - PENAILILLO FIGUEROA ,2015-08-17 00:00:00,,  PENAILILLO  FIGUEROA ,SILVA,MAGGI,-,PENAILILLO,comisión,subroga,,
888,PRIMERA,  CARREÑO,  SILVA  MAGGI  FUENTES ,SILVA MAGGI FUENTES FIGUEROA,2015-08-18 00:00:00,,   FIGUEROA,SILVA,MAGGI,FUENTES,FIGUEROA,comisión,,,
894,PRIMERA,  SILVA,  MAGGI  FUENTES  LOS ,MAGGI FUENTES LOS PIZARRO CORREA ,2015-08-19 00:00:00,,  PIZARRO  CORREA ,MAGGI,FUENTES,LOS,PIZARRO,comisión,,,
900,PRIMERA,,  FUENTES FISCAL:  ESCOBAR  LOS ,FUENTES FISCAL: ESCOBAR LOS £ PEÑAILILLO ,2015-08-20 00:00:00,, £ PEÑAILILLO  ,FUENTES,FISCAL:,ESCOBAR,LOS,comisión,,,
908,PRIMERA,  VALDES,  CARREÑO SILVA  MAGGI  ,CARREÑO SILVA MAGGI  PIZARRO,2015-08-24 00:00:00,,   PIZARRO,CARREÑO,SILVA,MAGGI,,subroga,,,
920,PRIMERA,  VALDES,  CARREÑO SILVA  MAGGI  ,CARREÑO SILVA MAGGI ,2015-08-25 00:00:00,, ,CARREÑO,SILVA,MAGGI,,,,,
930,PRIMERA,  VALDES,  SILVA FUENTES   ,SILVA FUENTES  LAGOS ETCHEBERR ,2015-08-26 00:00:00,,  LAGOS   ETCHEBERR  ,SILVA,FUENTES,,LAGOS,comisión,,,
938,PRIMERA,  VALDES,  MAGGI  FUENTES  LOS ,MAGGI FUENTES LOS LAGOS GOMEZ ,2015-08-27 00:00:00,,  LAGOS  GOMEZ ,MAGGI,FUENTES,LOS,LAGOS,comisión,,,
952,PRIMERA,  VALDES,  CARREÑO SILVA FUENTES   ,CARREÑO SILVA FUENTES PIZARRO,2015-08-31 00:00:00,,   PIZARRO,CARREÑO,SILVA,FUENTES,PIZARRO,feriado,,,
967,PRIMERA,  VALDES,  CARREÑO SILVA  MAGGI  ,CARREÑO SILVA MAGGI ,2015-08-06 00:00:00,, ,CARREÑO,SILVA,MAGGI,,,,,
975,PRIMERA,  VALDES,  MAGGI  FUENTES  LOS ,MAGGI FUENTES LOS PEÑAILILLO ,2015-08-05 00:00:00,,  PEÑAILILLO  ,MAGGI,FUENTES,LOS,PEÑAILILLO,comisión,,,
988,PRIMERA,  VALDES,  CARREÑO SILVA  MAGGI  ,CARREÑO SILVA MAGGI  PEÑAILILLO,2015-08-04 00:00:00,,   PEÑAILILLO,CARREÑO,SILVA,MAGGI,,subroga,,,
1003,PRIMERA,  VALDES,  CARREÑO SILVA  MAGGI  ,CARREÑO SILVA MAGGI ,2015-08-03 00:00:00,, ,CARREÑO,SILVA,MAGGI,,,,,
1006,PRIMERA,  VALDEÉS,  SILVA FUENTES  FISCAL:  ESCOBAR,SILVA FUENTES FISCAL: ESCOBAR LAGOS,2015-09-10 00:00:00,ESCOBAR,   LAGOS,SILVA,FUENTES,FISCAL:,ESCOBAR,feriado,,,
1008,PRIMERA,  VALDES,  SILVA FUENTES  FISCAL:  ESCOBAR,SILVA FUENTES FISCAL: ESCOBAR PEÑATILILLO,2015-09-14 00:00:00,ESCOBAR,   PEÑATILILLO,SILVA,FUENTES,FISCAL:,ESCOBAR,feriado,,,
