,Sala,Presidente,Ministros,Integrantes,Fecha2,Ministros2,Abogados,Integrante1,Integrante2,Integrante3,Integrante4,Causa1,Causa2,Causa3,Causa4
3618,PRIMERA,  VALDES,  CARREÑO SILVA  MAGGI  ,CARREÑO SILVA MAGGI ,2017-10-30 00:00:00,, ,CARREÑO,SILVA,MAGGI,,,,,
3631,PRIMERA,  VALDES,  CARREÑO SILVA  MAGGI  ,CARREÑO SILVA MAGGI ,2017-10-31 00:00:00,, ,CARREÑO,SILVA,MAGGI,,,,,
3653,PRIMERA,  VALDES,  SILVA PRADO   ,SILVA PRADO  LAGOS FIGUEROA ,2017-10-05 00:00:00,,  LAGOS  FIGUEROA ,SILVA,PRADO,,LAGOS,comisión,permiso,feriado,
3664,PRIMERA,  VALDES,  SILVA BLANCO   ,SILVA BLANCO  PEÑAILILLO CORREA ,2017-10-04 00:00:00,,  PEÑAILILLO  CORREA ,SILVA,BLANCO,,PEÑAILILLO,comisión,permiso,feriado,
3676,PRIMERA,  VALDES,  CARREÑO SILVA   ,CARREÑO SILVA  GOMEZ SEORA ETCHEBERRY ,2017-10-03 00:00:00,,  GOMEZ  SEORA ETCHEBERRY ,CARREÑO,SILVA,,GOMEZ,comisión,feriado,,
3690,PRIMERA,  VALDES,  CARREÑO SILVA FUENTES   MINISTROS:  CARREÑO SILVA FUENTES,CARREÑO SILVA FUENTES MINISTROS: CARREÑO SILVA FUENTES QUINTANILLA,2017-10-02 00:00:00,"MINISTROS: SEÑORES CARREÑO, SILVA, FUENTES",   QUINTANILLA,CARREÑO,SILVA,FUENTES,MINISTROS:,comisión,,,
3692,PRIMERA,  BRITO,  SILVA  MAGGI   ,SILVA MAGGI  GOMEZ FIGUEROA ,2017-11-13 00:00:00,,  GOMEZ  FIGUEROA ,SILVA,MAGGI,,GOMEZ,comisión,permiso,,
3694,PRIMERA,  CARREÑO,  SILVA  MAGGI   ,SILVA MAGGI  PEÑAILILLO GOMEZ ,2017-11-14 00:00:00,,  PEÑAILILLO  GOMEZ ,SILVA,MAGGI,,PEÑAILILLO,comisión,feriado,,
3696,PRIMERA,  CARRENO,  SILVA  MAGGI   ,SILVA MAGGI  PEÑAILILLO LAGOS ,2017-11-15 00:00:00,,  PEÑAILILLO  LAGOS ,SILVA,MAGGI,,PEÑAILILLO,comisión,feriado,,
3700,PRIMERA,  CARREÑO,  SILVA  MAGGI   ,SILVA MAGGI  ETCHEBERRY CORREA ,2017-11-16 00:00:00,,  ETCHEBERRY   CORREA ,SILVA,MAGGI,,ETCHEBERRY,comisión,feriado,,
3705,PRIMERA,  SILVA,  FUENTES  MUÑOZ  LOS ,FUENTES MUÑOZ LOS S5 TRODRIGUEZ ,2017-11-20 00:00:00,, S5 TRODRIGUEZ  ,FUENTES,MUÑOZ,LOS,S5,comisión,feriado,,
3709,PRIMERA,  SILVA,  MAGGI  FUENTES   ,MAGGI FUENTES  QUINTANILLA LAGOS ,2017-11-21 00:00:00,,  QUINTANILLA  LAGOS ,MAGGI,FUENTES,,QUINTANILLA,comisión,feriado,,
3712,PRIMERA,  SILVA,  MAGGI  FUENTES RA CHEVESICH,MAGGI FUENTES RA CHEVESICH LAGOS,2017-11-22 00:00:00,CHEVESICH,   LAGOS,MAGGI,FUENTES,RA,CHEVESICH,comisión,feriado,,
3721,PRIMERA,  SILVA,  MAGGI  FUENTES   ,MAGGI FUENTES  ETCHEBERRY FIGUEROA ,2017-11-23 00:00:00,,  ETCHEBERRY   FIGUEROA ,MAGGI,FUENTES,,ETCHEBERRY,comisión,feriado,,
3732,PRIMERA,  CARREÑO,  SILVA BLANCO   ,SILVA BLANCO  LAGOS GOMEZ ,2017-11-27 00:00:00,,  LAGOS  GOMEZ ,SILVA,BLANCO,,LAGOS,comisión,permiso,,
