evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
71 km al SO de Tongoy,-30.619 ,-72.098,2022-09-02,19:54:08,2022-09-02,23:54:08,17,km,2.6,Ml
50 km al S de Putre,-18.645 ,-69.590,2022-09-02,18:49:30,2022-09-02,22:49:30,110,km,2.5,Ml
21 km al N de Mina Los Pelambres,-31.643 ,-70.523,2022-09-02,18:06:08,2022-09-02,22:06:08,108,km,3.2,Ml
74 km al SE de Socaire,-23.871 ,-67.234,2022-09-02,17:52:49,2022-09-02,21:52:49,258,km,2.8,Ml
34 km al SO de Mina Collahuasi,-21.060 ,-68.869,2022-09-02,16:48:50,2022-09-02,20:48:50,109,km,2.7,Ml
28 km al S de Melipilla,-33.925 ,-71.138,2022-09-02,14:31:10,2022-09-02,18:31:10,70,km,2.8,Ml
37 km al N de CamiÃ±a,-18.994 ,-69.514,2022-09-02,13:26:05,2022-09-02,17:26:05,96,km,3.2,Ml
31 km al O de OllagÃ¼e,-21.176 ,-68.552,2022-09-02,13:06:36,2022-09-02,17:06:36,129,km,2.6,Ml
24 km al N de CombarbalÃ¡,-30.965 ,-70.986,2022-09-02,13:00:24,2022-09-02,17:00:24,74,km,2.8,Ml
36 km al S de OllagÃ¼e,-21.536 ,-68.343,2022-09-02,12:47:32,2022-09-02,16:47:32,137,km,2.8,Ml
37 km al NE de Tocopilla,-21.815 ,-70.012,2022-09-02,11:25:16,2022-09-02,15:25:16,77,km,3.2,Ml
21 km al NO de La Serena,-29.808 ,-71.440,2022-09-02,11:11:00,2022-09-02,15:11:00,53,km,2.8,Ml
16 km al E de Linares,-35.786 ,-71.434,2022-09-02,11:10:19,2022-09-02,15:10:19,101,km,2.6,Ml
26 km al S de Pisagua,-19.830 ,-70.263,2022-09-02,09:48:41,2022-09-02,13:48:41,72,km,2.5,Ml
13 km al S de San Fernando,-34.693 ,-70.947,2022-09-02,09:03:34,2022-09-02,13:03:34,106,km,3.8,Ml
40 km al NE de Calama,-22.245 ,-68.622,2022-09-02,08:41:50,2022-09-02,12:41:50,105,km,2.6,Ml
41 km al O de Punitaqui,-30.838 ,-71.691,2022-09-02,08:19:12,2022-09-02,12:19:12,27,km,2.6,Ml
72 km al S de OllagÃ¼e,-21.867 ,-68.325,2022-09-02,07:53:39,2022-09-02,11:53:39,133,km,3.6,Ml
75 km al SO de OllagÃ¼e,-21.795 ,-68.645,2022-09-02,07:25:04,2022-09-02,11:25:04,121,km,4.2,Ml
144 km al NE de Socaire,-23.029 ,-66.614,2022-09-02,07:10:23,2022-09-02,11:10:23,229,km,3.8,Ml
68 km al O de Cuya,-19.098 ,-70.827,2022-09-02,06:38:37,2022-09-02,10:38:37,30,km,3.2,Ml
19 km al E de Tongoy,-30.231 ,-71.297,2022-09-02,03:33:09,2022-09-02,07:33:09,69,km,3.0,Ml
74 km al SE de Socaire,-24.207 ,-67.608,2022-09-02,02:59:15,2022-09-02,06:59:15,226,km,3.5,Ml
31 km al E de Baquedano,-23.313 ,-69.535,2022-09-02,02:08:04,2022-09-02,06:08:04,96,km,2.9,Ml
24 km al E de Mina Los Pelambres,-31.812 ,-70.337,2022-09-02,00:55:24,2022-09-02,04:55:24,136,km,2.9,Ml
53 km al S de Mina Collahuasi,-21.282 ,-68.807,2022-09-01,23:39:03,2022-09-02,03:39:03,111,km,2.7,Ml
41 km al SO de Mina La Escondida.,-24.582 ,-69.267,2022-09-01,22:51:07,2022-09-02,02:51:07,89,km,2.9,Ml
9 km al O de La Serena,-29.871 ,-71.333,2022-09-01,22:28:20,2022-09-02,02:28:20,65,km,2.6,Ml
60 km al E de Monte Patria,-30.891 ,-70.375,2022-09-01,21:33:53,2022-09-02,01:33:53,115,km,3.8,Ml
111 km al S de Mina La Escondida.,-25.257 ,-69.212,2022-09-01,21:28:49,2022-09-02,01:28:49,93,km,3.0,Ml
33 km al SE de OllagÃ¼e,-21.450 ,-68.049,2022-09-01,21:22:53,2022-09-02,01:22:53,173,km,2.7,Ml
68 km al SO de Tongoy,-30.592 ,-72.086,2022-09-01,20:51:05,2022-09-02,00:51:05,14,km,3.1,Ml
