evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
28 km al E de Pisagua,-19.607 ,-69.945,2022-09-06,19:55:39,2022-09-06,23:55:39,55,km,2.4,Ml
32 km al N de Huasco,-28.188 ,-71.323,2022-09-06,18:39:25,2022-09-06,22:39:25,38,km,2.9,Ml
58 km al SE de Putre,-18.680 ,-69.341,2022-09-06,17:23:03,2022-09-06,21:23:03,120,km,4.2,Ml
37 km al O de OllagÃ¼e,-21.188 ,-68.609,2022-09-06,15:57:23,2022-09-06,19:57:23,153,km,3.1,Ml
146 km al NO de ConstituciÃ³n,-34.594 ,-73.739,2022-09-06,15:53:21,2022-09-06,19:53:21,30,km,3.1,Ml
19 km al O de Mina Collahuasi,-20.892 ,-68.828,2022-09-06,14:51:06,2022-09-06,18:51:06,101,km,3.1,Ml
34 km al NE de Calama,-22.234 ,-68.714,2022-09-06,13:36:33,2022-09-06,17:36:33,114,km,3.0,Ml
23 km al SE de Tongoy,-30.363 ,-71.287,2022-09-06,12:03:15,2022-09-06,16:03:15,67,km,2.7,Ml
17 km al N de Colina,-33.053 ,-70.698,2022-09-06,11:23:56,2022-09-06,15:23:56,87,km,2.9,Ml
36 km al SE de Rancagua,-34.466 ,-70.597,2022-09-06,10:01:53,2022-09-06,14:01:53,113,km,3.5,Ml
38 km al E de Sierra Gorda.,-22.975 ,-68.957,2022-09-06,09:14:39,2022-09-06,13:14:39,82,km,5.3,Mww
45 km al N de Pozo Almonte,-19.861 ,-69.850,2022-09-06,08:51:48,2022-09-06,12:51:48,66,km,3.0,Ml
47 km al SO de Mina Collahuasi,-21.121 ,-68.985,2022-09-06,08:35:04,2022-09-06,12:35:04,111,km,3.1,Ml
41 km al SE de Pica,-20.802 ,-69.113,2022-09-06,06:11:02,2022-09-06,10:11:02,104,km,3.2,Ml
51 km al O de El Tabo,-33.497 ,-72.215,2022-09-06,04:57:07,2022-09-06,08:57:07,45,km,3.9,Ml
56 km al O de El Tabo,-33.482 ,-72.271,2022-09-06,03:58:19,2022-09-06,07:58:19,43,km,3.8,Ml
13 km al O de La Higuera,-29.487 ,-71.332,2022-09-06,01:52:59,2022-09-06,05:52:59,51,km,2.8,Ml
24 km al S de Calama,-22.684 ,-68.888,2022-09-06,00:46:04,2022-09-06,04:46:04,105,km,4.1,Ml
53 km al NO de Mina La Escondida.,-23.941 ,-69.433,2022-09-06,00:19:04,2022-09-06,04:19:04,93,km,3.6,Ml
10 km al E de Pica,-20.508 ,-69.234,2022-09-05,23:01:28,2022-09-06,03:01:28,105,km,2.8,Ml
18 km al O de Illapel,-31.596 ,-71.357,2022-09-05,20:33:19,2022-09-06,00:33:19,58,km,2.5,Ml
