Posesión de balón_local_final,Remates_local_final,Remates a puerta_local_final,Remates fuera_local_final,Remates rechazados_local_final,Córneres_local_final,Fueras de juego_local_final,Paradas_local_final,Faltas_local_final,Tarjetas amarillas_local_final,Pases totales_local_final,Pases completados_local_final,Tackles_local_final,Ataques_local_final,Ataques peligrosos_local_final,Posesión de balón_visita_final,Remates_visita_final,Remates a puerta_visita_final,Remates fuera_visita_final,Remates rechazados_visita_final,Córneres_visita_final,Fueras de juego_visita_final,Paradas_visita_final,Faltas_visita_final,Tarjetas amarillas_visita_final,Pases totales_visita_final,Pases completados_visita_final,Tackles_visita_final,Ataques_visita_final,Ataques peligrosos_visita_final,Posesión de balón_local_1T,Remates_local_1T,Remates a puerta_local_1T,Remates fuera_local_1T,Remates rechazados_local_1T,Córneres_local_1T,Fueras de juego_local_1T,Paradas_local_1T,Faltas_local_1T,Tarjetas amarillas_local_1T,Pases totales_local_1T,Pases completados_local_1T,Tackles_local_1T,Ataques_local_1T,Ataques peligrosos_local_1T,Posesión de balón_visita_1T,Remates_visita_1T,Remates a puerta_visita_1T,Remates fuera_visita_1T,Remates rechazados_visita_1T,Córneres_visita_1T,Fueras de juego_visita_1T,Paradas_visita_1T,Faltas_visita_1T,Tarjetas amarillas_visita_1T,Pases totales_visita_1T,Pases completados_visita_1T,Tackles_visita_1T,Ataques_visita_1T,Ataques peligrosos_visita_1T,Posesión de balón_local_2T,Remates_local_2T,Remates a puerta_local_2T,Remates fuera_local_2T,Remates rechazados_local_2T,Córneres_local_2T,Fueras de juego_local_2T,Paradas_local_2T,Faltas_local_2T,Tarjetas amarillas_local_2T,Pases totales_local_2T,Pases completados_local_2T,Tackles_local_2T,Ataques_local_2T,Ataques peligrosos_local_2T,Posesión de balón_visita_2T,Remates_visita_2T,Remates a puerta_visita_2T,Remates fuera_visita_2T,Remates rechazados_visita_2T,Córneres_visita_2T,Fueras de juego_visita_2T,Paradas_visita_2T,Faltas_visita_2T,Tarjetas amarillas_visita_2T,Pases totales_visita_2T,Pases completados_visita_2T,Tackles_visita_2T,Ataques_visita_2T,Ataques peligrosos_visita_2T,Tarjetas rojas_local_final,Tarjetas rojas_visita_final,Tarjetas rojas_local_1T,Tarjetas rojas_visita_1T,Tarjetas rojas_local_2T,Tarjetas rojas_visita_2T,Tiros libres_local_final,Saques de banda_local_final,Tiros libres_visita_final,Saques de banda_visita_final,Tiros libres_local_1T,Saques de banda_local_1T,Tiros libres_visita_1T,Saques de banda_visita_1T,Tiros libres_local_2T,Saques de banda_local_2T,Tiros libres_visita_2T,Saques de banda_visita_2T
60%,14,5,6,3,13,4,2,13,2,417,339,12,147,107,40%,13,5,5,3,4,5,3,7,2,289,188,23,112,43,57%,7,3,3,1,8,1,2,4,0.0,205,170,5,68,55,43%,10,5,3,2,1,5,3,4,1.0,162,121,11,55,17,63%,7,2,3,2,5,3,0,9,2.0,212,169,7,79,52,37%,3,0,2,1,3,0,0,3,1.0,127,67,12,57,26,,,,,,,,,,,,,,,,,,
56%,20,8,10,2,9,1,2,15,3,347,269,15,125,88,44%,9,3,6,0,3,0,6,10,4,284,208,13,110,44,56%,8,2,6,0,4,0,0,8,3.0,175,139,4,58,33,44%,6,1,5,0,1,0,2,1,2.0,137,103,10,53,23,56%,12,6,4,2,5,1,2,7,0.0,172,130,11,67,55,44%,3,2,1,0,2,0,4,9,2.0,147,105,3,57,21,,,,,,,,,,,,,,,,,,
43%,8,3,5,0,2,0,0,18,5,229,162,13,113,52,57%,11,1,8,2,8,0,1,15,3,305,216,16,112,69,45%,5,3,2,0,1,0,0,6,1.0,127,101,6,60,26,55%,3,0,3,0,5,0,1,6,1.0,151,105,6,45,30,41%,3,0,3,0,1,0,0,12,4.0,102,61,7,53,26,59%,8,1,5,2,3,0,0,9,2.0,154,111,10,67,39,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,
44%,10,1,6,3,6,0,5,20,3,304,236,22,118,64,56%,14,6,6,2,3,3,0,16,2,390,315,16,141,61,42%,4,0,4,0,3,0,1,13,3.0,154,120,10,58,28,58%,4,1,3,0,0,2,0,8,2.0,216,179,11,68,22,46%,6,1,2,3,3,0,4,7,,150,116,12,60,36,54%,10,5,3,2,3,1,0,8,,174,136,5,73,39,1.0,0.0,,,1.0,0.0,,,,,,,,,,,,
40%,6,1,3,2,3,4,3,15,6,283,186,16,111,47,60%,24,4,17,3,10,2,1,6,1,403,318,19,150,107,39%,5,1,2,2,1,1,0,6,3.0,141,88,8,51,21,61%,11,0,9,2,5,1,1,2,1.0,223,176,11,77,56,41%,1,0,1,0,2,3,3,9,3.0,142,98,8,60,26,59%,13,4,8,1,5,1,0,4,0.0,180,142,8,73,51,2.0,0.0,,,2.0,0.0,,,,,,,,,,,,
45%,12,4,8,0,4,1,1,12,5,343,246,19,127,53,55%,9,2,4,3,4,3,1,12,2,415,325,6,134,69,50%,7,1,6,0,2,1,1,6,2.0,191,143,9,72,28,50%,2,1,0,1,1,2,0,7,1.0,188,151,5,61,22,40%,5,3,2,0,2,0,0,6,3.0,152,103,10,55,25,60%,7,1,4,2,3,1,1,5,1.0,227,174,1,73,47,,,,,,,,,,,,,,,,,,
50%,9,8,0,1,2,1,4,14,2,353,258,22,75,38,50%,9,4,3,2,6,6,3,8,2,338,263,14,104,78,49%,5,4,0,1,2,0,2,7,1.0,187,145,14,38,21,51%,2,2,0,0,3,1,0,5,0.0,185,146,7,47,34,51%,4,4,0,0,0,1,2,7,1.0,166,113,8,37,17,49%,7,2,3,2,3,5,3,3,2.0,153,117,7,57,44,,,,,,,,,,,,,,,,,,
53%,16,6,4,6,3,1,4,11,4,470,376,14,153,80,47%,12,4,8,0,5,1,5,14,4,409,331,24,142,87,55%,10,3,3,4,3,0,0,4,0.0,273,228,9,69,42,45%,5,0,5,0,2,0,3,6,3.0,222,191,7,70,33,51%,6,3,1,2,0,1,4,7,4.0,197,148,5,84,38,49%,7,4,3,0,3,1,2,8,1.0,187,140,17,72,54,,,,,,,,,,,,,,,,,,
63%,13,3,9,1,3,1,1,20,3,446,383,7,141,86,37%,9,2,4,3,4,4,3,10,0,262,194,7,93,53,53%,7,0,6,1,0,1,1,9,1.0,207,177,5,61,28,47%,6,1,3,2,2,1,0,4,0.0,182,150,3,51,26,73%,6,3,3,0,3,0,0,11,2.0,239,206,2,80,58,27%,3,1,1,1,2,3,3,6,0.0,80,44,4,42,27,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,
59%,14,4,8,2,6,2,2,10,4,390,302,19,133,84,41%,11,3,5,3,2,2,4,16,7,282,199,12,111,52,54%,3,0,3,0,1,2,1,7,3.0,202,158,10,58,26,46%,6,1,3,2,2,1,0,4,1.0,169,125,4,65,38,64%,11,4,5,2,5,0,1,3,1.0,188,144,9,75,58,36%,5,2,2,1,0,1,4,12,6.0,113,74,8,46,14,,,,,,,,,,,,,,,,,,
