Posesión de balón_local_final,Remates_local_final,Remates a puerta_local_final,Remates fuera_local_final,Remates rechazados_local_final,Córneres_local_final,Fueras de juego_local_final,Paradas_local_final,Faltas_local_final,Tarjetas amarillas_local_final,Pases totales_local_final,Pases completados_local_final,Tackles_local_final,Ataques_local_final,Ataques peligrosos_local_final,Posesión de balón_visita_final,Remates_visita_final,Remates a puerta_visita_final,Remates fuera_visita_final,Remates rechazados_visita_final,Córneres_visita_final,Fueras de juego_visita_final,Paradas_visita_final,Faltas_visita_final,Tarjetas amarillas_visita_final,Pases totales_visita_final,Pases completados_visita_final,Tackles_visita_final,Ataques_visita_final,Ataques peligrosos_visita_final,Posesión de balón_local_1T,Remates_local_1T,Remates a puerta_local_1T,Remates fuera_local_1T,Remates rechazados_local_1T,Córneres_local_1T,Fueras de juego_local_1T,Paradas_local_1T,Faltas_local_1T,Tarjetas amarillas_local_1T,Pases totales_local_1T,Pases completados_local_1T,Tackles_local_1T,Ataques_local_1T,Ataques peligrosos_local_1T,Posesión de balón_visita_1T,Remates_visita_1T,Remates a puerta_visita_1T,Remates fuera_visita_1T,Remates rechazados_visita_1T,Córneres_visita_1T,Fueras de juego_visita_1T,Paradas_visita_1T,Faltas_visita_1T,Tarjetas amarillas_visita_1T,Pases totales_visita_1T,Pases completados_visita_1T,Tackles_visita_1T,Ataques_visita_1T,Ataques peligrosos_visita_1T,Posesión de balón_local_2T,Remates_local_2T,Remates a puerta_local_2T,Remates fuera_local_2T,Remates rechazados_local_2T,Córneres_local_2T,Fueras de juego_local_2T,Paradas_local_2T,Faltas_local_2T,Tarjetas amarillas_local_2T,Pases totales_local_2T,Pases completados_local_2T,Tackles_local_2T,Ataques_local_2T,Ataques peligrosos_local_2T,Posesión de balón_visita_2T,Remates_visita_2T,Remates a puerta_visita_2T,Remates fuera_visita_2T,Remates rechazados_visita_2T,Córneres_visita_2T,Fueras de juego_visita_2T,Paradas_visita_2T,Faltas_visita_2T,Tarjetas amarillas_visita_2T,Pases totales_visita_2T,Pases completados_visita_2T,Tackles_visita_2T,Ataques_visita_2T,Ataques peligrosos_visita_2T,Tarjetas rojas_local_final,Tarjetas rojas_visita_final,Tarjetas rojas_local_1T,Tarjetas rojas_visita_1T,Tarjetas rojas_local_2T,Tarjetas rojas_visita_2T,Tiros libres_local_final,Saques de banda_local_final,Tiros libres_visita_final,Saques de banda_visita_final,Tiros libres_local_1T,Saques de banda_local_1T,Tiros libres_visita_1T,Saques de banda_visita_1T,Tiros libres_local_2T,Saques de banda_local_2T,Tiros libres_visita_2T,Saques de banda_visita_2T
53%,13,5,6,2,3,1,1,13,3,426,340,23,127,68,47%,16,2,10,4,5,2,5,15,3,384,302,16,156,69,43%,4,1,2,1,2,1,0,4,2.0,175,129,10,54,25,57%,7,0,5,2,4,2,1,10,2.0,224,189,6,87,44,63%,9,4,4,1,1,0,1,9,1.0,251,211,13,73,43,37%,9,2,5,2,1,0,4,5,1.0,160,113,10,69,25,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,
40%,18,7,7,4,8,4,2,13,2,260,179,5,74,39,60%,15,4,6,5,0,1,4,16,3,413,326,11,73,33,41%,8,5,2,1,3,1,2,8,2.0,112,78,1,28,13,59%,10,3,3,4,0,1,4,8,1.0,163,131,2,33,15,39%,10,2,5,3,5,3,0,5,0.0,148,101,4,46,26,61%,5,1,3,1,0,0,0,8,2.0,250,195,9,40,18,,,,,,,,,,,,,,,,,,
48%,8,4,2,2,2,2,5,20,4,374,280,28,88,49,52%,15,5,7,3,4,2,3,18,3,393,292,24,114,79,54%,3,1,1,1,2,2,2,9,1.0,204,154,10,46,27,46%,4,2,2,0,2,1,1,10,3.0,177,124,10,53,30,42%,5,3,1,1,0,0,3,11,3.0,170,126,18,42,22,58%,11,3,5,3,2,1,2,8,0.0,216,168,14,61,49,,,,,,,,,,,,,,,,,,
61%,12,4,7,1,2,0,0,14,3,472,377,10,146,74,39%,9,3,5,1,1,2,4,24,3,306,218,14,122,56,56%,4,0,4,0,2,0,0,4,1.0,225,179,8,62,33,44%,8,2,5,1,1,1,0,10,0.0,178,141,1,61,32,66%,8,4,3,1,0,0,0,10,2.0,247,198,2,84,41,34%,1,1,0,0,0,1,4,14,3.0,128,77,13,61,24,,,,,,,,,,,,,,,,,,
48%,20,8,5,7,9,1,1,16,3,370,288,12,129,92,52%,12,2,6,4,1,1,7,9,3,404,315,17,116,53,44%,8,3,1,4,5,0,0,7,,180,140,7,59,46,56%,8,1,4,3,0,0,2,4,,241,202,7,56,23,52%,12,5,4,3,4,1,1,9,3.0,190,148,5,70,46,48%,4,1,2,1,1,1,5,5,3.0,163,113,10,60,30,,,,,,,,,,,,,,,,,,
37%,6,3,2,1,3,2,4,18,4,242,145,20,118,46,63%,14,5,3,6,8,2,2,13,7,400,292,12,143,91,45%,3,1,1,1,2,0,1,6,1.0,145,94,10,63,21,55%,4,1,1,2,1,1,0,8,4.0,169,115,7,64,33,29%,3,2,1,0,1,2,3,12,3.0,97,51,10,55,25,71%,10,4,2,4,7,1,2,5,3.0,231,177,5,79,58,,,,,,,,,,,,,,,,,,
56%,10,4,3,3,4,0,0,14,1,498,401,11,115,36,44%,5,1,2,2,1,0,3,15,2,392,305,4,107,40,54%,5,2,3,0,3,0,0,5,,291,245,7,63,22,46%,1,0,0,1,1,0,1,6,,249,203,1,62,25,58%,5,2,0,3,1,0,0,9,1.0,207,156,4,52,14,42%,4,1,2,1,0,0,2,9,2.0,143,102,3,45,15,,,,,,,,,,,,,,,,,,
56%,20,10,6,4,3,3,3,16,4,386,308,14,93,69,44%,11,5,1,5,4,0,7,16,2,293,209,22,96,67,56%,11,7,2,2,2,1,1,8,2.0,195,158,6,47,30,44%,3,2,0,1,1,0,6,8,1.0,150,103,9,54,25,56%,9,3,4,2,1,2,2,8,2.0,191,150,8,46,39,44%,8,3,1,4,3,0,1,8,1.0,143,106,13,42,42,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,
54%,23,5,13,5,8,2,2,11,2,325,266,13,122,81,46%,9,2,6,1,5,3,4,11,6,286,204,5,95,48,56%,9,2,6,1,1,1,1,7,1.0,199,165,7,66,32,44%,3,1,2,0,2,2,2,4,2.0,155,116,4,50,21,52%,14,3,7,4,7,1,1,4,1.0,126,101,6,56,49,48%,6,1,4,1,3,1,2,7,4.0,131,88,1,45,27,0.0,2.0,,,0.0,2.0,,,,,,,,,,,,
65%,11,3,8,0,2,1,1,11,2,630,535,7,164,84,35%,10,3,5,2,3,2,3,8,1,333,251,11,105,65,62%,6,0,6,0,1,1,0,8,2.0,308,277,2,83,30,38%,4,0,3,1,2,1,0,5,1.0,185,149,5,50,30,68%,5,3,2,0,1,0,1,3,,322,258,5,81,54,32%,6,3,2,1,1,1,3,3,,148,102,6,55,35,,,,,,,,,,,,,,,,,,
67%,13,6,2,5,7,0,3,10,3,480,400,12,108,64,33%,13,5,6,2,6,2,4,10,5,230,158,9,79,49,60%,4,0,0,4,4,0,3,3,1.0,239,190,6,58,31,40%,10,5,3,2,5,1,0,4,2.0,161,119,5,50,36,73%,9,6,2,1,3,0,0,7,2.0,241,210,6,50,33,27%,3,0,3,0,1,1,4,6,3.0,69,39,4,29,13,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,
44%,12,3,7,2,6,3,0,7,2,304,232,15,124,68,56%,8,2,5,1,4,3,1,15,5,389,304,15,118,57,37%,4,2,2,0,3,0,0,5,1.0,135,98,10,52,26,63%,5,1,3,1,1,2,1,5,2.0,223,182,5,57,24,51%,8,1,5,2,3,3,0,2,1.0,169,134,5,72,42,49%,3,1,2,0,3,1,0,10,3.0,166,122,10,61,33,,,,,,,,,,,,,,,,,,
51%,13,6,2,5,8,0,0,13,5,309,239,15,138,75,49%,5,1,2,2,1,2,5,11,5,308,220,15,113,39,51%,9,4,1,4,1,0,0,8,1.0,163,131,6,67,32,49%,1,0,1,0,0,1,3,9,3.0,157,114,6,47,9,51%,4,2,1,1,7,0,0,5,4.0,146,108,9,71,43,49%,4,1,1,2,1,1,2,2,2.0,151,106,9,66,30,1.0,0.0,,,1.0,0.0,,,,,,,,,,,,
59%,21,5,9,7,11,1,0,10,2,435,340,11,150,102,41%,6,1,3,2,7,1,4,11,3,307,225,13,109,64,53%,13,2,5,6,7,1,0,5,1.0,219,173,6,73,48,47%,2,1,1,0,4,0,1,3,0.0,196,154,3,55,36,65%,8,3,4,1,4,0,0,5,1.0,216,167,5,77,54,35%,4,0,2,2,3,1,3,8,3.0,111,71,10,54,28,,,,,,,,,,,,,,,,,,
55%,13,4,5,4,3,1,1,17,4,418,338,15,135,73,45%,8,2,3,3,3,0,3,17,0,347,253,20,127,63,64%,5,3,1,1,2,1,1,4,,244,208,7,71,43,36%,4,2,1,1,1,0,2,11,,147,111,12,51,14,46%,8,1,4,3,1,0,0,13,4.0,174,130,8,64,30,54%,4,0,2,2,2,0,1,6,0.0,200,142,8,76,49,,,,,,,,,,,,,,,,,,
64%,22,6,10,6,2,3,1,12,2,551,478,15,164,93,36%,13,4,6,3,3,1,4,11,5,314,228,15,119,50,61%,10,2,6,2,1,0,0,3,0.0,257,222,5,77,41,39%,9,2,4,3,2,0,2,5,3.0,159,118,8,61,24,67%,12,4,4,4,1,3,1,9,2.0,294,256,10,87,52,33%,4,2,2,0,1,1,2,6,2.0,155,110,7,58,26,,,,,,,,,,,,,,,,,,
52%,19,5,10,4,8,3,1,7,0,447,349,17,175,111,48%,10,1,6,3,2,0,5,8,1,421,304,16,119,44,42%,7,2,2,3,3,3,1,3,,181,134,7,72,50,58%,8,1,4,3,2,0,2,5,,252,201,6,52,34,62%,12,3,8,1,5,0,0,4,0.0,266,215,10,103,61,38%,2,0,2,0,0,0,3,3,1.0,169,103,10,67,10,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,
47%,15,5,7,3,10,1,2,13,3,307,230,12,110,74,53%,12,3,7,2,6,2,3,11,3,358,278,14,133,78,47%,8,3,5,0,4,0,2,4,2.0,172,133,7,53,27,53%,5,2,2,1,5,2,2,8,3.0,189,152,6,70,42,47%,7,2,2,3,6,1,0,9,1.0,135,97,5,57,47,53%,7,1,5,1,1,0,1,3,0.0,169,126,8,63,36,,,,,,,,,,,,,,,,,,
41%,10,4,3,3,3,1,5,15,1,278,178,20,113,57,59%,18,6,6,6,5,3,3,13,3,402,291,19,148,65,44%,3,1,1,1,2,0,2,5,0.0,148,102,12,51,27,56%,7,3,2,2,1,1,1,6,1.0,190,143,8,70,24,38%,7,3,2,2,1,1,3,10,1.0,130,76,8,62,30,62%,11,3,4,4,4,2,2,7,2.0,212,148,11,78,41,,,,,,,,,,,,,,,,,,
52%,6,4,1,1,0,0,5,15,2,362,278,15,94,28,48%,18,6,6,6,6,3,2,9,4,307,227,10,124,92,49%,4,3,0,1,0,0,2,4,0.0,154,114,5,43,13,51%,7,2,2,3,3,2,2,4,1.0,140,105,5,71,50,55%,2,1,1,0,0,0,3,11,2.0,208,164,10,51,15,45%,11,4,4,3,3,1,0,5,3.0,167,122,5,53,42,0.0,2.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,
47%,8,2,5,1,3,1,3,9,3,374,275,19,133,62,53%,17,4,7,6,7,2,0,11,1,409,320,20,147,97,51%,3,1,2,0,3,1,1,5,1.0,213,162,9,67,33,49%,6,2,2,2,1,0,0,4,0.0,200,163,11,69,37,43%,5,1,3,1,0,0,2,4,2.0,161,113,10,66,29,57%,11,2,5,4,6,2,0,7,1.0,209,157,9,78,60,,,,,,,,,,,,,,,,,,
49%,22,9,10,3,6,1,6,10,2,329,250,15,118,78,51%,17,6,7,4,7,1,7,12,2,344,271,11,121,67,60%,10,4,4,2,4,1,4,2,0.0,210,163,7,68,43,40%,9,4,3,2,3,0,3,7,2.0,143,97,4,62,24,36%,12,5,6,1,2,0,2,8,2.0,119,87,8,50,35,64%,8,2,4,2,4,1,4,5,0.0,201,174,7,59,43,,,,,,,,,,,,,,,,,,
38%,14,5,5,4,8,2,3,15,2,264,191,25,118,69,62%,7,3,2,2,3,0,4,11,4,457,386,9,126,66,43%,7,3,2,2,4,1,2,5,1.0,144,114,13,58,36,57%,4,2,2,0,1,0,2,5,1.0,205,170,4,54,26,33%,7,2,3,2,4,1,1,10,1.0,120,77,12,60,33,67%,3,1,0,2,2,0,2,6,3.0,252,216,5,72,40,,,,,,,,,,,,,,,,,,
45%,18,11,5,2,4,1,6,12,2,322,252,16,107,66,55%,14,6,7,1,4,0,7,11,3,400,315,18,123,62,49%,7,6,1,0,2,0,2,4,1.0,193,159,8,57,40,51%,8,2,5,1,2,0,5,4,1.0,203,158,11,64,31,41%,11,5,4,2,2,1,4,8,1.0,129,93,8,50,26,59%,6,4,2,0,2,0,2,7,2.0,197,157,7,59,31,,,,,,,,,,,,,,,,,,
46%,10,3,5,2,6,0,3,14,3,322,229,26,102,51,54%,13,5,6,2,2,1,2,9,2,394,294,24,146,80,41%,6,3,2,1,2,0,2,5,2.0,173,129,8,47,19,59%,7,2,4,1,1,0,2,4,0.0,243,193,15,78,43,51%,4,0,3,1,4,0,1,9,1.0,149,100,18,55,32,49%,6,3,2,1,1,1,0,5,2.0,151,101,9,68,37,,,,,,,,,,,,,,,,,,
62%,20,4,8,8,12,3,0,8,1,478,396,13,135,104,38%,5,0,2,3,1,0,2,11,2,291,211,15,82,28,59%,7,0,4,3,4,3,0,5,0.0,255,214,7,71,55,41%,5,0,2,3,0,0,0,6,1.0,182,138,7,47,16,65%,13,4,4,5,8,0,0,3,1.0,223,182,6,64,49,35%,0,0,0,0,1,0,2,5,1.0,109,73,8,35,12,,,,,,,,,,,,,,,,,,
67%,19,7,10,2,7,2,3,6,0,479,379,15,136,83,33%,10,7,2,1,3,5,5,10,1,242,150,11,92,39,70%,6,3,2,1,2,1,3,4,,270,221,10,67,44,30%,5,4,1,0,3,3,3,6,,115,74,6,46,23,64%,13,4,8,1,5,1,0,2,0.0,209,158,5,69,39,36%,5,3,1,1,0,2,2,4,1.0,127,76,5,46,16,,,,,,,,,,,,,,,,,,
47%,9,1,6,2,7,0,4,7,2,399,338,21,115,82,53%,13,5,5,3,5,0,1,12,2,469,397,19,99,59,40%,4,1,2,1,3,0,1,2,0.0,186,156,12,56,37,60%,7,1,4,2,2,0,1,6,2.0,285,251,11,53,31,54%,5,0,4,1,4,0,3,5,2.0,213,182,9,59,45,46%,6,4,1,1,3,0,0,6,0.0,184,146,8,46,28,,,,,,,,,,,,,,,,,,
42%,8,3,4,1,4,0,4,16,2,254,177,11,80,58,58%,17,7,7,3,3,3,1,14,4,367,291,16,69,49,31%,3,2,1,0,1,0,2,10,1.0,85,53,6,29,25,69%,9,3,4,2,2,1,0,3,1.0,197,162,8,37,26,53%,5,1,3,1,3,0,2,6,1.0,169,124,5,51,33,47%,8,4,3,1,1,2,1,11,3.0,170,129,8,32,23,,,,,,,,,,,,,,,,,,
55%,13,4,7,2,5,2,1,10,4,456,381,12,129,66,45%,12,2,6,4,5,0,3,8,2,370,286,10,118,57,55%,3,1,1,1,3,0,1,6,1.0,250,216,5,65,31,45%,8,1,4,3,2,0,0,5,0.0,206,171,5,61,29,55%,10,3,6,1,2,2,0,4,3.0,206,165,7,64,35,45%,4,1,2,1,3,0,3,3,2.0,164,115,5,57,28,1.0,0.0,,,1.0,0.0,,,,,,,,,,,,
43%,12,5,4,3,2,1,0,13,1,304,228,16,132,60,57%,13,0,6,7,8,3,2,18,4,396,313,17,123,70,43%,9,4,3,2,0,0,0,10,1.0,153,115,8,60,32,57%,8,0,4,4,5,0,1,8,2.0,197,162,8,66,36,43%,3,1,1,1,2,1,0,3,0.0,151,113,8,72,28,57%,5,0,2,3,3,3,1,10,2.0,199,151,9,57,34,,,,,,,,,,,,,,,,,,
