evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
41 km al NO de Cobquecura,-35.907 ,-73.148,2022-01-03,19:40:28,2022-01-03,22:40:28,31,km,2.6,Ml
59 km al NO de Cobquecura,-35.782 ,-73.285,2022-01-03,19:20:03,2022-01-03,22:20:03,12,km,2.6,Ml
50 km al O de ValparaÃ­so,-33.097 ,-72.149,2022-01-03,17:52:25,2022-01-03,20:52:25,24,km,2.7,Ml
38 km al E de Pica,-20.601 ,-68.982,2022-01-03,17:45:25,2022-01-03,20:45:25,105,km,2.5,Ml
54 km al SO de OllagÃ¼e,-21.572 ,-68.620,2022-01-03,16:50:50,2022-01-03,19:50:50,125,km,3.1,Ml
15 km al O de MarÃ­a Elena,-22.359 ,-69.811,2022-01-03,16:43:02,2022-01-03,19:43:02,55,km,2.5,Ml
52 km al O de OllagÃ¼e,-21.347 ,-68.734,2022-01-03,16:12:19,2022-01-03,19:12:19,115,km,3.3,Ml
48 km al O de ValparaÃ­so,-33.115 ,-72.119,2022-01-03,16:00:55,2022-01-03,19:00:55,44,km,2.5,Ml
135 km al NE de Socaire,-22.916 ,-66.790,2022-01-03,13:44:38,2022-01-03,16:44:38,278,km,4.3,Mw
39 km al SE de San FabiÃ¡n,-36.848 ,-71.308,2022-01-03,13:25:21,2022-01-03,16:25:21,7,km,2.9,Ml
80 km al NO de Tongoy,-29.862 ,-72.189,2022-01-03,13:00:19,2022-01-03,16:00:19,29,km,3.1,Ml
26 km al O de Arauco,-37.251 ,-73.613,2022-01-03,12:27:48,2022-01-03,15:27:48,35,km,3.4,Ml
58 km al N de Vallenar,-28.060 ,-70.823,2022-01-03,11:19:32,2022-01-03,14:19:32,57,km,3.5,Ml
56 km al O de Tongoy,-30.219 ,-72.078,2022-01-03,10:13:39,2022-01-03,13:13:39,34,km,2.8,Ml
53 km al NO de ValparaÃ­so,-32.722 ,-72.025,2022-01-03,09:05:52,2022-01-03,12:05:52,38,km,2.9,Ml
112 km al E de Tierra Amarilla,-27.575 ,-69.139,2022-01-03,08:39:39,2022-01-03,11:39:39,121,km,2.7,Ml
34 km al SE de San FabiÃ¡n,-36.839 ,-71.420,2022-01-03,08:34:25,2022-01-03,11:34:25,3,km,2.7,Ml
41 km al SO de Canela Baja,-31.592 ,-71.828,2022-01-03,07:29:46,2022-01-03,10:29:46,24,km,2.6,Ml
46 km al E de Calama,-22.317 ,-68.510,2022-01-03,06:54:42,2022-01-03,09:54:42,126,km,3.0,Ml
35 km al O de Navidad,-34.021 ,-72.207,2022-01-03,06:28:40,2022-01-03,09:28:40,30,km,2.8,Ml
34 km al SE de San FabiÃ¡n,-36.842 ,-71.424,2022-01-03,06:15:48,2022-01-03,09:15:48,3,km,2.9,Ml
26 km al NO de OllagÃ¼e,-21.103 ,-68.471,2022-01-03,03:58:26,2022-01-03,06:58:26,130,km,2.8,Ml
43 km al SO de Los Vilos,-32.212 ,-71.791,2022-01-03,03:34:52,2022-01-03,06:34:52,32,km,2.6,Ml
51 km al NE de Calama,-22.141 ,-68.585,2022-01-03,03:17:40,2022-01-03,06:17:40,124,km,2.5,Ml
66 km al SE de Socaire,-23.995 ,-67.419,2022-01-03,02:55:20,2022-01-03,05:55:20,220,km,3.2,Ml
68 km al SO de OllagÃ¼e,-21.512 ,-68.832,2022-01-03,01:11:44,2022-01-03,04:11:44,116,km,2.9,Ml
30 km al O de Taltal,-25.453 ,-70.777,2022-01-03,00:49:00,2022-01-03,03:49:00,25,km,3.3,Ml
41 km al NE de Pica,-20.166 ,-69.149,2022-01-02,23:13:40,2022-01-03,02:13:40,96,km,2.5,Ml
55 km al O de OllagÃ¼e,-21.387 ,-68.758,2022-01-02,22:50:59,2022-01-03,01:50:59,120,km,2.5,Ml
71 km al SO de OllagÃ¼e,-21.803 ,-68.538,2022-01-02,22:12:17,2022-01-03,01:12:17,137,km,2.8,Ml
38 km al E de CamiÃ±a,-19.368 ,-69.072,2022-01-02,22:02:17,2022-01-03,01:02:17,114,km,2.9,Ml
