evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
146 km al O de TirÃºa,-38.627 ,-75.137,2022-01-15,19:30:47,2022-01-15,22:30:47,25,km,3.5,Ml
72 km al E de Mina La Escondida.,-24.370 ,-68.355,2022-01-15,18:20:10,2022-01-15,21:20:10,267,km,3.3,Ml
38 km al SE de Pica,-20.769 ,-69.117,2022-01-15,15:02:32,2022-01-15,18:02:32,99,km,2.6,Ml
56 km al SO de OllagÃ¼e,-21.603 ,-68.615,2022-01-15,13:51:54,2022-01-15,16:51:54,128,km,2.9,Ml
15 km al S de Valdivia,-39.950 ,-73.283,2022-01-15,12:14:23,2022-01-15,15:14:23,41,km,2.8,Ml
63 km al N de Pica,-19.926 ,-69.306,2022-01-15,10:27:25,2022-01-15,13:27:25,92,km,3.2,Ml
44 km al SO de Mina Collahuasi,-21.171 ,-68.873,2022-01-15,10:13:36,2022-01-15,13:13:36,114,km,3.6,Ml
28 km al S de Huasco,-28.712 ,-71.271,2022-01-15,02:20:48,2022-01-15,05:20:48,38,km,3.7,Ml
40 km al O de Caldera,-26.918 ,-71.192,2022-01-14,23:04:29,2022-01-15,02:04:29,29,km,3.2,Ml
27 km al S de OllagÃ¼e,-21.459 ,-68.200,2022-01-14,22:26:32,2022-01-15,01:26:32,144,km,3.6,Ml
