evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
41 km al SO de Mina Collahuasi,-21.142 ,-68.864,2022-01-21,20:30:40,2022-01-21,23:30:40,111,km,2.7,Ml
107 km al O de Cobquecura,-35.842 ,-73.928,2022-01-21,17:46:02,2022-01-21,20:46:02,26,km,2.8,Ml
25 km al SO de Mina Collahuasi,-20.961 ,-68.853,2022-01-21,17:20:25,2022-01-21,20:20:25,104,km,3.6,Ml
48 km al SO de Mina Collahuasi,-21.110 ,-69.007,2022-01-21,16:06:00,2022-01-21,19:06:00,117,km,3.5,Ml
100 km al N de San Pedro de Atacama,-22.070 ,-67.869,2022-01-21,15:42:02,2022-01-21,18:42:02,235,km,3.1,Ml
34 km al S de Calama,-22.757 ,-68.830,2022-01-21,14:12:57,2022-01-21,17:12:57,95,km,2.7,Ml
93 km al NE de San Pedro de Atacama,-22.571 ,-67.375,2022-01-21,11:55:49,2022-01-21,14:55:49,261,km,3.1,Ml
33 km al SO de OllagÃ¼e,-21.485 ,-68.407,2022-01-21,07:25:08,2022-01-21,10:25:08,135,km,3.5,Ml
85 km al SE de Socaire,-24.192 ,-67.371,2022-01-21,07:06:53,2022-01-21,10:06:53,240,km,3.3,Ml
30 km al E de Mina Los Pelambres,-31.855 ,-70.267,2022-01-21,05:31:24,2022-01-21,08:31:24,127,km,2.8,Ml
41 km al NO de Los Vilos,-31.734 ,-71.896,2022-01-21,05:23:11,2022-01-21,08:23:11,28,km,2.8,Ml
32 km al S de Pica,-20.763 ,-69.241,2022-01-21,03:54:46,2022-01-21,06:54:46,113,km,3.6,Ml
30 km al E de Los Vilos,-32.025 ,-71.217,2022-01-21,02:31:03,2022-01-21,05:31:03,59,km,2.6,Ml
38 km al S de OllagÃ¼e,-21.563 ,-68.296,2022-01-21,01:21:51,2022-01-21,04:21:51,145,km,2.5,Ml
30 km al NO de Lebu,-37.452 ,-73.939,2022-01-21,00:01:01,2022-01-21,03:01:01,35,km,2.6,Ml
59 km al NE de San Pedro de Atacama,-22.454 ,-67.928,2022-01-20,23:52:41,2022-01-21,02:52:41,196,km,3.0,Ml
59 km al N de La Higuera,-29.002 ,-71.359,2022-01-20,23:52:05,2022-01-21,02:52:05,47,km,2.5,Ml
85 km al O de Lebu,-37.592 ,-74.616,2022-01-20,23:38:43,2022-01-21,02:38:43,8,km,3.1,Ml
32 km al SO de Mina Collahuasi,-20.969 ,-68.924,2022-01-20,21:21:53,2022-01-21,00:21:53,102,km,2.6,Ml
93 km al O de Cobquecura,-35.891 ,-73.783,2022-01-20,21:09:11,2022-01-21,00:09:11,30,km,3.2,Ml
77 km al O de Cobquecura,-36.068 ,-73.646,2022-01-20,21:07:19,2022-01-21,00:07:19,38,km,3.2,Ml
