evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
73 km al SO de Tongoy,-30.710 ,-72.042,2022-01-20,17:14:06,2022-01-20,20:14:06,23,km,3.0,Ml
68 km al SO de Tongoy,-30.706 ,-71.976,2022-01-20,17:13:25,2022-01-20,20:13:25,32,km,2.6,Ml
17 km al NO de Punitaqui,-30.691 ,-71.340,2022-01-20,15:34:15,2022-01-20,18:34:15,35,km,3.3,Ml
48 km al N de Vallenar,-28.139 ,-70.734,2022-01-20,15:26:53,2022-01-20,18:26:53,46,km,3.0,Ml
90 km al NO de Quillagua,-21.151 ,-70.207,2022-01-20,12:33:09,2022-01-20,15:33:09,36,km,3.9,Ml
8 km al NO de Pozo Almonte,-20.219 ,-69.855,2022-01-20,12:14:25,2022-01-20,15:14:25,62,km,2.9,Ml
77 km al E de Socaire,-23.686 ,-67.141,2022-01-20,10:38:36,2022-01-20,13:38:36,248,km,3.5,Ml
61 km al SO de OllagÃ¼e,-21.707 ,-68.526,2022-01-20,09:59:37,2022-01-20,12:59:37,125,km,2.8,Ml
79 km al SE de OllagÃ¼e,-21.621 ,-67.621,2022-01-20,07:43:57,2022-01-20,10:43:57,216,km,4.3,Ml
81 km al SE de Socaire,-23.954 ,-67.199,2022-01-20,06:59:20,2022-01-20,09:59:20,237,km,2.5,Ml
47 km al S de Sierra Gorda.,-23.301 ,-69.177,2022-01-20,04:46:52,2022-01-20,07:46:52,89,km,2.8,Ml
57 km al SE de Socaire,-23.965 ,-67.510,2022-01-20,03:48:58,2022-01-20,06:48:58,229,km,2.6,Ml
74 km al SE de Socaire,-23.949 ,-67.283,2022-01-20,03:14:55,2022-01-20,06:14:55,234,km,2.9,Ml
46 km al E de OllagÃ¼e,-21.362 ,-67.837,2022-01-20,03:04:11,2022-01-20,06:04:11,188,km,3.8,Ml
75 km al NE de Calama,-21.889 ,-68.562,2022-01-20,01:48:38,2022-01-20,04:48:38,118,km,3.1,Ml
18 km al S de Calama,-22.627 ,-68.871,2022-01-20,00:50:34,2022-01-20,03:50:34,105,km,2.7,Ml
51 km al O de Lebu,-37.414 ,-74.178,2022-01-20,00:30:40,2022-01-20,03:30:40,39,km,3.8,Ml
135 km al SE de El Salvador,-27.166 ,-68.734,2022-01-19,23:34:32,2022-01-20,02:34:32,131,km,2.8,Ml
62 km al SE de Socaire,-23.904 ,-67.385,2022-01-19,23:27:19,2022-01-20,02:27:19,248,km,3.1,Ml
53 km al NE de San Pedro de Atacama,-22.480 ,-67.998,2022-01-19,22:28:20,2022-01-20,01:28:20,186,km,3.9,Ml
53 km al SO de OllagÃ¼e,-21.648 ,-68.480,2022-01-19,22:12:39,2022-01-20,01:12:39,118,km,2.5,Ml
47 km al SO de Alto del Carmen,-29.065 ,-70.823,2022-01-19,22:10:52,2022-01-20,01:10:52,99,km,2.5,Ml
98 km al N de Tocopilla,-21.234 ,-70.403,2022-01-19,21:55:04,2022-01-20,00:55:04,39,km,2.5,Ml
35 km al O de Lebu,-37.492 ,-74.025,2022-01-19,21:20:39,2022-01-20,00:20:39,26,km,3.2,Ml
