evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
37 km al SO de Mina Collahuasi,-21.098 ,-68.863,2022-01-01,19:57:18,2022-01-01,22:57:18,109,km,2.7,Ml
18 km al N de Ovalle,-30.443 ,-71.236,2022-01-01,18:53:30,2022-01-01,21:53:30,24,km,2.7,Ml
100 km al SE de Socaire,-24.323 ,-67.312,2022-01-01,18:26:14,2022-01-01,21:26:14,175,km,3.3,Ml
55 km al N de OllagÃ¼e,-20.758 ,-68.065,2022-01-01,16:33:13,2022-01-01,19:33:13,178,km,3.3,Ml
76 km al SE de Socaire,-24.193 ,-67.538,2022-01-01,13:44:10,2022-01-01,16:44:10,193,km,3.4,Ml
45 km al NE de Calama,-22.123 ,-68.714,2022-01-01,13:32:14,2022-01-01,16:32:14,104,km,3.0,Ml
64 km al S de Pozo Almonte,-20.827 ,-69.880,2022-01-01,12:29:30,2022-01-01,15:29:30,60,km,2.6,Ml
33 km al SO de Los Vilos,-32.097 ,-71.784,2022-01-01,09:17:56,2022-01-01,12:17:56,31,km,3.7,Ml
63 km al S de OllagÃ¼e,-21.764 ,-68.452,2022-01-01,08:41:46,2022-01-01,11:41:46,139,km,2.7,Ml
75 km al S de Socaire,-24.245 ,-67.713,2022-01-01,07:52:25,2022-01-01,10:52:25,217,km,3.8,Ml
53 km al SE de Quillagua,-21.997 ,-69.169,2022-01-01,05:04:18,2022-01-01,08:04:18,89,km,3.7,Ml
68 km al NE de Pica,-19.977 ,-68.974,2022-01-01,02:01:42,2022-01-01,05:01:42,106,km,3.0,Ml
19 km al N de La Higuera,-29.341 ,-71.247,2021-12-31,22:44:32,2022-01-01,01:44:32,68,km,3.6,Ml
19 km al N de La Higuera,-29.348 ,-71.153,2021-12-31,22:00:37,2022-01-01,01:00:37,57,km,3.3,Ml
