evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
33 km al O de OllagÃ¼e,-21.143 ,-68.560,2022-07-06,18:56:09,2022-07-06,22:56:09,128,km,3.5,Ml
62 km al SE de Socaire,-23.881 ,-67.371,2022-07-06,18:27:29,2022-07-06,22:27:29,258,km,3.0,Ml
44 km al O de Los Vilos,-31.802 ,-71.963,2022-07-06,17:34:50,2022-07-06,21:34:50,19,km,2.5,Ml
148 km al O de Pichilemu,-33.893 ,-73.501,2022-07-06,16:36:50,2022-07-06,20:36:50,10,km,2.5,Ml
36 km al E de Sierra Gorda.,-22.901 ,-68.970,2022-07-06,16:00:31,2022-07-06,20:00:31,98,km,2.8,Ml
60 km al E de Linares,-35.681 ,-70.968,2022-07-06,13:30:41,2022-07-06,17:30:41,127,km,3.6,Ml
133 km al O de Castro,-42.383 ,-75.379,2022-07-06,12:26:18,2022-07-06,16:26:18,19,km,3.3,Ml
152 km al O de Castro,-42.363 ,-75.608,2022-07-06,11:12:27,2022-07-06,15:12:27,23,km,5.6,Mww
47 km al NO de Mina La Escondida.,-23.891 ,-69.270,2022-07-06,09:52:35,2022-07-06,13:52:35,81,km,3.2,Ml
104 km al SE de Socaire,-24.003 ,-66.978,2022-07-06,09:29:46,2022-07-06,13:29:46,184,km,2.7,Ml
69 km al S de Socaire,-24.191 ,-67.717,2022-07-06,08:51:07,2022-07-06,12:51:07,229,km,3.4,Ml
62 km al SO de San Pedro de Atacama,-23.323 ,-68.623,2022-07-06,08:21:03,2022-07-06,12:21:03,108,km,2.8,Ml
108 km al E de Socaire,-23.938 ,-66.900,2022-07-06,07:56:03,2022-07-06,11:56:03,220,km,3.8,Ml
29 km al SO de OllagÃ¼e,-21.433 ,-68.420,2022-07-06,06:49:50,2022-07-06,10:49:50,119,km,3.3,Ml
26 km al SO de Visviri,-17.730 ,-69.684,2022-07-06,05:40:34,2022-07-06,09:40:34,146,km,3.1,Ml
13 km al NO de ConcepciÃ³n,-36.724 ,-73.115,2022-07-06,04:46:44,2022-07-06,08:46:44,34,km,2.7,Ml
29 km al N de Calama,-22.222 ,-68.842,2022-07-06,04:41:11,2022-07-06,08:41:11,137,km,3.2,Ml
57 km al N de Mina La Escondida.,-23.756 ,-69.074,2022-07-06,04:40:30,2022-07-06,08:40:30,94,km,3.2,Ml
20 km al O de Mina Collahuasi,-20.810 ,-68.846,2022-07-05,23:50:32,2022-07-06,03:50:32,103,km,2.5,Ml
48 km al NO de Quillagua,-21.343 ,-69.857,2022-07-05,21:15:25,2022-07-06,01:15:25,51,km,2.6,Ml
65 km al SE de Socaire,-23.916 ,-67.361,2022-07-05,20:00:11,2022-07-06,00:00:11,270,km,3.9,Ml
