evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
27 km al SE de Calama,-22.621 ,-68.727,2022-07-17,17:18:46,2022-07-17,21:18:46,114,km,2.6,Ml
38 km al NO de Quillagua,-21.431 ,-69.809,2022-07-17,16:19:13,2022-07-17,20:19:13,66,km,3.3,Ml
33 km al SO de Mejillones,-23.264 ,-70.717,2022-07-17,13:57:49,2022-07-17,17:57:49,9,km,2.8,Ml
48 km al SE de Pica,-20.883 ,-69.141,2022-07-17,12:50:51,2022-07-17,16:50:51,106,km,3.1,Ml
23 km al O de Lebu,-37.654 ,-73.908,2022-07-17,12:30:09,2022-07-17,16:30:09,36,km,3.3,Ml
41 km al E de Quillagua,-21.563 ,-69.156,2022-07-17,11:56:46,2022-07-17,15:56:46,80,km,2.6,Ml
16 km al NO de Santiago,-33.336 ,-70.769,2022-07-17,10:57:20,2022-07-17,14:57:20,74,km,3.0,Ml
53 km al NE de San Pedro de Atacama,-22.572 ,-67.851,2022-07-17,10:23:51,2022-07-17,14:23:51,184,km,3.5,Ml
30 km al O de Lebu,-37.647 ,-73.990,2022-07-17,10:19:51,2022-07-17,14:19:51,40,km,3.7,Ml
48 km al SO de Mina Collahuasi,-21.196 ,-68.903,2022-07-17,09:01:25,2022-07-17,13:01:25,127,km,3.0,Ml
35 km al NO de Calama,-22.225 ,-69.146,2022-07-17,07:17:36,2022-07-17,11:17:36,132,km,2.8,Ml
60 km al S de Socaire,-24.115 ,-67.736,2022-07-17,05:04:12,2022-07-17,09:04:12,242,km,3.1,Ml
2 km al NE de Calama,-22.452 ,-68.922,2022-07-17,04:51:46,2022-07-17,08:51:46,90,km,3.1,Ml
28 km al SE de Los Vilos,-32.034 ,-71.257,2022-07-17,04:31:34,2022-07-17,08:31:34,72,km,2.5,Ml
94 km al SE de El Salvador,-27.029 ,-69.281,2022-07-17,03:45:05,2022-07-17,07:45:05,108,km,2.5,Ml
35 km al O de Angol,-37.663 ,-73.066,2022-07-17,02:17:46,2022-07-17,06:17:46,32,km,2.7,Ml
40 km al SE de Taltal,-25.734 ,-70.323,2022-07-17,00:18:11,2022-07-17,04:18:11,31,km,2.7,Ml
22 km al NO de Tongoy,-30.088 ,-71.610,2022-07-17,00:16:54,2022-07-17,04:16:54,40,km,3.1,Ml
105 km al SE de Socaire,-24.322 ,-67.237,2022-07-16,23:46:37,2022-07-17,03:46:37,212,km,3.1,Ml
50 km al O de Mina Collahuasi,-20.934 ,-69.127,2022-07-16,23:08:19,2022-07-17,03:08:19,109,km,2.5,Ml
72 km al N de Huasco,-27.846 ,-71.003,2022-07-16,22:53:03,2022-07-17,02:53:03,29,km,3.1,Ml
108 km al E de Tierra Amarilla,-27.848 ,-69.246,2022-07-16,22:06:41,2022-07-17,02:06:41,128,km,3.3,Ml
68 km al N de Calama,-21.885 ,-68.734,2022-07-16,21:10:08,2022-07-17,01:10:08,119,km,2.9,Ml
