evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
74 km al SE de Socaire,-23.878 ,-67.231,2022-05-12,16:40:35,2022-05-12,20:40:35,249,km,3.9,Ml
98 km al O de San Juan.,-31.273 ,-69.509,2022-05-12,15:26:50,2022-05-12,19:26:50,166,km,3.3,Ml
76 km al SE de Socaire,-24.085 ,-67.370,2022-05-12,14:56:20,2022-05-12,18:56:20,225,km,3.7,Ml
45 km al NE de Pica,-20.231 ,-69.002,2022-05-12,13:42:49,2022-05-12,17:42:49,104,km,2.8,Ml
53 km al N de Pica,-20.033 ,-69.198,2022-05-12,12:43:28,2022-05-12,16:43:28,98,km,4.0,Ml
74 km al SO de OllagÃ¼e,-21.815 ,-68.576,2022-05-12,11:54:02,2022-05-12,15:54:02,127,km,2.7,Ml
36 km al O de Mejillones,-23.056 ,-70.801,2022-05-12,11:29:48,2022-05-12,15:29:48,38,km,3.6,Ml
52 km al O de OllagÃ¼e,-21.356 ,-68.737,2022-05-12,09:05:15,2022-05-12,13:05:15,105,km,2.8,Ml
20 km al E de Calama,-22.479 ,-68.731,2022-05-12,07:52:47,2022-05-12,11:52:47,100,km,2.5,Ml
67 km al SO de OllagÃ¼e,-21.734 ,-68.593,2022-05-12,07:01:05,2022-05-12,11:01:05,126,km,3.1,Ml
91 km al SE de Tierra Amarilla,-27.990 ,-69.541,2022-05-12,05:34:36,2022-05-12,09:34:36,110,km,2.5,Ml
97 km al SE de Socaire,-24.178 ,-67.181,2022-05-12,05:31:30,2022-05-12,09:31:30,207,km,3.3,Ml
46 km al SO de San Pedro de Atacama,-23.306 ,-68.367,2022-05-12,04:49:19,2022-05-12,08:49:19,9,km,3.6,Ml
68 km al S de Sierra Gorda.,-23.493 ,-69.154,2022-05-12,04:11:13,2022-05-12,08:11:13,94,km,2.6,Ml
43 km al SE de Rancagua,-34.503 ,-70.510,2022-05-12,02:58:33,2022-05-12,06:58:33,126,km,3.2,Ml
82 km al E de OllagÃ¼e,-21.366 ,-67.473,2022-05-12,02:30:57,2022-05-12,06:30:57,219,km,2.8,Ml
35 km al O de Mina Collahuasi,-20.716 ,-68.973,2022-05-12,01:57:57,2022-05-12,05:57:57,95,km,2.7,Ml
55 km al SO de OllagÃ¼e,-21.627 ,-68.558,2022-05-11,23:27:04,2022-05-12,03:27:04,124,km,2.6,Ml
150 km al NO de ConstituciÃ³n,-34.417 ,-73.623,2022-05-11,23:22:53,2022-05-12,03:22:53,16,km,3.1,Ml
70 km al SE de Socaire,-23.962 ,-67.338,2022-05-11,23:22:10,2022-05-12,03:22:10,248,km,4.1,Ml
37 km al N de TirÃºa,-38.024 ,-73.597,2022-05-11,23:21:27,2022-05-12,03:21:27,34,km,2.6,Ml
21 km al E de Antuco,-37.395 ,-71.452,2022-05-11,21:54:49,2022-05-12,01:54:49,125,km,2.9,Ml
62 km al NE de Calama,-21.970 ,-68.671,2022-05-11,20:43:56,2022-05-12,00:43:56,104,km,3.2,Ml
20 km al SO de La Higuera,-29.659 ,-71.313,2022-05-11,20:24:35,2022-05-12,00:24:35,59,km,2.5,Ml
