evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
38 km al SO de Mina Collahuasi,-21.085 ,-68.904,2022-05-01,17:49:32,2022-05-01,21:49:32,108,km,3.0,Ml
12 km al O de Ovalle,-30.614 ,-71.328,2022-05-01,15:37:52,2022-05-01,19:37:52,53,km,2.6,Ml
41 km al NO de Lebu,-37.346 ,-73.984,2022-05-01,15:26:02,2022-05-01,19:26:02,27,km,3.8,Ml
72 km al NE de Calama,-22.004 ,-68.439,2022-05-01,14:51:32,2022-05-01,18:51:32,119,km,2.6,Ml
33 km al SO de Los Vilos,-32.161 ,-71.695,2022-05-01,11:10:02,2022-05-01,15:10:02,27,km,2.7,Ml
51 km al O de OllagÃ¼e,-21.412 ,-68.707,2022-05-01,07:30:23,2022-05-01,11:30:23,122,km,3.2,Ml
41 km al NE de Vallenar,-28.239 ,-70.576,2022-05-01,07:03:36,2022-05-01,11:03:36,96,km,2.6,Ml
55 km al SE de Socaire,-23.996 ,-67.590,2022-05-01,05:25:48,2022-05-01,09:25:48,220,km,3.2,Ml
79 km al SE de Socaire,-24.045 ,-67.299,2022-05-01,03:15:23,2022-05-01,07:15:23,250,km,3.8,Ml
27 km al N de Rancagua,-33.926 ,-70.753,2022-04-30,20:16:46,2022-05-01,00:16:46,90,km,3.1,Ml
