evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
73 km al SE de Socaire,-23.920 ,-67.273,2022-05-08,16:40:41,2022-05-08,20:40:41,212,km,3.6,Ml
76 km al SO de OllagÃ¼e,-21.799 ,-68.644,2022-05-08,15:43:33,2022-05-08,19:43:33,113,km,3.5,Ml
89 km al E de Socaire,-23.802 ,-67.047,2022-05-08,12:31:44,2022-05-08,16:31:44,235,km,3.7,Ml
87 km al SO de Los Vilos,-32.351 ,-72.279,2022-05-08,12:26:35,2022-05-08,16:26:35,35,km,2.6,Ml
54 km al NE de Calama,-22.200 ,-68.494,2022-05-08,11:09:23,2022-05-08,15:09:23,111,km,2.6,Ml
83 km al E de Socaire,-23.849 ,-67.125,2022-05-08,10:06:36,2022-05-08,14:06:36,224,km,3.3,Ml
36 km al NO de Quillagua,-21.429 ,-69.781,2022-05-08,08:30:35,2022-05-08,12:30:35,52,km,4.1,Ml
35 km al NO de Putre,-18.021 ,-69.838,2022-05-08,07:58:22,2022-05-08,11:58:22,95,km,2.8,Ml
41 km al O de Iquique,-20.169 ,-70.545,2022-05-08,04:18:57,2022-05-08,08:18:57,31,km,3.4,Ml
28 km al S de Pisagua,-19.846 ,-70.255,2022-05-08,03:20:49,2022-05-08,07:20:49,71,km,3.3,Ml
26 km al SO de OllagÃ¼e,-21.355 ,-68.461,2022-05-08,00:33:52,2022-05-08,04:33:52,127,km,2.9,Ml
26 km al N de Petorca,-32.015 ,-70.901,2022-05-07,23:53:19,2022-05-08,03:53:19,84,km,2.9,Ml
80 km al SE de Socaire,-23.886 ,-67.179,2022-05-07,23:46:48,2022-05-08,03:46:48,228,km,3.5,Ml
40 km al SO de Huasco,-28.797 ,-71.389,2022-05-07,20:45:38,2022-05-08,00:45:38,26,km,2.5,Ml
