evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
13 km al S de Tongoy,-30.367 ,-71.519,2022-05-23,15:16:02,2022-05-23,19:16:02,26,km,2.9,Ml
58 km al SE de Sierra Gorda.,-23.378 ,-69.091,2022-05-23,15:07:29,2022-05-23,19:07:29,95,km,3.8,Ml
24 km al NE de Sierra Gorda.,-22.788 ,-69.120,2022-05-23,15:03:31,2022-05-23,19:03:31,90,km,3.0,Ml
61 km al N de Cami̱a,-18.780 ,-69.579,2022-05-23,14:22:35,2022-05-23,18:22:35,117,km,2.8,Ml
15 km al SE de Sierra Gorda.,-22.973 ,-69.193,2022-05-23,13:51:13,2022-05-23,17:51:13,92,km,2.7,Ml
10 km al N de Linares,-35.754 ,-71.614,2022-05-23,13:31:43,2022-05-23,17:31:43,69,km,2.7,Ml
23 km al SO de Los Vilos,-32.008 ,-71.727,2022-05-23,07:23:20,2022-05-23,11:23:20,24,km,2.5,Ml
81 km al S de Alto Hospicio,-20.982 ,-69.971,2022-05-23,06:18:24,2022-05-23,10:18:24,66,km,3.2,Ml
52 km al N de Pica,-20.029 ,-69.273,2022-05-23,03:28:18,2022-05-23,07:28:18,114,km,2.9,Ml
89 km al O de La Higuera,-29.515 ,-72.117,2022-05-23,01:15:27,2022-05-23,05:15:27,42,km,3.8,Ml
38 km al S de Quillagua,-21.995 ,-69.573,2022-05-22,22:25:50,2022-05-23,02:25:50,65,km,3.0,Ml
60 km al O de La Higuera,-29.552 ,-71.819,2022-05-22,22:19:02,2022-05-23,02:19:02,43,km,3.4,Ml
39 km al SE de Arica,-18.786 ,-70.154,2022-05-22,20:11:49,2022-05-23,00:11:49,58,km,3.7,Ml
