evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
22 km al NE de Cabrero,-36.870 ,-72.263,2022-08-10,18:55:14,2022-08-10,22:55:14,55,km,2.6,Ml
143 km al NO de Puerto EdÃ©n,-48.301 ,-75.904,2022-08-10,17:47:01,2022-08-10,21:47:01,10,km,3.9,Mlv
42 km al NO de Punitaqui,-30.649 ,-71.644,2022-08-10,17:14:08,2022-08-10,21:14:08,37,km,4.1,Ml
31 km al NO de Mina Collahuasi,-20.698 ,-68.921,2022-08-10,16:47:52,2022-08-10,20:47:52,100,km,2.9,Ml
36 km al NE de Calama,-22.206 ,-68.735,2022-08-10,13:26:02,2022-08-10,17:26:02,118,km,3.4,Ml
15 km al O de CamiÃ±a,-19.326 ,-69.564,2022-08-10,11:08:07,2022-08-10,15:08:07,84,km,2.9,Ml
41 km al SO de MarÃ­a Elena,-22.684 ,-69.819,2022-08-10,10:24:27,2022-08-10,14:24:27,54,km,2.8,Ml
41 km al SO de CopiapÃ³,-27.574 ,-70.674,2022-08-10,09:40:32,2022-08-10,13:40:32,45,km,2.6,Ml
71 km al NE de Pica,-20.140 ,-68.765,2022-08-10,04:22:34,2022-08-10,08:22:34,116,km,2.8,Ml
82 km al E de Socaire,-23.870 ,-67.140,2022-08-10,04:13:37,2022-08-10,08:13:37,251,km,4.2,Ml
58 km al E de Socaire,-23.438 ,-67.343,2022-08-10,01:57:37,2022-08-10,05:57:37,263,km,3.0,Ml
16 km al SO de OllagÃ¼e,-21.312 ,-68.373,2022-08-10,00:26:38,2022-08-10,04:26:38,143,km,2.7,Ml
16 km al E de Tongoy,-30.302 ,-71.339,2022-08-09,23:11:45,2022-08-10,03:11:45,49,km,2.8,Ml
28 km al N de Mina La Escondida.,-24.023 ,-69.030,2022-08-09,22:45:36,2022-08-10,02:45:36,92,km,2.7,Ml
37 km al SE de Sierra Gorda.,-23.184 ,-69.127,2022-08-09,22:26:16,2022-08-10,02:26:16,109,km,2.7,Ml
39 km al NO de Tocopilla,-21.789 ,-70.381,2022-08-09,22:08:38,2022-08-10,02:08:38,55,km,2.5,Ml
