evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
28 km al SO de Los Vilos,-32.097 ,-71.705,2022-08-06,19:31:29,2022-08-06,23:31:29,38,km,2.7,Ml
16 km al NO de Tocopilla,-21.971 ,-70.286,2022-08-06,18:27:25,2022-08-06,22:27:25,37,km,2.6,Ml
35 km al NE de Tocopilla,-21.937 ,-69.909,2022-08-06,17:09:54,2022-08-06,21:09:54,81,km,2.9,Ml
62 km al N de El Salvador,-25.709 ,-69.817,2022-08-06,09:40:14,2022-08-06,13:40:14,77,km,3.5,Ml
32 km al SE de Tolt̩n,-39.356 ,-72.876,2022-08-06,06:00:05,2022-08-06,10:00:05,50,km,3.0,Ml
16 km al NE de Mejillones,-23.007 ,-70.329,2022-08-06,03:19:01,2022-08-06,07:19:01,38,km,3.0,Ml
15 km al O de Calama,-22.486 ,-69.079,2022-08-06,01:36:18,2022-08-06,05:36:18,95,km,2.7,Ml
108 km al SE de Mina La Escondida.,-24.733 ,-68.123,2022-08-06,01:32:26,2022-08-06,05:32:26,123,km,4.1,Ml
46 km al SO de Caldera,-27.450 ,-70.991,2022-08-06,00:39:43,2022-08-06,04:39:43,61,km,2.7,Ml
36 km al SE de Pica,-20.762 ,-69.139,2022-08-05,22:53:21,2022-08-06,02:53:21,110,km,3.8,Ml
37 km al SO de Mina Collahuasi,-21.124 ,-68.816,2022-08-05,22:02:11,2022-08-06,02:02:11,116,km,2.8,Ml
35 km al NE de Calama,-22.233 ,-68.704,2022-08-05,21:52:26,2022-08-06,01:52:26,105,km,2.6,Ml
