evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
47 km al O de Mina La Escondida.,-24.419 ,-69.488,2022-08-15,18:16:01,2022-08-15,22:16:01,85,km,3.0,Ml
61 km al O de Socaire,-23.426 ,-68.458,2022-08-15,17:10:35,2022-08-15,21:10:35,151,km,2.9,Ml
56 km al SO de OllagÃ¼e,-21.450 ,-68.734,2022-08-15,12:26:53,2022-08-15,16:26:53,106,km,3.2,Ml
30 km al NO de OllagÃ¼e,-21.055 ,-68.473,2022-08-15,11:49:27,2022-08-15,15:49:27,132,km,2.7,Ml
64 km al SE de Socaire,-23.920 ,-67.378,2022-08-15,10:44:23,2022-08-15,14:44:23,248,km,2.9,Ml
157 km al O de ConstituciÃ³n,-34.817 ,-74.022,2022-08-15,08:48:18,2022-08-15,12:48:18,14,km,2.7,Ml
36 km al SO de OllagÃ¼e,-21.502 ,-68.440,2022-08-15,08:32:05,2022-08-15,12:32:05,119,km,3.1,Ml
74 km al SE de Socaire,-24.209 ,-67.622,2022-08-15,08:30:59,2022-08-15,12:30:59,217,km,3.2,Ml
66 km al NE de Mina Collahuasi,-20.432 ,-68.181,2022-08-15,05:15:43,2022-08-15,09:15:43,183,km,3.0,Ml
58 km al S de Sierra Gorda.,-23.415 ,-69.251,2022-08-15,04:22:56,2022-08-15,08:22:56,85,km,3.7,Ml
40 km al SE de Socaire,-23.863 ,-67.642,2022-08-15,00:22:30,2022-08-15,04:22:30,269,km,3.1,Ml
41 km al NO de Mina Collahuasi,-20.498 ,-68.834,2022-08-14,22:43:55,2022-08-15,02:43:55,106,km,2.9,Ml
28 km al SE de Monte Patria,-30.850 ,-70.732,2022-08-14,21:06:59,2022-08-15,01:06:59,85,km,3.1,Ml
