evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
44 km al SO de OllagÃ¼e,-21.521 ,-68.537,2022-08-04,19:44:18,2022-08-04,23:44:18,124,km,3.6,Ml
75 km al SO de OllagÃ¼e,-21.811 ,-68.613,2022-08-04,17:55:35,2022-08-04,21:55:35,100,km,2.7,Ml
87 km al O de Pisagua,-19.800 ,-71.015,2022-08-04,14:55:41,2022-08-04,18:55:41,19,km,2.8,Ml
90 km al O de Pisagua,-19.833 ,-71.040,2022-08-04,14:49:10,2022-08-04,18:49:10,15,km,2.9,Ml
12 km al O de Pichilemu,-34.341 ,-72.130,2022-08-04,14:24:23,2022-08-04,18:24:23,28,km,2.5,Ml
46 km al SO de Mina Collahuasi,-21.199 ,-68.856,2022-08-04,14:04:36,2022-08-04,18:04:36,111,km,3.1,Ml
80 km al SE de Socaire,-24.177 ,-67.440,2022-08-04,13:23:13,2022-08-04,17:23:13,225,km,4.5,Mw
31 km al SE de Calama,-22.705 ,-68.764,2022-08-04,13:00:43,2022-08-04,17:00:43,108,km,2.9,Ml
34 km al N de Calama,-22.163 ,-68.891,2022-08-04,08:21:49,2022-08-04,12:21:49,117,km,3.8,Ml
36 km al S de CamiÃ±a,-19.620 ,-69.529,2022-08-04,07:50:03,2022-08-04,11:50:03,81,km,2.9,Ml
105 km al SO de Alto Hospicio,-21.139 ,-70.496,2022-08-04,07:47:24,2022-08-04,11:47:24,54,km,3.3,Ml
38 km al NO de Punitaqui,-30.666 ,-71.601,2022-08-04,06:56:12,2022-08-04,10:56:12,29,km,2.6,Ml
54 km al SO de Mina Collahuasi,-21.269 ,-68.884,2022-08-04,06:36:53,2022-08-04,10:36:53,104,km,2.7,Ml
29 km al O de San JosÃ© de Maipo,-33.704 ,-70.662,2022-08-04,06:11:45,2022-08-04,10:11:45,33,km,2.8,Ml
39 km al SE de CuricÃ³,-35.309 ,-71.073,2022-08-04,04:51:09,2022-08-04,08:51:09,111,km,2.9,Ml
78 km al N de Calama,-21.807 ,-68.692,2022-08-04,04:19:42,2022-08-04,08:19:42,114,km,3.3,Ml
78 km al SO de Pica,-21.006 ,-69.835,2022-08-04,03:28:43,2022-08-04,07:28:43,36,km,2.5,Ml
148 km al O de ConstituciÃ³n,-35.041 ,-74.000,2022-08-04,02:40:00,2022-08-04,06:40:00,18,km,2.9,Ml
37 km al SE de Pica,-20.798 ,-69.185,2022-08-04,02:20:01,2022-08-04,06:20:01,108,km,2.5,Ml
94 km al SE de Alto del Carmen,-29.284 ,-69.727,2022-08-04,02:04:48,2022-08-04,06:04:48,112,km,2.5,Ml
49 km al O de ValparaÃ­so,-33.049 ,-72.139,2022-08-03,23:52:01,2022-08-04,03:52:01,36,km,2.5,Ml
46 km al O de La Ligua,-32.514 ,-71.714,2022-08-03,22:32:54,2022-08-04,02:32:54,34,km,2.8,Ml
32 km al SO de Los Vilos,-32.161 ,-71.687,2022-08-03,22:05:23,2022-08-04,02:05:23,44,km,3.8,Ml
42 km al SO de OllagÃ¼e,-21.540 ,-68.470,2022-08-03,21:01:50,2022-08-04,01:01:50,128,km,3.0,Ml
