evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
46 km al N de Mina La Escondida.,-23.869 ,-68.959,2022-08-03,18:02:23,2022-08-03,22:02:23,98,km,2.9,Ml
37 km al NO de Mina Collahuasi,-20.594 ,-68.913,2022-08-03,16:39:29,2022-08-03,20:39:29,111,km,3.7,Ml
80 km al NE de Tierra Amarilla,-27.164 ,-69.540,2022-08-03,13:55:53,2022-08-03,17:55:53,98,km,2.6,Ml
29 km al N de Ralco,-37.631 ,-71.741,2022-08-03,06:59:12,2022-08-03,10:59:12,112,km,3.5,Ml
22 km al O de Socaire,-23.654 ,-68.095,2022-08-03,06:03:26,2022-08-03,10:03:26,129,km,2.8,Ml
62 km al N de Pica,-19.957 ,-69.165,2022-08-03,01:50:58,2022-08-03,05:50:58,99,km,3.3,Ml
105 km al SO de Alto Hospicio,-21.151 ,-70.472,2022-08-03,01:24:31,2022-08-03,05:24:31,52,km,2.8,Ml
76 km al NO de Tongoy,-29.819 ,-72.098,2022-08-03,00:43:05,2022-08-03,04:43:05,39,km,3.8,Ml
109 km al SE de Socaire,-24.329 ,-67.185,2022-08-02,21:52:26,2022-08-03,01:52:26,186,km,3.5,Ml
21 km al N de San FabiÃ¡n,-36.372 ,-71.492,2022-08-02,21:46:41,2022-08-03,01:46:41,97,km,2.5,Ml
28 km al S de OllagÃ¼e,-21.476 ,-68.296,2022-08-02,20:26:26,2022-08-03,00:26:26,131,km,3.0,Ml
