,Sala,Presidente,Ministros,Integrantes,Fecha2,Ministros2,Abogados,Integrante1,Integrante2,Integrante3
449,CUARTA,  BLANCO,   CHEVESICH MUÑOZ   LOS,CHEVESICH MUÑOZ LOS LAGOS ,2015-04-13 00:00:00,,  LAGOS   ,CHEVESICH,MUÑOZ,
450,CUARTA,  BLANCO,   CHEVESICH MUÑOZ  LOS,CHEVESICH MUÑOZ LOS ETCHEBERRY ,,,  ETCHEBERRY   ,CHEVESICH,MUÑOZ,
452,CUARTA,  BLANCO,   CHEVESICH MUÑOZ  — LOS,CHEVESICH MUÑOZ — LOS PIZARRO CORREA ,2015-04-15 00:00:00,,  PIZARRO  CORREA ,CHEVESICH,MUÑOZ,
453,CUARTA,  BLANCO,  ARANGUIZ  MUÑOZ  LOS,ARANGUIZ MUÑOZ LOS PIZARRO RA ,2015-04-16 00:00:00,,  PIZARRO  RA ,ARANGUIZ,MUÑOZ,
464,CUARTA,  BLANCO,  CHEVESICH MUÑOZ  CERDA,CHEVESICH MUÑOZ CERDA TCHEBERR ,,,    TCHEBERR ,CHEVESICH,MUÑOZ,
473,CUARTA,  CISTERNAS,  BLANCO  MUÑOZ  ,BLANCO MUÑOZ QUINTANILLA RODRIGUEZ ,2015-04-22 00:00:00,,  QUINTANILLA  RODRIGUEZ ,BLANCO,MUÑOZ,
480,CUARTA,  BLANCO,  CHEVESICH MUÑOZ  1OS AABOGADOS,CHEVESICH MUÑOZ 1OS AABOGADOS ETCHEBERRY FIGUEROA ,2015-04-23 00:00:00,,  ETCHEBERRY  FIGUEROA ,CHEVESICH,MUÑOZ,
497,CUARTA,  BLANCO,  CHEVESICH MUÑOZ  LOS ABOCADOS,CHEVESICH MUÑOZ LOS ABOCADOS MATUS ETCHEBERRY ,2015-04-27 00:00:00,,  MATUS   ETCHEBERRY ,CHEVESICH,MUÑOZ,
508,CUARTA,  CARREÑO,  BLANCO  MUÑOZ  ,BLANCO MUÑOZ QUINTANILLA MATUS ,2015-04-28 00:00:00,,  QUINTANILLA  MATUS ,BLANCO,MUÑOZ,
520,CUARTA,  PIERR Y,  BLANCO  CHEVESICH  LOS,BLANCO CHEVESICH LOS QUINTANILLA VY ,2015-04-29 00:00:00,,  QUINTANILLA VY ,BLANCO,CHEVESICH,
533,CUARTA,,,,2015-04-30 00:00:00,, ,,,
547,CUARTA,  BLANCO,  MUÑOZ  CERDA  ,"MUÑOZ CERDA ETCHEBERR CORREA, ",2015-04-09 00:00:00,,"  ETCHEBERR    CORREA, ",MUÑOZ,CERDA,
560,CUARTA,"  BLANCO,",  CHEVESICH MUÑOZ  ,CHEVESICH MUÑOZ ,2015-04-08 00:00:00,,  ,CHEVESICH,MUÑOZ,
575,CUARTA,  BLANCO,  CHEVESICH MUÑOZ ,CHEVESICH MUÑOZ PIZARRO,2015-04-07 00:00:00,,   PIZARRO,CHEVESICH,MUÑOZ,
591,CUARTA,  BLANCO,  CHEVESICH MUÑOZ ,CHEVESICH MUÑOZ PIZARRO,2015-04-06 00:00:00,,   PIZARRO,CHEVESICH,MUÑOZ,
622,CUARTA,  BLANCO,  CHEVESICH MUÑOZ ,CHEVESICH MUÑOZ PIZARRO,2015-04-01 00:00:00,,   PIZARRO,CHEVESICH,MUÑOZ,
624,CUARTA,  MUÑOZ,  JUICA DOLMESTCH VALDES,JUICA DOLMESTCH VALDES ,2015-04-10 00:00:00,, ,JUICA,DOLMESTCH,
625,CUARTA,  MUÑOZ,  JUICA DOLMESTCH VALDES,JUICA DOLMESTCH VALDES ,2015-04-17 00:00:00,, ,JUICA,DOLMESTCH,
638,CUARTA,  MUÑOZ,  DOLMESTCH CARREÑO PIERRY,DOLMESTCH CARREÑO PIERRY ,2015-04-24 00:00:00,, ,DOLMESTCH,CARREÑO,
