,Fecha,Sala,Presidente,Ministros,Integrantes,Causa
11419,[' a treinta de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑORES VALDERRAMA, DAHM y Los ABOGADOS'], []]","[[' SEÑORES BARRA y DE LA MAZA.'], []]","['permiso', 'feriado']"
11420,[' a nueve de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCHI'],"[[' SEÑOR BLANCO, sEÑorAS CHEVESICH,'], []]","[[], []]",[]
11421,[' a diez de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, sEÑorAS CHEVESICH,'], ['MUÑOZ', '']]","[[], [' SEÑOR QUINTANILLA.']]",['feriado']
11422,[' a doce de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, seÑoras CHEVESICH,'], []]","[[], [' SEÑORA ETCHEBERRY.']]",[]
11423,[' a dieciséis de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, seÑorsas CHEVESICH,'], []]","[[], [' SEÑORA ETCHEBERRY.']]",['feriado']
11424,[' a diecisiete de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, seÑora CHEVESICH, sEÑor'], ['CERDA', '']]","[[], [' SEÑOR BARRA.']]",[]
11425,[' a dieciocho de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, setÑorsas CHEVESICH,'], []]","[[], []]",[]
11426,[' a diecinueve de abril de dos mil dieciocho'],CUARTA,[' SEÑOR BLANCO.'],"[[' SEÑORAS CHEVESICH, MUÑOZ, señor CERDA'], []]","[[], [' SEÑORA ETCHEBERRY.']]",['subroga']
11427,[' a veintitrés de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCHL.'],"[[' SEÑOR BLANCO, señora MUÑOZ, “ seÑor'], ['CERDA', '']]","[[], [' SEÑOR BARRA.']]",['feriado']
11428,[' a veinticuatro de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCHI.'],"[[' SEÑOR BLANCO, señora MUÑOZ y Los ABOGADOS'], []]","[[' SEÑORES GOMEZ y ABUAUAD.'], []]","['comisión', 'feriado']"
11429,[' a veinticinco de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, señora MUÑOZ, seÑor'], ['CERDA', '']]","[[], [' SEÑOR DE LA MAZA.']]",['feriado']
11430,[' a veintiséis de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, señora MUÑOZ, seÑor'], []]","[[], [' SEÑORA ETCHEBERRY.']]",['feriado']
11431,[' a treinta de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑORES VALDERRAMA, DAHM y Los ABOGADOS'], []]","[[' SEÑORES BARRA y DE LA MAZA.'], []]","['permiso', 'feriado']"
11432,[' a nueve de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCHI'],"[[' SEÑOR BLANCO, sEÑorAS CHEVESICH,'], []]","[[], []]",[]
11433,[' a cinco de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, seÑora MUÑOZ y LOS ABOGADOS'], []]","[[' SEÑORES MUNITA y ABUAUAD.'], []]","['licencia', 'feriado']"
11434,[' a cinco de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, seÑora MUÑOZ y LOS ABOGADOS'], []]","[[' SEÑORES MUNITA y ABUAUAD.'], []]","['licencia', 'feriado']"
11435,[' a diez de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, sEÑorAS CHEVESICH,'], ['MUÑOZ', '']]","[[], [' SEÑOR QUINTANILLA.']]",['feriado']
11436,[' a once de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, seÑoras CHEVESICH,'], ['MUÑOZ', '']]","[[], [' SEÑOR BARRA.']]",[]
11437,[' a doce de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, seÑoras CHEVESICH,'], []]","[[], [' SEÑORA ETCHEBERRY.']]",[]
11438,[' a dieciséis de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, seÑorsas CHEVESICH,'], []]","[[], [' SEÑORA ETCHEBERRY.']]",['feriado']
11439,[' a diecisiete de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, seÑora CHEVESICH, sEÑor'], ['CERDA', '']]","[[], [' SEÑOR BARRA.']]",[]
11440,[' a dieciocho de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, setÑorsas CHEVESICH,'], []]","[[], []]",[]
