evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
76 km al SO de OllagÃ¼e,-21.812,-68.636,2022-04-17,17:58:56,2022-04-17,21:58:56,124,km,3.9,Ml
27 km al NO de Mina Collahuasi,-20.643,-68.825,2022-04-17,17:43:49,2022-04-17,21:43:49,113,km,3.1,Ml
25 km al E de Calama,-22.4,-68.694,2022-04-17,17:19:33,2022-04-17,21:19:33,115,km,3.3,Ml
38 km al NE de Calama,-22.178,-68.736,2022-04-17,16:01:42,2022-04-17,20:01:42,109,km,3.3,Ml
67 km al NO de Pichilemu,-33.991,-72.558,2022-04-17,15:51:15,2022-04-17,19:51:15,30,km,2.9,Ml
45 km al S de Mina Collahuasi,-21.212,-68.788,2022-04-17,15:42:53,2022-04-17,19:42:53,118,km,3.0,Ml
30 km al NO de Tocopilla,-21.942,-70.436,2022-04-17,14:44:06,2022-04-17,18:44:06,31,km,3.6,Ml
26 km al NO de Tocopilla,-21.935,-70.39,2022-04-17,14:15:08,2022-04-17,18:15:08,30,km,3.8,Ml
36 km al NO de Tocopilla,-21.903,-70.48,2022-04-17,12:49:39,2022-04-17,16:49:39,31,km,2.5,Ml
54 km al NE de CamiÃ±a,-18.901,-69.161,2022-04-17,12:44:46,2022-04-17,16:44:46,122,km,2.7,Ml
19 km al SE de Pica,-20.577,-69.17,2022-04-17,12:39:37,2022-04-17,16:39:37,109,km,2.5,Ml
38 km al N de Termas del Flaco,-34.625,-70.365,2022-04-17,10:04:29,2022-04-17,14:04:29,16,km,2.5,Ml
68 km al N de San Pedro de Atacama,-22.324,-68.068,2022-04-17,09:45:32,2022-04-17,13:45:32,192,km,2.5,Ml
32 km al S de Los Vilos,-32.186,-71.411,2022-04-17,05:39:09,2022-04-17,09:39:09,50,km,3.9,Ml
79 km al SE de Socaire,-24.036,-67.291,2022-04-17,05:17:38,2022-04-17,09:17:38,202,km,3.0,Ml
42 km al NE de Pica,-20.16,-69.137,2022-04-17,04:13:03,2022-04-17,08:13:03,99,km,2.6,Ml
128 km al O de Tongoy,-29.808,-72.724,2022-04-17,03:41:36,2022-04-17,07:41:36,28,km,3.1,Ml
39 km al SO de Mina Collahuasi,-21.065,-68.927,2022-04-17,03:08:07,2022-04-17,07:08:07,107,km,2.6,Ml
86 km al SE de Socaire,-23.974,-67.161,2022-04-17,02:21:29,2022-04-17,06:21:29,231,km,3.6,Ml
30 km al E de El Salvador,-26.315,-69.328,2022-04-17,02:16:52,2022-04-17,06:16:52,122,km,3.5,Ml
72 km al SO de OllagÃ¼e,-21.707,-68.714,2022-04-17,01:07:58,2022-04-17,05:07:58,127,km,3.2,Ml
72 km al O de Tongoy,-30.496,-72.188,2022-04-17,01:02:24,2022-04-17,05:02:24,37,km,3.4,Ml
43 km al SO de OllagÃ¼e,-21.504,-68.544,2022-04-17,00:32:59,2022-04-17,04:32:59,139,km,3.1,Ml
60 km al E de Socaire,-23.806,-67.353,2022-04-16,23:33:40,2022-04-17,03:33:40,221,km,3.6,Ml
