evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
76 km al SE de Socaire,-23.888,-67.216,2022-04-09,17:12:45,2022-04-09,21:12:45,247,km,3.3,Ml
61 km al N de Calama,-21.958,-68.73,2022-04-09,16:42:49,2022-04-09,20:42:49,116,km,2.5,Ml
39 km al NO de Quillagua,-21.512,-69.875,2022-04-09,16:14:00,2022-04-09,20:14:00,33,km,2.5,Ml
69 km al S de OllagÃ¼e,-21.822,-68.441,2022-04-09,13:18:00,2022-04-09,17:18:00,105,km,2.7,Ml
26 km al S de Sierra Gorda.,-23.135,-69.326,2022-04-09,12:43:13,2022-04-09,16:43:13,86,km,2.9,Ml
35 km al E de Los Andes.,-32.828,-70.227,2022-04-09,12:28:55,2022-04-09,16:28:55,116,km,4.4,Mw
3 km al O de OllagÃ¼e,-21.217,-68.286,2022-04-09,11:48:01,2022-04-09,15:48:01,138,km,3.2,Ml
16 km al SO de Taltal,-25.522,-70.583,2022-04-09,05:09:26,2022-04-09,09:09:26,62,km,2.7,Ml
19 km al O de Cobquecura,-36.199,-72.993,2022-04-09,03:02:01,2022-04-09,07:02:01,29,km,2.6,Ml
86 km al SE de OllagÃ¼e,-21.76,-67.657,2022-04-09,02:32:32,2022-04-09,06:32:32,221,km,2.6,Ml
