evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
32 km al O de OllagÃ¼e,-21.305,-68.554,2022-02-15,19:48:40,2022-02-15,22:48:40,119,km,2.8,Ml
44 km al SO de Socaire,-23.896,-68.158,2022-02-15,19:00:35,2022-02-15,22:00:35,151,km,3.5,Ml
34 km al SO de Vallenar,-28.817,-70.971,2022-02-15,15:47:16,2022-02-15,18:47:16,56,km,3.2,Ml
43 km al NE de Calama,-22.226,-68.61,2022-02-15,14:31:12,2022-02-15,17:31:12,119,km,2.5,Ml
22 km al E de Talca,-35.439,-71.425,2022-02-15,14:20:28,2022-02-15,17:20:28,81,km,2.7,Ml
42 km al SO de OllagÃ¼e,-21.384,-68.622,2022-02-15,09:14:29,2022-02-15,12:14:29,129,km,2.9,Ml
45 km al S de Socaire,-23.994,-67.881,2022-02-15,07:47:28,2022-02-15,10:47:28,191,km,2.9,Ml
48 km al SE de CamiÃ±a,-19.667,-69.164,2022-02-15,05:35:50,2022-02-15,08:35:50,96,km,2.8,Ml
70 km al SE de Socaire,-24.158,-67.588,2022-02-15,05:27:38,2022-02-15,08:27:38,241,km,2.5,Ml
26 km al SO de Los Vilos,-32.098,-71.669,2022-02-15,02:26:02,2022-02-15,05:26:02,31,km,3.3,Ml
21 km al NE de Yungay,-36.975,-71.869,2022-02-15,01:55:29,2022-02-15,04:55:29,110,km,3.8,Ml
53 km al NE de Mejillones,-22.762,-70.084,2022-02-15,00:40:30,2022-02-15,03:40:30,49,km,3.6,Ml
21 km al SO de Huasco,-28.578,-71.395,2022-02-14,23:14:44,2022-02-15,02:14:44,29,km,2.9,Ml
63 km al N de Huasco,-27.903,-71.252,2022-02-14,21:51:04,2022-02-15,00:51:04,34,km,2.7,Ml
