evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
48 km al SE de Baquedano,-23.592,-69.468,2022-02-11,20:50:36,2022-02-11,23:50:36,76,km,2.9,Ml
101 km al SE de Socaire,-24.078,-67.058,2022-02-11,19:56:18,2022-02-11,22:56:18,189,km,3.4,Ml
86 km al O de ValparaÃ­so,-32.833,-72.496,2022-02-11,17:03:35,2022-02-11,20:03:35,27,km,2.5,Ml
11 km al S de Tocopilla,-22.193,-70.216,2022-02-11,14:11:42,2022-02-11,17:11:42,60,km,2.9,Ml
25 km al O de La Higuera,-29.487,-71.455,2022-02-11,14:04:41,2022-02-11,17:04:41,34,km,3.4,Ml
56 km al N de Calama,-21.995,-68.748,2022-02-11,13:41:44,2022-02-11,16:41:44,116,km,2.6,Ml
17 km al SE de Cuya,-19.265,-70.063,2022-02-11,12:57:17,2022-02-11,15:57:17,49,km,2.6,Ml
43 km al N de Calama,-22.107,-68.786,2022-02-11,12:14:04,2022-02-11,15:14:04,117,km,2.9,Ml
117 km al O de Canela Baja,-31.293,-72.679,2022-02-11,12:00:08,2022-02-11,15:00:08,45,km,3.0,Ml
33 km al SE de CuricÃ³,-35.228,-71.024,2022-02-11,10:38:39,2022-02-11,13:38:39,103,km,2.5,Ml
22 km al S de Punitaqui,-31.024,-71.297,2022-02-11,10:04:42,2022-02-11,13:04:42,56,km,2.9,Ml
73 km al O de ValparaÃ­so,-32.792,-72.34,2022-02-11,09:30:29,2022-02-11,12:30:29,32,km,4.1,Ml
90 km al O de ValparaÃ­so,-32.816,-72.537,2022-02-11,09:29:53,2022-02-11,12:29:53,29,km,3.3,Ml
78 km al SE de Socaire,-24.216,-67.55,2022-02-11,09:26:05,2022-02-11,12:26:05,205,km,2.8,Ml
110 km al E de Socaire,-23.845,-66.842,2022-02-11,09:13:21,2022-02-11,12:13:21,215,km,3.5,Ml
49 km al N de ValparaÃ­so,-32.633,-71.779,2022-02-11,08:21:41,2022-02-11,11:21:41,31,km,2.8,Ml
66 km al O de ValparaÃ­so,-32.904,-72.299,2022-02-11,07:19:12,2022-02-11,10:19:12,39,km,3.2,Ml
80 km al SO de San Pedro de Atacama,-23.43,-68.752,2022-02-11,05:45:12,2022-02-11,08:45:12,91,km,2.7,Ml
71 km al SO de Antofagasta,-24.054,-70.941,2022-02-11,05:12:40,2022-02-11,08:12:40,22,km,2.9,Ml
56 km al SO de Mina Collahuasi,-21.284,-68.876,2022-02-11,00:26:43,2022-02-11,03:26:43,119,km,4.1,Ml
