evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
37 km al E de Pica,-20.477,-68.976,2022-02-07,17:42:25,2022-02-07,20:42:25,100,km,3.2,Ml
40 km al NO de Taltal,-25.181,-70.796,2022-02-07,11:54:45,2022-02-07,14:54:45,33,km,2.9,Ml
75 km al SE de Socaire,-23.955,-67.267,2022-02-07,08:04:48,2022-02-07,11:04:48,247,km,2.8,Ml
17 km al O de Calama,-22.418,-69.086,2022-02-07,07:55:14,2022-02-07,10:55:14,100,km,2.5,Ml
28 km al O de La Serena,-29.822,-71.525,2022-02-07,04:59:32,2022-02-07,07:59:32,40,km,2.8,Ml
72 km al NE de Calama,-21.872,-68.655,2022-02-07,04:54:01,2022-02-07,07:54:01,125,km,2.5,Ml
23 km al SO de OllagÃ¼e,-21.317,-68.455,2022-02-07,02:31:09,2022-02-07,05:31:09,143,km,3.3,Ml
51 km al S de Mina Collahuasi,-21.276,-68.756,2022-02-07,00:15:20,2022-02-07,03:15:20,120,km,2.8,Ml
40 km al NE de Calama,-22.198,-68.683,2022-02-06,23:54:39,2022-02-07,02:54:39,106,km,2.5,Ml
49 km al SE de Putre,-18.57,-69.313,2022-02-06,23:33:35,2022-02-07,02:33:35,126,km,3.1,Ml
42 km al NE de Calama,-22.159,-68.696,2022-02-06,22:20:04,2022-02-07,01:20:04,108,km,2.6,Ml
"34 km al E de Base Frei, AntÃ¡rtica",-62.313,-58.359,2022-02-06,21:47:15,2022-02-07,00:47:15,6,km,2.9,Ml
"34 km al E de Base Frei, AntÃ¡rtica",-62.32,-58.371,2022-02-06,21:41:16,2022-02-07,00:41:16,6,km,3.2,Ml
"39 km al E de Base Frei, AntÃ¡rtica",-62.185,-58.222,2022-02-06,21:27:08,2022-02-07,00:27:08,2,km,3.3,Ml
"35 km al E de Base Frei, AntÃ¡rtica",-62.313,-58.347,2022-02-06,21:20:37,2022-02-07,00:20:37,6,km,2.9,Ml
"35 km al E de Base Frei, AntÃ¡rtica",-62.312,-58.345,2022-02-06,21:18:29,2022-02-07,00:18:29,6,km,2.8,Ml
"34 km al E de Base Frei, AntÃ¡rtica",-62.312,-58.363,2022-02-06,21:17:04,2022-02-07,00:17:04,6,km,2.6,Ml
"35 km al E de Base Frei, AntÃ¡rtica",-62.292,-58.323,2022-02-06,21:05:08,2022-02-07,00:05:08,5,km,4.1,Ml
"35 km al E de Base Frei, AntÃ¡rtica",-62.31,-58.348,2022-02-06,21:04:01,2022-02-07,00:04:01,6,km,3.1,Ml
