evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
50 km al SO de Mina La Escondida.,-24.649,-69.316,2022-02-08,14:08:32,2022-02-08,17:08:32,96,km,3.0,Ml
12 km al N de Cami̱a,-19.213,-69.398,2022-02-08,12:46:07,2022-02-08,15:46:07,96,km,2.6,Ml
124 km al O de Iquique,-20.233,-71.344,2022-02-08,12:28:44,2022-02-08,15:28:44,21,km,3.0,Ml
57 km al E de Quillagua,-21.659,-68.982,2022-02-08,11:42:23,2022-02-08,14:42:23,97,km,3.0,Ml
38 km al O de San Pedro de Atacama,-22.784,-68.536,2022-02-08,08:50:46,2022-02-08,11:50:46,16,km,3.6,Ml
14 km al O de La Higuera,-29.517,-71.349,2022-02-08,08:05:19,2022-02-08,11:05:19,63,km,3.2,Ml
87 km al SE de Socaire,-24.034,-67.191,2022-02-08,07:20:10,2022-02-08,10:20:10,245,km,3.5,Ml
43 km al NE de Calama,-22.17,-68.673,2022-02-08,04:17:38,2022-02-08,07:17:38,114,km,3.6,Ml
44 km al S de Taltal,-25.796,-70.575,2022-02-08,02:22:14,2022-02-08,05:22:14,64,km,4.4,Mw
57 km al O de La Ligua,-32.468,-71.839,2022-02-08,00:14:52,2022-02-08,03:14:52,44,km,2.8,Ml
11 km al SE de Huasco,-28.547,-71.16,2022-02-07,23:30:58,2022-02-08,02:30:58,41,km,3.4,Ml
23 km al NO de Huasco,-28.297,-71.349,2022-02-07,22:05:30,2022-02-08,01:05:30,35,km,3.0,Ml
