evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
"32 km al E de Base Frei, AntÃ¡rtica",-62.301 ,-58.390,2022-02-19,20:49:12,2022-02-19,23:49:12,3,km,3.4,Ml
1 km al S de Pichilemu,-34.399 ,-72.009,2022-02-19,18:41:47,2022-02-19,21:41:47,19,km,2.8,Ml
"80 km al E de Base Frei, AntÃ¡rtica",-62.160 ,-57.443,2022-02-19,18:23:16,2022-02-19,21:23:16,10,km,3.0,Ml
8 km al NE de Mina La Escondida.,-24.224 ,-68.998,2022-02-19,16:19:19,2022-02-19,19:19:19,106,km,2.7,Ml
55 km al NO de La Serena,-29.682 ,-71.758,2022-02-19,15:48:01,2022-02-19,18:48:01,49,km,2.5,Ml
31 km al S de ChaÃ±aral.,-26.614 ,-70.727,2022-02-19,13:47:24,2022-02-19,16:47:24,25,km,2.6,Ml
14 km al SE de Putre,-18.255 ,-69.438,2022-02-19,12:52:22,2022-02-19,15:52:22,134,km,3.1,Ml
50 km al S de Pica,-20.930 ,-69.411,2022-02-19,12:32:01,2022-02-19,15:32:01,85,km,2.8,Ml
27 km al O de Mina La Escondida.,-24.189 ,-69.303,2022-02-19,11:02:19,2022-02-19,14:02:19,90,km,2.8,Ml
29 km al SE de Sierra Gorda.,-23.127 ,-69.168,2022-02-19,10:40:25,2022-02-19,13:40:25,89,km,2.5,Ml
12 km al S de CombarbalÃ¡,-31.286 ,-71.014,2022-02-19,10:14:24,2022-02-19,13:14:24,72,km,3.1,Ml
67 km al NE de San Pedro de Atacama,-22.402 ,-67.858,2022-02-19,09:52:09,2022-02-19,12:52:09,190,km,3.1,Ml
10 km al SE de Calama,-22.545 ,-68.881,2022-02-19,08:02:41,2022-02-19,11:02:41,106,km,2.6,Ml
52 km al SO de Mina Collahuasi,-21.185 ,-68.973,2022-02-19,07:35:40,2022-02-19,10:35:40,110,km,3.3,Ml
54 km al NO de ChaitÃ©n,-42.576 ,-73.169,2022-02-19,04:04:42,2022-02-19,07:04:42,73,km,2.9,Ml
68 km al SO de OllagÃ¼e,-21.766 ,-68.550,2022-02-19,03:28:15,2022-02-19,06:28:15,132,km,3.1,Ml
78 km al O de Arica,-18.534 ,-71.063,2022-02-19,02:32:47,2022-02-19,05:32:47,30,km,2.8,Ml
