evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
36 km al NE de Calama,-22.230 ,-68.688,2022-02-26,20:46:13,2022-02-26,23:46:13,113,km,2.8,Ml
72 km al O de ValparaÃ­so,-32.888 ,-72.362,2022-02-26,18:28:53,2022-02-26,21:28:53,30,km,4.2,Ml
43 km al N de ConstituciÃ³n,-34.950 ,-72.470,2022-02-26,17:41:06,2022-02-26,20:41:06,7,km,3.0,Ml
43 km al S de CuricÃ³,-35.369 ,-71.265,2022-02-26,17:39:27,2022-02-26,20:39:27,88,km,3.7,Ml
61 km al N de Alto del Carmen,-28.239 ,-70.276,2022-02-26,15:55:37,2022-02-26,18:55:37,84,km,2.9,Ml
1 km al E de Melipilla,-33.686 ,-71.209,2022-02-26,15:09:58,2022-02-26,18:09:58,58,km,2.8,Ml
14 km al O de Calama,-22.513 ,-69.054,2022-02-26,14:07:41,2022-02-26,17:07:41,117,km,2.8,Ml
36 km al O de Punitaqui,-30.922 ,-71.624,2022-02-26,14:06:14,2022-02-26,17:06:14,36,km,2.5,Ml
69 km al S de OllagÃ¼e,-21.810 ,-68.484,2022-02-26,12:30:57,2022-02-26,15:30:57,122,km,3.8,Ml
15 km al NO de Canela Baja,-31.330 ,-71.597,2022-02-26,12:07:20,2022-02-26,15:07:20,78,km,3.6,Ml
19 km al E de VichuquÃ©n,-34.824 ,-71.802,2022-02-26,11:45:38,2022-02-26,14:45:38,44,km,4.3,Ml
16 km al SE de Taltal,-25.528 ,-70.392,2022-02-26,09:23:04,2022-02-26,12:23:04,51,km,3.1,Ml
36 km al S de Mina Collahuasi,-21.152 ,-68.646,2022-02-26,08:55:13,2022-02-26,11:55:13,105,km,2.6,Ml
67 km al SE de Socaire,-24.080 ,-67.506,2022-02-26,07:49:14,2022-02-26,10:49:14,226,km,3.6,Ml
63 km al SO de Alto Hospicio,-20.645 ,-70.552,2022-02-26,07:09:57,2022-02-26,10:09:57,32,km,2.8,Ml
85 km al SE de Socaire,-24.200 ,-67.384,2022-02-26,07:02:35,2022-02-26,10:02:35,230,km,3.5,Ml
40 km al N de Socaire,-23.228 ,-67.911,2022-02-26,05:23:01,2022-02-26,08:23:01,171,km,3.0,Ml
32 km al SE de CamiÃ±a,-19.532 ,-69.231,2022-02-26,05:11:00,2022-02-26,08:11:00,14,km,3.0,Ml
75 km al SE de Socaire,-24.198 ,-67.566,2022-02-26,04:43:57,2022-02-26,07:43:57,220,km,3.4,Ml
43 km al NE de Pica,-20.169 ,-69.095,2022-02-26,02:41:26,2022-02-26,05:41:26,105,km,3.2,Ml
25 km al O de La Serena,-29.960 ,-71.503,2022-02-26,00:43:50,2022-02-26,03:43:50,44,km,3.0,Ml
