evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
70 km al E de Mina Los Pelambres,-31.868,-69.852,2022-01-16,13:27:59,2022-01-16,16:27:59,137,km,3.7,Ml
64 km al E de OllagÃ¼e,-21.36,-67.649,2022-01-16,12:54:29,2022-01-16,15:54:29,214,km,3.3,Ml
46 km al NE de Calama,-22.119,-68.696,2022-01-16,12:09:05,2022-01-16,15:09:05,114,km,2.7,Ml
31 km al NE de Calama,-22.243,-68.75,2022-01-16,11:50:04,2022-01-16,14:50:04,98,km,2.6,Ml
77 km al E de Socaire,-23.441,-67.156,2022-01-16,10:36:34,2022-01-16,13:36:34,250,km,3.4,Ml
29 km al SO de Mina La Escondida.,-24.424,-69.291,2022-01-16,08:55:30,2022-01-16,11:55:30,86,km,2.6,Ml
121 km al O de Canela Baja,-31.464,-72.731,2022-01-16,06:42:00,2022-01-16,09:42:00,46,km,3.2,Ml
25 km al E de VichuquÃ©n,-34.788,-71.751,2022-01-16,05:49:02,2022-01-16,08:49:02,41,km,3.0,Ml
39 km al NE de Calama,-22.178,-68.726,2022-01-16,04:22:12,2022-01-16,07:22:12,121,km,3.1,Ml
147 km al NO de Tocopilla,-21.27,-71.319,2022-01-15,21:37:33,2022-01-16,00:37:33,38,km,3.6,Ml
40 km al N de Canela Baja,-31.061,-71.59,2022-01-15,21:00:16,2022-01-16,00:00:16,74,km,4.4,Ml
